Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--delarc_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
delarc_pH7_2,-0.026501514012925328,0.008280401233300245,0.011643151960477393,-0.015918582890628145,0.014548120889812704,0.0019174377794337022,-0.08629262642388276,0.020274060404171113,-0.017661950838671104,0.026592113268865358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5469120935714209
delarc_pH8_0,-0.02398421234744804,0.006246545389395854,0.008223485292806088,-0.010881768024486043,0.01511372643087626,-0.0009448543779106567,-0.03970097906604086,0.022962583462991137,-0.02244013697769412,-0.017713778448574573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8455353071301549
delarc_pH8_1,-0.01110036648384741,0.003285401954376341,0.007156491020248959,-0.010310561543573503,0.010848616756417831,0.0018872232234064975,-0.03320532850172048,0.01245403819434021,-0.022770270735086147,-0.02136463274986929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8378107178569503
delarc_pH8_2,-0.021692996729448764,0.007287105528496044,0.009339163615773227,-0.009026391830133354,0.011800858985997087,-0.00028897675574230677,-0.039334904624695854,0.016925535572834476,-0.02375351544945379,-0.014375266784538878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8442380625189879
delarc_pH9_0,-0.013864688170851088,0.0020985517861402546,0.0052946065586951105,-0.004713302296383874,0.007784888955116595,-0.0009885423630476003,-0.02602438993094004,0.007953061397774552,-0.012418921369775807,-0.02824065343203509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.003926186226973
delarc_pH9_1,-0.014709682868004009,0.005514381438615206,0.008723269204771063,-0.008788147165197067,0.007480878714249348,0.0010231385956032443,-0.02730685333488508,0.00911845933969902,-0.021576751631421403,-0.02259808115873729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9964236708955914
delarc_pH9_2,-0.009749686581123138,-0.00045497399157561026,0.008073457709068189,-0.004789037607994903,0.008529033579094254,0.0007164599258533638,-0.03235736968056501,0.008690680547354179,-0.015489712794129133,-0.02628824002635868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9996501428774356
AC_pH4_0,0.012340044335502644,-0.010907688127000534,0.007973657948997516,-0.00683315958554411,0.011627067130605653,0.001151098285234817,-0.05326846674681928,0.01485472965216183,0.009206963372619255,-0.04926363257195234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.018292702117367925,-0.00820374030235183,0.011683108024299142,-0.0030129953350304913,0.010576209500330782,0.00016204808119927414,-0.07244169324363138,0.01953824010738374,0.008506893801259931,-0.04822016161613409,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.013356414856794088,-0.007425347147711918,0.009085076102258073,-0.0019200118611890668,0.00903537108350302,-0.004051626696474042,-0.057217987496912,0.01698438655311727,0.00924642352802355,-0.05021208765066189,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.014820531080274474,-0.008228313487286316,0.012668243700881366,-0.00882126146967968,0.013037436606929352,0.001775582625287706,-0.06752987490481009,0.0185020156608611,0.009232417492742609,-0.04857616619642257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.014231738001108165,-0.010121075506625776,0.00995138094952816,-0.005890564574232407,0.009610322766998053,0.00038109663145049664,-0.06214568650380342,0.018962705387916088,0.009221857460620615,-0.04732116170956389,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.014964883633605807,-0.0085108981149919,0.009988471889848133,-0.002662591678697777,0.01375737147172913,-0.0006859265619119564,-0.07149208662960595,0.02072485512901988,0.01176253403668575,-0.05096599963088723,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.008508613488596417,-0.026540209498033734,0.015491372392634335,-0.010537468022970564,0.010686644788973194,0.006995861282440548,-0.10048042769746286,0.02144566075739693,0.010976594386865263,0.0003339715626941088,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.016010136546000187,-0.016842727715392473,0.010886142164489014,-0.005352688624786779,0.01706919921055922,0.0031105382738472963,-0.14531906066158706,0.01926731921904518,0.013471625528966443,0.024580127945088816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.011760200370589027,-0.018767715550290987,0.014851905674086476,-0.006303493781318969,0.016212853431276486,0.003476897178865645,-0.14063098601065577,0.02792930945035313,0.007886685674969595,0.02046495568483015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.025520394429888415,-0.0017349530410264477,0.011546559225281942,-0.011004807951293235,0.0284150781669735,0.0019258850976905744,-0.2112845621457445,0.03258195948432726,0.011474900761335763,0.04944015724331385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.024428680901942036,-0.0046321856230497355,0.016432939433016935,-0.01674659507824918,0.01544236382611258,0.0031951393055952293,-0.20458218691657984,0.03604484531451422,0.01909692631852206,0.04820068356216601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.026659744699364125,-0.004690570107296754,0.013395122703387522,-0.012298500152284527,0.025133515517632272,0.002481895542258154,-0.22287498894410776,0.04808852861260834,0.016289303543390293,0.04469656184477651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.028963169232010835,0.0029731964698547263,0.016121725642689218,-0.010822348475112056,0.01601989326047023,-0.006121077168044512,-0.21142706193637265,0.044742585561724134,0.015398444636502182,0.04103208488926455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.035898367550386036,0.003370867808065981,0.017150779025548183,-0.012885419964314557,0.025728300327192175,-0.0028859507218610657,-0.2277072649406592,0.03734467531665755,0.021134728629840536,0.03973152887481062,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.038025902124202766,0.006016918270767708,0.01714923723104774,-0.013983107417335975,0.029383048694327726,0.003272536852720962,-0.2328278128935388,0.03913568212843055,0.01159303839551285,0.039115168662063535,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.03747111757164416,0.010808365256626807,0.010824979803140235,-0.015945057576400752,0.03062021167351581,-0.003089614219700349,-0.2238019402560008,0.024965956349168785,0.01820723291101825,0.04681935927506698,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.03724677437025568,0.006571250390767563,0.013707541977865221,-0.017759196063118945,0.026723003091351328,-0.00035193729194124107,-0.23545427251637543,0.04910871196588825,0.017226732911785014,0.039862004857328104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.034708220354564806,0.005893893873663212,0.010850823352356322,-0.016055961186673656,0.02545183048953059,-0.0015109154700463554,-0.18386418605142316,0.023569065444981278,0.012339578754794989,0.025498262557717366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.015481468898689616,-0.003124343513146691,0.00905324789644826,-0.005772233207244426,0.00890235567667886,-0.004507627502569686,-0.04614360812929987,0.018720211408242742,0.009445921586542998,-0.034211844182269566,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.013500774908385686,-0.0035342016759450034,0.005555090088721201,-0.0025700791464592127,0.010751218654053369,-0.004236033221646009,-0.04301681097860084,0.00858075636064472,0.008051084694655045,-0.029199638848962345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.012537528574466704,-0.004242093711686525,0.009135122286540495,-0.007300220033579062,0.011353531706592312,0.0016605795934067464,-0.05195799915818499,0.01191761908323869,0.006958546577750341,-0.028106946777451142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.02028022508349512,-0.00019261309148176932,0.011235553705963587,-0.008436765723011415,0.009616381722482165,-0.0001974440398423578,-0.060616877496687926,0.018080737903896398,0.008138403578398184,-0.020466540490540305,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.009661909896556449,-0.0011119058137030713,0.012096771079662214,-0.004048771038955157,0.006079215467502566,-0.004109815623428997,-0.047795576511619045,0.0137963046953487,0.004540020176614431,-0.03290372140017217,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.014083174738790031,0.001209987939699835,0.011752839412985612,-0.00407279784264772,0.012965721264684005,-0.005056954785857512,-0.06611643343293312,0.02118151416566789,0.006406848351572357,-0.02730693919968831,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.018774661302930956,-0.0012927769343166256,0.01932282302963912,-0.012612897523719331,0.01774212989794171,-0.001699180143338669,-0.1148782175872475,0.022554516809202892,0.005599494424506859,0.020919380464955516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.021412464816568662,-0.006520330001316642,0.017923383794259274,-0.015367687308411721,0.012735185116205526,0.005582621884026119,-0.11791676292904532,0.020417872801139623,0.0070661816940359445,0.03437261090036887,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.03428299324050465,-0.0054045368083145305,0.021865832143483442,-0.017084710873238255,0.012257225437838904,0.005936756726739036,-0.12012374517882406,0.03136394103381621,0.007338319147086659,0.03501452274661026,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.042071601659180995,-0.009072132393231859,0.010942015509708258,-0.015788494300947566,0.020873972332793405,-0.002658247136531156,-0.09010587958821459,0.031074653995608024,0.011516779611575538,0.02216954461410237,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.04005622772358197,-0.01222228012898046,0.02102358447904091,-0.01948301201848232,0.020531230952550213,-0.0011641384385850135,-0.0960942034698699,0.03420824254215088,0.011056900121899242,0.019080514663061047,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.039723503499231094,-0.01220613731233322,0.012248453312938142,-0.017377413817296693,0.013496678960003443,0.0004608273474783011,-0.09046205760293599,0.034671880044447996,0.004083799330072233,0.03168808437154993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.03259494090209836,-0.007181104799003707,0.013686214924243321,-0.019711177035477822,0.020683740691443825,-0.003661572418540069,-0.0883466752575022,0.03239210943701556,0.014050009592395763,0.00756400690221673,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.04622897851159391,-0.008528235057854786,0.013074188342965816,-0.022738072963674427,0.01662327558915738,-0.0017576433168521718,-0.06875645568675322,0.03931365691894747,0.010681935669550592,0.0051969401508002834,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.04797397794485416,-0.010092543197552796,0.009874323743759938,-0.019162987423858243,0.014006377927371827,-0.003521341211567432,-0.06173301454522121,0.03769440825998216,0.010655093938719643,0.007134271587913287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.045061540554743255,-0.0071190392865758895,0.01191913893264111,-0.012492542319181985,0.016058686782970375,-0.0015499963140641546,-0.05694190226242189,0.03214498929092256,0.010442971622814304,-0.010520154906679758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.012137664050046034,-0.006625976346676119,0.009505923230241495,-0.0155905751842479,0.012701198243859993,0.001343231624619954,-0.07508648337593868,0.027043025961813887,0.006353487614845938,-0.0106255565837795,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.039722588246526275,-0.007749407059391552,0.009426813733095866,-0.012076264191520114,0.009596777995643407,-0.009141623148816112,-0.05353544091907047,0.037738762752092245,0.011495758643596556,-0.009152178424410521,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.013434249361541695,-0.0067723549116888776,-0.003053742772595877,-0.009267403030889515,0.015487837201520879,-0.0014828569650569042,-0.03859081605469565,0.018789725671319858,0.008760918436430232,-0.03355644504377699,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.013682582223099538,-0.002119520939177955,-0.0026944789169963614,-0.004564085064820298,0.009098163717628819,0.0006134556308287476,-0.04044940775371684,0.014599690533637917,0.007736093590704159,-0.03165671730424157,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.01072610422199511,-0.004754583130276803,-0.0028741108447961194,-0.006722444910201768,0.010409413517159205,-0.0008362010993448133,-0.039226370871006326,0.01838136134041554,0.0075353030613421095,-0.03430565166125155,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.012928730877946413,-0.008137304358407047,-0.0032204005089790932,-0.00545240034956647,0.006910830735552892,0.0004377388093701513,-0.0429695448530433,0.01892823056327989,0.010162271904333942,-0.02685007997525289,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.01396074489508148,-0.007760479422286153,-0.0015862396248089879,-0.004465974691202459,0.012991135763409345,0.0005534986917779815,-0.029020764213865215,0.013451169448317557,0.004099219794202919,-0.03742020812847287,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,-0.01483529863960069,-0.004807098784342247,-0.002646109149892531,-0.006554537734077515,0.012110162598445358,0.0017969829512193148,-0.03634979696083895,0.014863009398560157,0.004186084468889496,-0.03088278484328285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,-0.02296503414926321,-0.006835935580210112,-0.00852984427595916,-0.010656769273741899,0.013795922008474636,-0.0019971874647814296,-0.06889791541520265,0.02500697719014209,0.008029060812626521,0.009931339796369332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,-0.017177111455138127,-0.0101487087797495,-0.009207445360598681,-0.010039264907878216,0.010588100039217946,0.00318770167681024,-0.08988349489877809,0.021646511840289862,0.006822417826371512,0.031091906142157864,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,-0.014239662657896786,-0.013339907472609014,-0.008388891568326432,-0.010503871384097018,0.01081772536808706,0.002044113394500607,-0.08193992213062619,0.02256072905218309,0.007969508309868853,0.02190079115331173,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,-0.01772774447352909,-0.0033426775803546537,-0.0024023632908685396,-0.011465661402933461,0.019068207935146658,-0.003014556081540398,-0.1236985432347991,0.020876353322173996,0.014573912027636138,0.044013684276572394,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,-0.027588631805366554,0.0048626164316058,-0.002419816567461289,-0.012485754412963335,0.016707223041954888,0.000627104355751174,-0.1179382705933961,0.029588259969655754,0.007808126549681891,0.03771975421058215,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
