Experiments,BV_OD<--AC_OD,BV_OD<--BA_OD,BV_OD<--BC_OD,BV_OD<--BL_OD,BV_OD<--BT_OD,BV_OD<--BV_OD,BV_OD<--CC_OD,BV_OD<--DF_OD,BV_OD<--delarc_OD,BV_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
AC_pH6_2,0.015789999113134716,-0.017463635502626067,-0.003925036933758986,0.00020836861783881451,-0.0014842743139066126,-0.09726482632731938,0.0015555866795551514,0.03782753320755033,0.006235597001226698,0.015259078654420118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.029890177810726594,-0.025143078882044746,-0.007462565775798711,0.0005879183433464006,-0.0010156397764449555,-0.13035732303665062,0.007216785347048678,0.04780252777586651,0.011829287391763347,0.023390300813657436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.030306860007669603,-0.028485845787369683,-0.00548072084946477,-0.0013284680267552976,0.004529745320830007,-0.13332447450769985,0.005244539794714554,0.04844144758849365,0.009633073191684872,0.02720223327936685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.030223121986440976,-0.023969195457985225,-0.006453028190476092,-0.00871670625536986,0.0003223421404381179,-0.13312484826973597,0.003617039023817557,0.060193083221902664,0.008862061298492808,0.025784520546338802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.04595322553716274,-0.02042821215303696,-0.009148461315780875,0.0009572836942970756,0.0015636856416645255,-0.15462278995177023,0.0046195544338906575,0.05231607810351189,0.007432204402740234,0.028095821787238767,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.04083169137006219,-0.016870338843892448,-0.007284027988738987,-0.00558028037072686,0.012352086033510123,-0.17569845507123868,0.0062074247431819825,0.05493879730428529,0.01219777803706086,0.03564371504092022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.03622951550125751,-0.005336934636225519,-0.010465038045835883,-0.004641625152738845,-0.00527857560057031,-0.1479940412675395,0.007285712115142652,0.0532381800590488,0.006904710257506888,0.026796487027617256,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.04574334712780039,0.0020505483401939274,-0.009757954594679178,-0.00651219026590495,0.009841249811908473,-0.1527787285654441,0.0004942294319524695,0.04899424405849498,0.013490643370896577,0.00517300044105429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.043326837281575006,-0.0019116091039841584,-0.006620129070285222,-0.007496407754800242,0.005609750571134297,-0.1597424417701753,0.0016198679901983423,0.04839147421936302,0.013302332547533774,0.020258715162458626,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.052043866802249907,0.0003462866080276985,-0.007751396267634369,-0.011190735439810418,0.006221950092838835,-0.2015053779123675,0.00437456880756856,0.049578323540804194,0.016408152618323978,0.048212751287805,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.011346757315990075,-0.007694585426993993,-0.0058188069409326375,-0.003071777089701398,0.002868255157347607,-0.024688071006018185,-0.001200064477389274,0.02503961920171328,0.0061599698731594765,-0.023509392077103255,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.020280082970655155,-0.009137320194555367,-0.007497077953556308,-0.0017951582702200699,0.0005961769871899612,-0.020950405617123063,0.0005025435891002419,0.02699045416271395,0.004983567794703918,-0.016674307856263344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.011429744512855038,-0.008656408605368242,-0.00656867753289154,-0.004725714255043346,-0.0005706409514760197,-0.03576100037696408,-0.0014745647551329887,0.039741461549116223,0.003943634703755377,-0.01775995577321104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.006777173984066948,-0.003735684000927469,-0.004893442484671655,-0.004849829066382804,0.0006713478344128182,-0.035496635006781185,0.00043939917145863845,0.021356196368072667,0.004504957012427241,-0.0144807474307068,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.015888156651762197,-0.009618231783742492,-0.008367089227894725,-0.002724413270049769,-0.0014958098218978751,-0.02637893496810094,-0.0002894152496414983,0.02934231996212317,0.006874065505664631,-0.014715944596606752,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.013357121176288827,-0.005770939070245495,-0.007876281424061111,-0.004199892616952244,0.002117192450019976,-0.024739248631724522,-0.0030419086205327643,0.025725360658505697,0.0044757834323884355,-0.016594555103017584,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.03316197123925162,-0.013957347027633505,-0.004517695430828178,-0.002061798572540283,0.0018953990122384337,-0.04369222376252647,-0.003663667282494514,0.03850748647551013,0.0076460392850086715,0.009744168440608872,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.00674875299770223,-0.019763735863177673,-0.006921232036193427,-0.009215789968350338,-0.003262391933442458,-0.04825451904887577,0.0017568597732030829,0.029223801408205997,0.00226535405356275,0.01765879651086162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.017345384562631013,-0.021393277884825413,-0.00743667675263208,-0.006469034739850979,-0.002618206714725366,-0.057463145239845574,0.0009318519047582919,0.03641161398051065,0.008576537406314975,0.02354411250101807,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.018685439675641447,-0.012495016390862672,-0.0070372394913726525,-0.006814898268279176,-0.002850845644007559,-0.037074732783695934,-0.004098869789310772,0.02611737572790488,0.0046200958210165085,0.015057960029529489,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.02338991288500636,-0.013879603186379305,-0.011674641159201124,-0.007584797659605419,0.000371720407198628,-0.049972394012805565,-0.0029675224516540768,0.04267006917026541,0.00539222930881964,0.017773242003648822,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.018920035940473496,-0.016010078580483145,-0.010851393815372947,-0.009385843576620456,0.00681870566620289,-0.05348955190052157,-0.0019013827119994423,0.03507166770003412,0.0042474744076152204,0.021158828649710377,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.026648685998971692,-0.014753539328989772,-0.006774014657889695,-0.004162133930898879,0.0037393815651454994,-0.045653671552224655,-0.0036255990620702497,0.03767451831504055,0.007577893284918822,0.009364241264031634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.025768261287644832,-0.01262613314649333,-0.010311470092881631,-0.00789924055621352,0.00125392733303749,-0.03834809508984504,-0.005166851956113849,0.03877861128269655,0.008880505910062269,0.007945397501487449,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.02257921354359259,-0.013495228847731713,-0.007492798081720652,-0.00526777485061599,-0.004777161809818253,-0.04766078439986576,-0.004867710075138705,0.052964020975177065,0.00255777716555673,0.007357263365841428,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.03701497523033101,-0.00625185065943262,-0.008899762347826488,-0.004797915089065614,0.00016023126957209183,-0.02614155436096632,-0.0006513700229318246,0.035848580478164166,0.0055434764864975995,-0.0010564710337506694,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.026118752462789413,-0.00817549701618112,-0.0028428876578159954,-0.003634780091840936,0.002908464949173123,-0.04454057384849243,-0.003495328115380329,0.03752754988513239,0.006092502536738046,-0.0009823082804517897,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.01899352692675007,-0.006732762248619745,-0.017158796047062976,-0.007867294547107558,0.00391993736989958,-0.037506390928250304,-0.00868009271424102,0.042946578902799806,0.005544209855851594,0.001266527181572242,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.009646491277558001,-0.015234328615479168,-0.0005864506603583043,-0.004379955339650421,-0.0010895984295917604,-0.025027249007202358,-0.00038177663379389314,0.03212394983791139,0.0024405331662653578,-0.021480242996679052,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.009174717033848817,-0.013413845926482716,-0.0005864506603583045,-0.0025763362585364477,0.0009373331458672223,-0.019552831046647675,0.0024401121335509038,0.023394274088027685,0.0028191452287137497,-0.027548293755997138,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.010677461090862105,-0.004782792386072485,-0.0006283399932410406,-0.004218446499384616,-0.002265403273150973,-0.025546780311623992,0.0005846865124919486,0.026826807603482966,0.0008417149570406129,-0.023395595507210362,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.004992406829867675,-0.021830476577110264,-0.0007826608387024506,-0.0059860677274106,-0.001148376533680637,-0.027542087043352103,0.0024648947329462866,0.03422203461072692,0.0023330898971661274,-0.019999554200786283,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.008451661666774232,-0.01501561994502402,-0.0005445613274755682,-0.002569683943065289,3.107172558489097e-05,-0.031041153481675555,0.0018778102124190846,0.027661030397386002,0.005266166706771954,-0.02047500863428349,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,-0.00941622514480158,-0.009796602546601838,-0.001523840728661288,-0.00672220907477743,-0.002104157680524108,-0.018561285059170228,0.002618407325657166,0.018450587709312856,0.004540297917049863,-0.02074658266390147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,-0.007901564547792079,-0.0032239293780825717,-0.004798148964410245,-0.005830411127080088,-0.0004688782184182302,-0.05003241084192111,0.001052555999030238,0.022595613735282554,0.0013709826220798756,0.003974580745739134,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,-0.007158617553220169,-0.011498363556178368,-0.006089159603352132,-0.005557621787909578,0.004198265449022468,-0.07075207579557014,0.0007950305938720703,0.02822115689435083,0.005149576296098528,0.019430199271958805,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,-0.008032275912878308,-0.018494013186706144,-0.006089658452116926,0.0009578809779866236,0.001483449216770089,-0.0773982582459955,-0.0008943235234397917,0.03808954045459952,0.008398674581118898,0.018717374209031145,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,-0.009015723791823766,-0.016300811712913536,-0.0004380949959158889,-0.003201329415745063,-0.005500572083679878,-0.08274323450117978,0.0028146919998866694,0.04141619646030925,0.005764017273550446,0.02394325082757227,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,-0.02110813375481444,-0.011644388747442027,-0.0005762274304161891,-0.0022379876829116884,0.0011295550851070368,-0.08328971139843697,0.0004746851705662571,0.04953160153175502,0.005338519995870149,0.019120477225995906,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
