Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--delarc_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
delarc_pH9_2,-0.05310936260644509,-0.07476083406692613,0.008093608704436083,-0.01978023707947653,0.026703624483197925,-0.010645116206420505,-0.006243102750538483,0.027788553570761623,-0.0752617481318505,0.02135403795167804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9996501428774356
AC_pH4_0,0.04236099900191893,-0.13809791410665798,0.00974401864101705,-0.023192065042322095,0.028604484951204587,-0.01690973430548025,0.0002519466549805989,0.01930260746537343,0.04039715148994456,-0.11832207134155479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.02767627835111773,-0.16004949680327077,0.005498692418408134,-0.01988732098723236,0.032587663353947194,-0.014934438178720682,-0.0020098544948774846,0.027072243248314965,0.04249072960375444,-0.0943050759334279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.03399846351422046,-0.1377549659331208,0.01035155841351851,-0.015592765156179666,0.030577957821281056,-0.01770767667857201,0.000796219098341206,0.029215370979484012,0.04690915541642386,-0.13665389693787564,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.03372114687348189,-0.1684451704059282,0.010418646339651035,-0.01898433043338035,0.03108185755493848,-0.017382555672817906,-0.005236043222248553,0.029170878271207866,0.035304716260212914,-0.0855097253345277,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.03855904559807285,-0.1548158554578929,0.009186544829736585,-0.01633304629312909,0.04069705864171619,-0.018625209121762406,-0.0043177794122501575,0.03212844590534984,0.040634178329745065,-0.12297395968242833,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.04685651760467368,-0.1706687811778292,0.007911095400543315,-0.018205439354414526,0.030952143823808956,-0.014666439261611389,-0.006953372238608807,0.025909725277806106,0.04083004066153713,-0.09782606727646097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.04546928577044087,-0.2795084069029468,0.011154051802080608,-0.025069419228998212,0.0424845156316524,-0.021375564057379958,-0.004408578228853317,0.03416391052548653,0.05757999565776277,-0.0163503673510707,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.05000375840731937,-0.3079753911187467,0.00880463598700969,-0.025503656532129507,0.04234233443341826,-0.019456424200502424,-0.0068595864486111265,0.03339753962729288,0.05292051908276651,0.016465694528558974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.049088146522965136,-0.3077337711790334,0.013949475674687517,-0.027128434016814702,0.03749744899408972,-0.022498930195427452,-0.002649720818128274,0.045590821984021576,0.04329599341296631,0.014728393762817857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.0627139641903341,-0.42181945304669777,0.008306277666402894,-0.03328755778058068,0.04300016868049684,-0.027869404964958842,-0.00882841715589166,0.07006519431005352,0.06170889640307946,0.09014975231626758,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.06733433599381344,-0.434824791399195,0.010574766515713664,-0.04057312026781881,0.05226184532208287,-0.031071758331811937,-0.010502264926452997,0.06338320405262968,0.06395292034129735,0.10360428335873975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.062798666951611,-0.4095888425701338,0.006738583527343428,-0.039542921848757115,0.05093502158137119,-0.021436687780787108,-0.014434994790379125,0.05840542584009793,0.063012103130636,0.08725306948484934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.06408546370008718,-0.4137927404272816,0.00869218007458941,-0.03870959732681512,0.05434008537184286,-0.02272684203379828,-0.008099021748032257,0.04800740911260896,0.06319194284308215,0.08915054398548344,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.06252284812133595,-0.4410957176934765,0.007948977788505342,-0.040648425112114014,0.055089191283382806,-0.035253013506855654,-0.011764337219621817,0.08281882658600807,0.06341493347902662,0.10110614048155106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.05862777726238837,-0.4189755485360713,0.007501113507086812,-0.034639874449728617,0.052918999489882705,-0.02694066043619229,-0.009899500469960595,0.052166603095019644,0.06902120959985514,0.09435930464416743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.07069163792321216,-0.42351092804223295,0.00824329987735204,-0.038821409243442434,0.06294460303514547,-0.03376574984873116,-0.020366166016977768,0.05481037202088729,0.0682960800923731,0.09561768385379209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.06869346312611649,-0.4478204722961654,0.005922707791399695,-0.03656105567741653,0.05653758434173852,-0.02637997600452407,-0.012308067383001678,0.07113396784857563,0.06248890891509212,0.1024323630778362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.06431594922085822,-0.4351239334370778,0.00991111014362262,-0.04224736341315767,0.06338173207381496,-0.030245938517315225,-0.017161320907914113,0.06220230266289867,0.071938405258824,0.09716848074256079,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.10533144671631896,0.1257735124125105,0.015079984230029845,-0.032033239318786766,0.03683954037321003,-0.015145567261978335,-0.0203304637628405,0.029228489238606836,0.043722518654135255,-0.22132883038128845,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.11154999157413838,0.13782346533287482,0.014825530360736269,-0.03393614508211613,0.03486818998566142,-0.020458696853045532,-0.015170606024077406,0.04006346756835346,0.04214665494940202,-0.22991835754364728,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.12597270445898176,0.1346673524161072,0.010418617248373188,-0.02656601042608204,0.03515315688093721,-0.01649401015885498,-0.01978573643561939,0.03499876569227682,0.04251319245880713,-0.20886522502273971,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.1178321688776107,0.15785969405394537,0.00837701331419141,-0.0296736181365407,0.04024732089803918,-0.02935031281298269,-0.02194202329396554,0.05958854399783457,0.043859772592297064,-0.20294205991470293,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.13618521719928026,0.14871537338942287,0.017297111532610397,-0.02424334489780924,0.041562850962028566,-0.022414029200115922,-0.016200355355344385,0.035285341313675715,0.047625124626995426,-0.20903277114843546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.1285112829765548,0.14465824041434602,0.013777196468866389,-0.03489723298860633,0.039276167696098915,-0.019395295819672555,-0.01885211518844184,0.036293152577203266,0.047804775579792,-0.18306401533277136,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.1942147428979692,0.2965517182227062,0.035380424776155016,-0.052828492548154735,0.053961237386354916,-0.01828503764274976,-0.02860106252133845,0.09530623389488975,0.06393567444351705,0.08727573493900505,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.22621481279073197,0.3102140452567002,0.02961561404573528,-0.03999654760584237,0.06688622526500534,-0.02818064739684695,-0.029744079750355173,0.08965728511304959,0.06656988707573516,0.13304300831063937,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.19911375843960302,0.31292854574873397,0.02918880229248948,-0.056800229644969766,0.062304705783886756,-0.02205066357860746,-0.037163490491068873,0.09876827453789506,0.06398018160429987,0.11969698348932944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.3152968204450671,0.2958281211360641,0.022684644007974344,-0.07490352993993006,0.09792123152590962,-0.04185723070865093,-0.06612179742235205,0.11640106099131313,0.08706194096771272,0.17202428480691231,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.3280585329339879,0.29409678352510804,0.016694980962606874,-0.06833943820841937,0.10285833710480644,-0.044940868678462254,-0.05927176970826542,0.12045720790391379,0.08822207006828293,0.16871102411461916,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.3297864585734256,0.292424025994766,0.021530629730904877,-0.06289219658173946,0.11015319579645345,-0.046824879070500966,-0.057193848793597325,0.10087530435103434,0.08986219881021461,0.17291297626074245,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.34073402115103335,0.2619717512295945,0.013991753454117677,-0.06670911892843635,0.09072329848356872,-0.04972027990238175,-0.06111442280204399,0.10148553376126548,0.08649384872825899,0.1255781235837418,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.3329634272922639,0.2600293103346357,0.012569646840996072,-0.06734253834852055,0.09079999435693024,-0.05450153150474247,-0.06275537328875583,0.10234287412756161,0.08923752403210684,0.10982442128836463,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.3502511121940029,0.25554528366126444,0.012395694230723644,-0.059567941195614954,0.09207226149413897,-0.04914631191074199,-0.05797957384230002,0.0986679345798557,0.087593733538752,0.11658550369836714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.345297195751058,0.23619569020426795,0.01021116674027365,-0.0588385302670624,0.08796337789410483,-0.04536500716824894,-0.05476818301674462,0.09358091434706811,0.08825822187992542,0.08491252648360703,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.335807965554135,0.23666446029896973,0.010862450203655855,-0.06013909784267131,0.08704428411615284,-0.04634340554880706,-0.050623142158855564,0.08616929031584576,0.08312051363856247,0.07798655082593146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.3652883136361514,0.24318315737921253,0.007609663550620488,-0.06521089743903798,0.10294680176140819,-0.04518346719767735,-0.05506430449045224,0.08923781163018683,0.08158546907503325,0.08948905931704716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.04328211337489926,-0.08439016226274167,-0.0023485250641470364,-0.015458987667832684,0.018164492163645185,-0.010011348560776399,-0.0014185228133979059,0.03275752359596284,0.02919878024931835,-0.0790717129798039,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.05186679161194224,-0.07749089415468599,-0.003101374124703198,-0.014712642421541008,0.034786290928883405,-0.013515852646821216,6.916404742261659e-05,0.02701438101170503,0.029711269556504234,-0.08675412995902741,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.056639685254220085,-0.07791046376218615,-0.003468012032301529,-0.014886726111821506,0.025187895689969483,-0.013585896560031435,-0.005128182386574541,0.03854853942504395,0.02975847372218319,-0.0777365221520481,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.05231268903807454,-0.11013098498968328,-0.0029742113581818085,-0.014963969742150411,0.02163226686499041,-0.007696491079000026,0.0004716381552102768,0.023325340666038835,0.03456977247462972,-0.047781251574178105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.06633170772100921,-0.08190268379109708,-0.003379953775716863,-0.015050655023559277,0.03190329365432263,-0.011115375984784053,-0.002016191869650198,0.03190162263891619,0.030070117590544013,-0.069939042000181,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,-0.07012182567187626,-0.09505490517648665,-0.0033912713679930396,-0.010502873903707317,0.03349339728365125,-0.011104500075883188,-0.0017500854801872523,0.026948950842994708,0.03638577883577217,-0.060763241541774364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,-0.07405514188434767,-0.13302072319566557,-0.006502753645181653,-0.02475370267568075,0.03461146285190531,-0.015180528597177367,-0.0042066791418777895,0.03170112032767223,0.036264164591127114,-0.0007177953373478822,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,-0.09182520611697564,-0.14769123242439133,-0.005301145619672274,-0.025659735126663814,0.03369091131602941,-0.018179359591525536,-0.003154652542232171,0.04597145303759886,0.044366942647358645,0.01192144813906887,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,-0.09170743371562468,-0.14453603185794275,-0.005934253049933391,-0.02469035395704534,0.03288405458483359,-0.008355561308562758,-0.006574350019673939,0.039104228632767565,0.03914862267349077,0.01480050240278892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,-0.12639602214583887,-0.1550132992280567,-0.005654718564904252,-0.028039848330714136,0.03964281204197069,-0.018878274456314424,-0.012861319956896098,0.054256752003794116,0.0485681808197304,0.048515158387953825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,-0.0889834538936291,-0.18157017961306426,-0.005103032167838965,-0.03398112240611859,0.035490430378881485,-0.0216379581456599,-0.009094773052341267,0.044637980763193065,0.04350993999482498,0.06087158875296944,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BC_pH7_2,-0.10688820540662046,-0.16549675993378402,-0.004904828078073001,-0.02986758501795323,0.037413530462300004,-0.018194033003857607,-0.010219865500441062,0.04735335363318091,0.04043967004136547,0.054504146743565796,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
