Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--delarc_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
delarc_pH6_1,-0.04455111466834079,-0.013288424385954506,0.007245405442688776,-0.001792766374090444,0.0011146489854740053,0.006649201180299987,0.010100661224645117,0.0096998009506775,-0.030098814701904418,-0.0011022322479149569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29127362738877827
delarc_pH6_2,-0.039023676540540626,-0.013310109911405523,0.007905861989635487,-0.005062434477326664,0.0015371756741534106,0.008232499511669511,0.007524318230216919,0.006991000426528246,-0.02832608646672705,-0.0024921855200891914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2957269459022493
delarc_pH7_0,-0.05826418191518472,-0.017295281626284124,0.008900746547657509,-0.005921995061571183,0.00319638973020989,0.008262683089984499,0.0074000873076527016,0.006710729801460451,-0.02879844370095625,0.01978563249597082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5922068579302491
delarc_pH7_1,-0.04674598132624576,-0.020781215986479883,0.008092932892234428,-0.004444922566737817,0.003301020350469194,0.008259972755027852,0.008097481633657994,0.010634978743998902,-0.03480203998477562,0.012364136550737462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5480973412378645
delarc_pH7_2,-0.05060999485623578,-0.012884463570688084,0.00915807689823534,-0.002094937985681969,0.0009222890161301775,0.009364425031387284,0.006416348319338713,0.00695040783642427,-0.027869959638818442,0.004624171982640807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5469120935714209
delarc_pH8_0,-0.05441203938716132,-0.015092393108036204,0.007534533044242339,-0.008686096425289693,0.0023783446346288145,0.009823407699232517,0.0065903447114902996,0.009235301526344343,-0.043213870700286774,0.02981883330513602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8455353071301549
delarc_pH8_1,-0.04186829733621815,-0.01375580414319816,0.008537528676831203,-0.012834691395578177,0.001895512088161447,0.011316504463877367,0.007011237546153691,0.006201839218644991,-0.05338537291664145,0.030857910466906814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8378107178569503
delarc_pH8_2,-0.053788643714202486,-0.01365174762580706,0.009227820058231768,-0.01109613072451042,0.0023041162558871753,0.011574726067483426,0.0066512884960874255,0.005391832075041273,-0.0448809085915918,0.03224401278664236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8442380625189879
delarc_pH9_0,-0.06092089562636353,-0.009734562423242176,0.011233094358897727,-0.009941851807677227,0.0037495405745247156,0.009219598491554676,0.004384001728309238,0.01376016192462133,-0.05113623780724794,0.0333635172555628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.003926186226973
delarc_pH9_1,-0.062038732924215176,-0.011052422264347902,0.00782413338675447,-0.010780149456923422,0.0006648324656745661,0.008380408975417199,0.005716252035420875,0.012833356295266878,-0.04178742914906015,0.034216117304952255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9964236708955914
delarc_pH9_2,-0.06369198930004369,-0.013861522783079875,0.008933604490821773,-0.008348562365964702,0.003140920909202617,0.00935332478550465,0.00761563908956621,0.009186354227688003,-0.04971929516157379,0.041367888988360114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9996501428774356
AC_pH4_0,0.12810740596574285,-0.026923535338238536,0.01519948545033517,-0.02173674033711786,0.010024769053510997,0.015689117955448834,0.015327764551924621,0.017718078414707076,0.016046825606861836,-0.22547680645533222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.13308232096550263,-0.0321676306993417,0.014040888581910858,-0.023690311175001703,0.008297943701238734,0.01592795975506306,0.01574233984817629,0.011764630370813867,0.019391508824799376,-0.21841328406301525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.13392302510207116,-0.037004325597182565,0.01962581747899885,-0.02277500045850225,0.010153024904429915,0.01882636861146792,0.020762892925868862,0.01745763430776803,0.01393150514882544,-0.2309245762974023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.13215538411684657,-0.0308556049252334,0.01522521599641312,-0.02214255798446095,0.006823670122286549,0.013874563403103663,0.01879830046840336,0.020680720569646878,0.015828215881534245,-0.2264115411804422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.13927247990084737,-0.03440175551273251,0.01909178571532602,-0.02409312128372815,0.0047397109526007095,0.01694198448372924,0.018577834827744447,0.013463611374406713,0.018489996549551902,-0.22810616209941062,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.12556644524731067,-0.027398702524926356,0.016398154594328092,-0.02453306512502224,0.011535927748874474,0.015732770000139007,0.02407182048196379,0.014046537077621274,0.018292365134086292,-0.2297358879285014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.18056545658603962,-0.04548598926028479,0.025874337421163268,-0.010844936421060044,0.015086238502484296,0.02580406783877507,0.029276608278893904,0.03621652694176072,0.027942224655138417,-0.15755760659018286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.22379692304069573,-0.04096351360983176,0.03161011476717565,-0.01728151957463959,0.022782193958435365,0.0367834094280134,0.03878606908023356,0.05327275136242742,0.03649699853004321,-0.10098936641021913,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.21463321509568584,-0.03953676998291328,0.03843710109429514,-0.018877435762273232,0.030968221438967655,0.03710589965562458,0.0399698761737217,0.02926581971995209,0.028539052278451302,-0.11455086240301958,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.3624150830863611,-0.06924680741908756,0.04383174217103614,-0.0388126615823611,0.04471757973179869,0.037399830550927195,0.08104860549225758,0.08464973854143983,0.057006156936935774,0.10845867780239686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.36433494313579534,-0.07569387364970598,0.04954988845988462,-0.04741640196870201,0.04007505944079678,0.051096577548786354,0.08393236579454466,0.0834615248636059,0.04838706224346938,0.11642133938229601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.36314512155302187,-0.05276082107068403,0.051634097782813984,-0.050140736564669906,0.04094368830647156,0.0488165353189992,0.08614602249115703,0.061456137103554964,0.057647012243776226,0.1067506144357764,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.4246071764794381,-0.05881570090742214,0.04459607221672068,-0.05531916521813558,0.04720929919215648,0.03158777775485879,0.05325981615840094,0.08408842807554683,0.06287274382036666,0.21789336565881962,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.4394543340802194,-0.06556286792716257,0.04727277188845302,-0.05932053071811147,0.05244402792790663,0.0269019768808199,0.057320172428760835,0.0896660508652744,0.06993156750726959,0.22300515411664612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.4390352510304554,-0.059836372190519495,0.05042570739498604,-0.057932028114471776,0.050068577769333884,0.03394467306687778,0.05016376591085093,0.08042510367444028,0.06406730513047915,0.23337184687671456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.4643315324154883,-0.069761527593693,0.05678290683128262,-0.05983278033849982,0.04226129279998334,0.03949585843669333,0.044912905911712556,0.08877929161424224,0.07185056707619322,0.30197684697806837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.47353506678148455,-0.06898295472659491,0.05001528820913772,-0.06773232939936545,0.047041380601408674,0.046441557796105086,0.05141238273647815,0.09927359037101269,0.06961273443925639,0.2938164098285462,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.4764602518340816,-0.0663532607305957,0.05619950941723325,-0.07004475468526715,0.05089724464422981,0.03846707459701145,0.04647375814940621,0.08819578529376049,0.07777574368469094,0.30241915598349733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.05831833155420809,0.006547649697117186,0.008530063104370364,-0.005313871561185174,0.001620977561434972,0.01202040335892335,0.00783770850657121,0.010382465355746124,0.007713210801391498,-0.04704390860122183,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.05810575045807206,0.00539232504432616,0.009347485835137575,-0.007552901410862157,0.00216573372969161,0.00687635905230823,0.007664262334937633,0.013309071008925852,0.009367723643131877,-0.044487942270934576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.05366251207402218,0.005402247695171317,0.014912588236772497,-0.008387133482357732,0.0019549801702732623,0.011101914399667925,0.008680976020253223,0.001477986956420152,0.0041015949699541795,-0.04160627637706373,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.06495551861498665,0.0063391558469637595,0.010975153922386788,-0.00844462822636832,-0.0004131249241206952,0.013616032903285127,0.009318925634674402,0.009434390301289767,0.00571743804961443,-0.03761146094002153,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.059097435388552104,0.005292086225488912,0.011693151947920737,-0.007923357407359973,0.0007797183193590329,0.007802886274521767,0.007914870509310909,0.007524528281520243,0.008441607074245164,-0.0384516891675151,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.06440940597135088,0.005686439419894117,0.009589275338727494,-0.006322674072631027,0.002030970909349296,0.008973009704571704,0.009398559050067612,0.013210790547663753,0.005512158311903477,-0.03969275656925595,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.0793292067637262,0.006506935536213544,0.010505058311897774,-0.004751453435291415,-5.8229280554730144e-05,0.011406254175564517,0.007049826484011568,0.015317151332679002,0.006108882895306401,-0.028778852587160862,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.09168358479019091,0.007219759553023011,0.006221995013563528,-0.0050466057544817115,0.007396634562831857,0.0097060732818816,0.007663807522343553,0.014461659863591192,0.008194832319150802,-0.020158204902773317,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.09518363723612348,0.007157243972887164,0.011289704459840837,-0.006861714338478836,0.0018143178538783734,0.012318667505422366,0.007740769455938234,0.016313221704052843,0.007332160681810068,-0.01794436739028796,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.14460960786465724,0.007396463780947357,0.01597216977049475,-0.009171176892907721,0.00835269332094037,0.008400650073004808,0.009359597541067912,0.022550864836767964,0.013075177633891938,0.012649534343053463,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.14780875363103718,0.00749029826210893,0.016937400951333673,-0.011197800077497959,0.0032158406710495126,0.010746551054003448,0.010776828129006471,0.024348610118031504,0.012471142302712672,0.016996248782328943,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.14285913670030626,0.007464758734340255,0.01816006264932777,-0.00935192913464878,0.0037774211605605852,0.014139512088959631,0.009750344615591608,0.015522047887029855,0.011213723171664322,0.01615956219642059,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.1637085353745067,0.008441044289780703,0.015049797461732574,-0.011908126473426817,0.004232941141918951,0.009695227376144868,0.011165106803502725,0.02707800947453665,0.014495731856188047,0.02943517011306856,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.1769355323878319,0.009013046074820601,0.016117472726365795,-0.012765669195872287,0.008798967480011606,0.00931310345945151,0.009242782819530237,0.028829861604001215,0.01553105912130812,0.03683127496715473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.16222193617211733,0.009688993154660517,0.00963249898151211,-0.013171465029211146,0.008669349951264652,0.012905185716631618,0.008672338685263759,0.022182998948771022,0.01270199938798728,0.03491640304417714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.18894286016731157,0.009859080936597741,0.01582824135118205,-0.011841224294317805,0.010586797005456427,0.01234722453776909,0.008640101908341696,0.01761314832483945,0.014280659792863803,0.05560519701598778,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.19857414235563378,0.011141212051329409,0.021462593611491766,-0.010597207100818984,0.010697965464838175,0.013178418213906496,0.009006576818292554,0.023548405831274787,0.01946009008132893,0.044652454052930286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.18570106334174458,0.01055875913604446,0.015005128054839114,-0.014407404021400472,0.009667386193962197,0.01409314841679905,0.011035494697482691,0.025505442209541807,0.014445843076252421,0.04377363224716289,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.03338596031879602,-0.010717688528415948,-0.005705838796237242,-0.005379932836993882,0.0009116785665569096,0.0056182593722706245,0.005818213086737238,0.011440096068317475,0.002525510015371053,-0.02714797221934018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.029491615013583838,-0.01462906852526509,-0.004564671036989793,-0.0043346187277980485,-0.00041912558286086353,0.009426007831226225,0.005540475799985555,0.009111062095541021,0.0038420404267051943,-0.030504121189208134,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.040015769210522585,-0.011037248802249848,-0.007227395808567172,-0.005497159680918508,-0.00010792536580044303,0.007341152934924415,0.007769645925449287,0.012000788411368493,0.007034834503479625,-0.026284556910395614,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.03736675178065248,-0.014758753898027152,-0.0064666173024022075,-0.00447371021884939,0.0015582428419071695,0.009920377590410088,0.0041776135920182506,0.011128819374286609,0.0033129310753682384,-0.023055784752511462,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.03134649814147016,-0.014263066581409911,-0.0068470065554846905,-0.0068895919491415445,-0.0011016699461185414,0.010477549014208108,0.005760678302334704,0.009316469610709211,0.0039882365630372705,-0.025118735468258022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,-0.03466400789825812,-0.013406852511284146,-0.0045646710369897925,-0.0072376806920637264,-0.0009391368844586861,0.00936344079349352,0.009934920927752616,0.007344518674780491,0.0038917319249847653,-0.025745898698982993,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,-0.04364034604443155,-0.009872178913134595,-0.008034516653936842,-0.006058812695352929,0.0003859251494640886,0.008255984052691772,0.0072950107053570135,0.012067721055253689,0.0051245980790775745,-0.021547019742429258,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,-0.04327672648527052,-0.012679219006196316,-0.010123807817049649,-0.00547985759118329,-0.001549782961930918,0.00903376219875139,0.007716617017336515,0.01439052151273126,0.004480798477711885,-0.018535941614081026,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,-0.04031335417667161,-0.02172860133583131,-0.009540373880578122,-0.00607107072258773,0.0029000003052794417,0.00880346166860798,0.011161272770360761,0.014341022935898408,0.004230304399262304,-0.019806297622297124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,-0.06911577873255895,-0.028024214543402193,-0.00889029657063277,-0.00750558399959751,0.00568248069156771,0.014865916313036626,0.012116267080216306,0.012050209035692008,0.006017938679003197,0.006779428375479969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,-0.08319683850945338,-0.02556211109718551,-0.00888600388298864,-0.01072269642968541,0.009476080138398253,0.015471684704332246,0.018265903025217668,0.015653297640383246,0.005100844628784969,0.008376205819456476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BC_pH7_2,-0.07780669057012898,-0.026230788036533025,-0.008945911931602851,-0.0071657313795193385,0.0038140591898042212,0.017588041241726148,0.01380841979999905,0.02064485695860956,0.003034704240119975,0.005235404543902563,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
