Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--delarc_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
delarc_pH6_0,-0.03272141157446996,0.010940448107278867,0.0025840207691425862,-0.02606538212007802,0.01851245368952337,-0.01312913776577815,-0.012678360195587513,-0.06742242508122455,-0.027240561425038005,0.023567841840179068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2884225051673924
delarc_pH6_1,-0.028789815115539928,0.014558811262249949,0.0017543333169558772,-0.02593426380144513,0.013346374606632669,-0.014837411527076492,-0.014231749104092953,-0.059019896746005725,-0.031949967082751836,0.021451070402627403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29127362738877827
delarc_pH6_2,-0.0404379379020437,0.013744295895423584,-0.0020627458280195383,-0.035424117028065354,0.022049437004910865,-0.012862134890063954,-0.014961095585123355,-0.05863359082166268,-0.03529587816932927,0.04023126219763704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2957269459022493
delarc_pH7_0,-0.033963552233965494,0.018266136803380826,-0.0044567596491264265,-0.03248650058780028,0.015955554795977864,-0.007722933068871501,-0.011951979588231316,-0.05135671148643546,-0.03025071080936038,0.014314943691310675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5922068579302491
delarc_pH7_1,-0.029343803111949694,0.020025302628460143,-0.00036119326139273883,-0.03005478428271802,0.014215653277933593,-0.013922175565815492,-0.00974262280146713,-0.06573433808658435,-0.03390409751106863,0.025169553614181016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5480973412378645
delarc_pH7_2,-0.04410747451788705,0.016821419688994473,-0.002420166910666487,-0.027197615564193423,0.022008749980317516,-0.00881594584363958,-0.009004145596662294,-0.05835342426176952,-0.04304290966333255,0.03045900817474593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5469120935714209
delarc_pH8_0,-0.03827437381381574,0.02127228082036195,-0.001056263087236363,-0.026231932414938576,0.014018901476393576,-0.0068753215055102875,-0.009749974451311256,-0.0584296557728363,-0.0219200069376308,0.0035938320114560726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8455353071301549
delarc_pH8_1,-0.03177323213899913,0.022881331999340785,-0.0015341393487608966,-0.029244465225416686,0.019039299194903478,-0.012758653398765172,-0.007041031883462615,-0.052488304305335756,-0.045866177666770376,0.015132860640144866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8378107178569503
delarc_pH8_2,-0.03361482130768506,0.023463401392750115,-0.004940895571008972,-0.03151987341435059,0.021737817350936977,-0.01262258515571771,-0.008619172286404214,-0.041416359862879566,-0.040509206263915354,0.004389181572781956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8442380625189879
delarc_pH9_0,-0.024425597017549955,0.010201360346830413,0.0027128438570577155,-0.01973457350193159,0.009322849455411019,-0.009377893946417002,-0.008452959044472033,-0.041775841824710364,-0.029838186735692225,-0.012284513721647471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.003926186226973
delarc_pH9_1,-0.02527534297626952,0.019398447375582616,-0.00012137864594874229,-0.01915732641582904,0.016924199343699476,-0.0064702362324232645,-0.009377114084427773,-0.05490165588486455,-0.03172426274775163,-0.012947841864889084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9964236708955914
delarc_pH9_2,-0.029620214652108113,0.0335649159890802,-0.0008905249785469929,-0.022438349966769633,0.00885470116591972,-0.009331463568884394,-0.011269658952951433,-0.05577107277577338,-0.02113931469295336,-0.01561152268363082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9996501428774356
AC_pH4_0,0.010015820731287421,0.013955895959035214,-0.0034089500214094714,-0.030859944592027566,0.015949742841007912,-0.014187085139362713,-0.00619152554837258,-0.07324876155218354,0.03188224689144155,-0.06755994741035545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
