Treatments,Time,BA_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BA_5,12,0.01,0.009717583,0.00951064,0.010947378,0.0095728,0.01033806,0.010677024,0.009825509,0.009086368,0.009842332,0.010798617,0.010601247,0.01046359,0.009815878,0.010176883,0.01004431,0.009603064,0.0096667865,0.009289966,0.009570167,0.009200815,0.010445337,0.009985047,0.009712341,0.009914783,0.009602435,0.0095591955,0.009575196,0.008780738,0.00820935,0.010625126,0.009646128,0.0089420155,0.0091531,0.009782777,0.009423841,0.0088646365,0.010013177,0.010440855,0.010138649,0.010203201,0.009667855,0.009827661,0.010212408,0.00954081,0.009865706,0.010463862,0.008586536,0.00970771,0.009386843,0.010303829,0.01007127,0.010890629,0.010231235,0.010289261,0.009813174,0.00933002,0.008628029,0.009401686,0.009879668,0.009666672,0.01025087,0.009417058,0.010409854,0.01025242,0.010794639,0.009968444,0.008671835,0.010190294,0.009910888,0.010281068,0.00981795,0.008972671,0.010202716,0.009782414,0.009132369,0.00919615,0.009944223,0.010994804,0.010473447,0.009691314,0.010291889,0.010109783,0.009720115,0.010423725,0.009066773,0.010309978,0.009392527,0.009634227,0.0109989075,0.011073177,0.008546326,0.00945118,0.0121542225,0.009667177,0.0096154595,0.009911503,0.009750377,0.009841705,0.009972364,0.009968131
BA_5,24,0.01,0.009445398,0.00904913,0.011974296,0.009167144,0.010684477,0.011393008,0.0096554775,0.008262632,0.009688426,0.011652833,0.011232404,0.01094417,0.009636628,0.0103554,0.0100884335,0.009224956,0.009347376,0.008635547,0.009162143,0.008471216,0.010906232,0.0099702375,0.009435163,0.0098309675,0.009224087,0.009141313,0.009171702,0.007718134,0.0067488616,0.011283121,0.009307428,0.008003203,0.008383709,0.009572029,0.008885016,0.00786524,0.0100262435,0.010896835,0.010278062,0.0104087135,0.009349388,0.0096596,0.010427382,0.009106364,0.0097342795,0.010944893,0.0073809926,0.00942619,0.008815931,0.010613905,0.01014244,0.011851156,0.010465687,0.010584309,0.009631332,0.008709553,0.0074524535,0.008843544,0.009761776,0.009347291,0.010505773,0.008872525,0.010832481,0.010508755,0.011644078,0.009937275,0.007528223,0.010382484,0.00982328,0.010567462,0.009640755,0.008057848,0.010407725,0.009571279,0.008345826,0.00846262,0.009889206,0.012077877,0.010964662,0.009394655,0.010589553,0.010219771,0.009450336,0.010861602,0.008226952,0.010626699,0.008826303,0.009284741,0.012086335,0.012249771,0.00731247,0.008936503,0.014742798,0.0093480265,0.009248659,0.009824544,0.009508956,0.009687239,0.009945037,0.009936628
BA_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BA_6,3,0.04412833333333333,0.016654158,0.016566673,0.01666757,0.016250193,0.016193924,0.016792636,0.016330725,0.016418932,0.016691916,0.01647339,0.016359923,0.016205719,0.016541116,0.016290678,0.01635746,0.01632272,0.01630943,0.01615249,0.016191427,0.016840262,0.016593099,0.016526757,0.016359558,0.016224599,0.016337665,0.016362611,0.016293867,0.0162418,0.016013164,0.01638359,0.0162477,0.016333584,0.016505683,0.016649099,0.016175374,0.01634773,0.01610785,0.016604535,0.016212488,0.01658961,0.016546652,0.016358688,0.016485594,0.016398292,0.016251396,0.01633785,0.01644441,0.01639233,0.016295206,0.016481327,0.016695434,0.016164446,0.016395798,0.016232476,0.016479284,0.016088877,0.016665265,0.016429005,0.016353637,0.016445035,0.01645653,0.016560996,0.016453605,0.016370347,0.016453605,0.016143829,0.016301125,0.01624713,0.016022878,0.016325697,0.016353406,0.016441245,0.016566249,0.016449202,0.016551908,0.016401406,0.016543712,0.016387764,0.016569616,0.01643507,0.016426964,0.016700748,0.01638183,0.016172009,0.016140455,0.016364817,0.016297614,0.016087925,0.015952753,0.016457988,0.016577665,0.015989264,0.016292114,0.016584992,0.016247751,0.016212303,0.016095135,0.016136762,0.016670475,0.016115764
BA_6,6,0.06416100000000001,0.027684312,0.027391156,0.027727315,0.026358144,0.026176808,0.028142052,0.026619334,0.026906386,0.027808227,0.027084138,0.026714599,0.026214432,0.027309658,0.026488686,0.026706973,0.026592458,0.026550801,0.02604328,0.026168432,0.02830269,0.027479773,0.027262127,0.02671514,0.026277622,0.026642237,0.026724003,0.0265012,0.026331497,0.025597543,0.026792783,0.026351381,0.026629105,0.027192337,0.027667442,0.02611795,0.026675478,0.025899379,0.027520208,0.026236832,0.027469434,0.027326887,0.026708132,0.027125176,0.026839659,0.026362801,0.026642282,0.026990354,0.026821276,0.026504895,0.027113859,0.027819445,0.026082825,0.02683066,0.026299903,0.027101688,0.025839062,0.027719893,0.026940644,0.02669327,0.026992813,0.0270315,0.027375534,0.027021093,0.026748387,0.027021032,0.026018096,0.026523488,0.02634827,0.025628094,0.026602436,0.02669393,0.026982723,0.027392168,0.027009208,0.027345598,0.026851375,0.02731922,0.026805503,0.027401043,0.026957015,0.026932351,0.027837122,0.026786866,0.026106808,0.026002197,0.026731487,0.026511353,0.025835223,0.02540469,0.027034914,0.027429081,0.025519995,0.026494661,0.027453694,0.026351789,0.026235884,0.025859993,0.025992777,0.02773547,0.025925955
BA_6,9,0.085465,0.0458778,0.045140944,0.045978848,0.0426262,0.042190503,0.047002614,0.04325814,0.04395466,0.04617943,0.044386763,0.043490484,0.04227965,0.04494983,0.042939644,0.043473262,0.043190125,0.043094344,0.041869283,0.042169236,0.047407944,0.045364104,0.044832326,0.043497648,0.04243961,0.043314997,0.043515377,0.04297732,0.0425635,0.04080517,0.043684166,0.042614274,0.043283537,0.0446596,0.04583576,0.042052068,0.043397278,0.041522607,0.045473162,0.042335432,0.045342907,0.04498892,0.043466274,0.044490922,0.043794513,0.04263997,0.04331321,0.044161636,0.04375333,0.042984154,0.044472557,0.046205483,0.041967902,0.04376964,0.04248232,0.04442363,0.041379984,0.045961305,0.044042688,0.043435607,0.044169467,0.04426722,0.045113496,0.044239014,0.043572053,0.044238813,0.041817777,0.04302698,0.042602487,0.040876642,0.04321537,0.043442085,0.044152744,0.045151923,0.04421896,0.04503983,0.043828208,0.04497727,0.043712012,0.045165915,0.04407075,0.04401703,0.046249416,0.043669127,0.0420243,0.04176248,0.043534804,0.04299507,0.04136799,0.040345155,0.044271022,0.045240134,0.040616106,0.042958573,0.04530222,0.042616155,0.042331904,0.041432973,0.04174824,0.045993727,0.04159021
BA_6,12,0.08848566666666667,0.07564218,0.07399774,0.075845435,0.068605915,0.06768425,0.07806426,0.06995341,0.071441226,0.07628356,0.072364815,0.07045387,0.067869045,0.07361286,0.069267265,0.070420936,0.069799595,0.0696107,0.06700256,0.06763573,0.078969106,0.07449737,0.07335624,0.07048714,0.0682322,0.07007898,0.070513435,0.069370344,0.06847756,0.06476312,0.07087992,0.068593845,0.070012845,0.07297799,0.07554939,0.06739997,0.07025997,0.06626441,0.07476382,0.06799299,0.07446474,0.0736872,0.07037582,0.072601,0.071105026,0.06864286,0.07006928,0.07189273,0.07102777,0.069378465,0.07259052,0.07633487,0.06722238,0.07104248,0.06828966,0.07242526,0.06596854,0.075809866,0.07164432,0.07032696,0.07191519,0.07213583,0.0739726,0.07206632,0.070626825,0.07206578,0.06692038,0.06946313,0.06855586,0.06490919,0.06985658,0.07035572,0.07190387,0.07404837,0.07205115,0.07381299,0.07119331,0.07368456,0.07093003,0.07405395,0.0716679,0.07157247,0.076431245,0.07084569,0.06733818,0.06675192,0.070558935,0.06938733,0.06593489,0.06379355,0.07212992,0.074231274,0.06435279,0.0693213,0.07437046,0.068600595,0.06798189,0.066089146,0.06674729,0.07586096,0.06641914
BA_6,24,0.22648633333333335,0.48360232,0.46030247,0.48368657,0.4046115,0.3955904,0.50533664,0.418485,0.43349567,0.4885197,0.44245717,0.42413118,0.39698082,0.4597093,0.41066733,0.42426392,0.41602623,0.41579333,0.38848498,0.3947337,0.51734203,0.46766737,0.45669392,0.42659923,0.4033745,0.4202989,0.42545968,0.41441017,0.4038358,0.3662284,0.4298718,0.40592784,0.41967303,0.4520114,0.48244265,0.3936789,0.42282262,0.3804238,0.47427735,0.39885867,0.46896598,0.4592301,0.42030492,0.44643357,0.4309503,0.40581888,0.41946235,0.43900526,0.4314359,0.41373622,0.44985375,0.48835358,0.39195466,0.4291365,0.40020975,0.44084772,0.37798187,0.48363912,0.43730426,0.42171702,0.44004977,0.44361582,0.46424878,0.4416939,0.4257728,0.44169527,0.3906188,0.41382375,0.40416595,0.3673174,0.4168868,0.42368147,0.44280145,0.46429372,0.44502565,0.46261966,0.43371958,0.46208754,0.42923838,0.46124572,0.43327475,0.434651,0.4895044,0.42928654,0.39274597,0.38327155,0.42640954,0.41220018,0.37668628,0.35603803,0.44180876,0.46519467,0.3607191,0.41278833,0.4672433,0.4063553,0.3983694,0.38016838,0.38602275,0.4817325,0.38331693
BA_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BA_7,3,0.035384,0.0234695,0.02334618,0.023990558,0.023646353,0.02370809,0.023870971,0.023694761,0.02367558,0.02347475,0.02346595,0.023590852,0.02363824,0.02362636,0.023672596,0.023537446,0.023867361,0.023646368,0.023907391,0.02385584,0.023533402,0.02377687,0.02376605,0.02363525,0.023564216,0.023569023,0.023622908,0.02374379,0.023271793,0.023705509,0.023450727,0.023635726,0.023392322,0.02355308,0.023325106,0.02387421,0.023583919,0.023670137,0.02354479,0.023451574,0.023610814,0.023477374,0.023770701,0.023713594,0.023832334,0.023745392,0.02392325,0.023533596,0.023626905,0.023992594,0.023550082,0.023541456,0.023773912,0.02369435,0.023482557,0.023469858,0.023734463,0.023563169,0.023747653,0.023506483,0.023261521,0.023576226,0.024086704,0.023519402,0.023656305,0.023759931,0.023803614,0.023903342,0.023537582,0.023618547,0.023853362,0.023944242,0.023799203,0.023687841,0.023461299,0.023707066,0.023528414,0.023541197,0.02356703,0.023510993,0.02352864,0.023685882,0.02340762,0.0236751,0.023710903,0.023716165,0.023491172,0.023641374,0.023709161,0.023893962,0.023937268,0.023548622,0.023720158,0.023978524,0.023826642,0.023848692,0.02357378,0.023652047,0.023795163,0.023679685,0.023523241
