Treatments,Time,parc-_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
parc-_7,6,1.3196786666666667,0.72760785,0.74412507,0.74677813,0.67126155,0.7364532,0.90544367,0.649851,0.5755261,0.67808354,0.61233884,0.83399844,0.7415809,0.6208562,0.80117935,0.85160995,0.96409154,0.81444836,0.5543814,0.79780805,0.78041166,0.74667734,0.7816003,0.6012438,0.8240998,0.6718605,0.6056615,0.57304054,0.8918637,0.6046013,0.7406508,0.41958365,0.74674046,0.5486586,0.92207754,0.69399726,0.5941648,0.4818806,0.5039688,0.5785286,0.7112758,0.64317864,0.5511577,0.5163713,0.5098296,0.79589134,0.71088886,0.9036467,0.747003,0.6787002,0.47008458,0.62095094,0.6996996,0.828511,0.89700687,0.77294564,0.70550746,0.8006451,0.70714635,0.6706605,0.78430974,0.77929896,0.6133603,0.7029273,0.7470744,0.81134343,0.8734235,0.9567894,0.69290096,0.6371347,0.66489,0.8629401,0.5924835,0.98514205,0.9020538,0.5725548,0.5592509,0.74905545,0.86388165,0.50233144,0.77574617,0.9880258,0.5488869,0.7062269,0.7295992,0.634106,0.61174196,0.7560993,0.77087003,0.5618128,0.665907,1.0133569,0.46096972,0.8047157,0.71373355,0.5600379,0.7779071,0.6908881,0.7450591,0.91009414,0.6628692
parc-_7,9,2.6341803333333336,2.1515737,2.126719,2.1603696,2.0033948,2.1405168,2.3990142,1.980683,1.8774134,2.007284,1.8996408,2.2997587,2.102636,1.9148823,2.198497,2.3509655,2.4558246,2.2367325,1.7339011,2.2640257,2.208779,2.1484528,2.1971672,1.9069494,2.1875768,1.9890147,1.8807191,1.779714,2.3446531,1.8747703,2.1211045,1.3878458,2.1600752,1.7129334,2.4966328,2.0467877,1.7878305,1.6093585,1.6298018,1.8012176,2.0667675,1.953219,1.7213339,1.6689748,1.631318,2.2908666,2.0768385,2.4523144,2.1206036,2.0287666,1.5427461,1.877761,2.0102506,2.2988334,2.4326296,2.1640189,2.0486119,2.2841494,2.0493467,1.9750917,2.2549732,2.2347012,1.8823864,2.052646,2.172435,2.201162,2.398845,2.4219608,2.0690155,1.9002532,2.0406706,2.3358417,1.7755234,2.466601,2.4503007,1.7894567,1.8062694,2.1962433,2.310005,1.6344726,2.1884375,2.5486746,1.7669665,2.0643523,2.0789955,1.9516717,1.8900801,2.2301538,2.1774561,1.7869508,1.97099,2.534594,1.5200964,2.2241354,2.0309737,1.7595954,2.1624663,2.0191483,2.1302626,2.3589602,2.0223029
parc-_7,24,3.671250333333333,3.7744794,3.5343826,3.7164838,3.5052898,3.7398956,3.4844654,3.606344,3.8252828,3.5159986,3.4686325,3.7592134,3.313804,3.5331488,3.6340168,3.6741853,3.469252,3.45347,3.4483473,3.6158504,3.6705737,3.6010687,3.6491086,3.6463394,3.3233445,3.5412135,3.5327206,3.5661168,3.6328187,3.5075006,3.6039064,3.2195961,3.5562074,3.28604,3.8566747,3.435684,3.255198,3.525372,3.4890516,3.4840198,3.4548507,3.4640372,3.4973934,3.574547,3.3640249,3.6874027,3.403913,3.8125741,3.4748702,3.5853226,3.252565,3.3777034,3.287069,3.676814,3.6399848,3.3316615,3.4305425,3.8478703,3.426242,3.4445355,3.725854,3.674995,3.5202541,3.3515382,3.5541103,3.4468281,3.7270086,3.463647,3.6149385,3.251857,3.6712,3.4293103,3.2955215,3.6295726,3.6852195,3.444139,3.5456526,3.8067486,3.5200782,3.4954417,3.4717276,3.6673448,3.50931,3.4051478,3.3630707,3.6217964,3.431795,3.6147203,3.5375924,3.4097915,3.5495586,3.6147897,3.3810022,3.6142027,3.3131044,3.3696115,3.438768,3.4222221,3.607852,3.6449673,3.6393604
parc-_8,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
parc-_8,3,0.230143,0.27842152,0.279942,0.3211373,0.29432788,0.2889092,0.26942864,0.29491332,0.26974347,0.31157804,0.29232612,0.304717,0.32970065,0.27342182,0.30345857,0.28595677,0.28122225,0.3119682,0.29791906,0.31450105,0.3071162,0.29867673,0.32296404,0.3168958,0.3354157,0.2974841,0.31105876,0.29483736,0.27611673,0.3069826,0.3260477,0.27081823,0.28856337,0.33772963,0.3255019,0.30944747,0.29028434,0.32861805,0.2995927,0.29963657,0.29584092,0.29418954,0.31834775,0.290031,0.3259793,0.30758774,0.29551882,0.30475026,0.31384033,0.31161267,0.28695387,0.29113638,0.33188045,0.3094055,0.33024907,0.31712916,0.3146742,0.29950994,0.27415764,0.29345784,0.32469824,0.32131952,0.3257279,0.30194008,0.30855665,0.285501,0.29442313,0.30078956,0.27361238,0.29247743,0.29367763,0.28827515,0.3283692,0.30712152,0.26300442,0.27298734,0.29433542,0.29446703,0.2750154,0.33481514,0.29342452,0.32406735,0.31292486,0.2894887,0.3190277,0.3220674,0.3240245,0.3108461,0.2948066,0.31126848,0.30138776,0.31422698,0.32639578,0.30301607,0.28759044,0.31525004,0.3127472,0.3086847,0.31752908,0.29894805,0.27603707
parc-_8,6,1.6912303333333334,2.3756118,2.4285963,2.5332382,2.5679412,2.5078034,2.418187,2.4760187,2.3741293,2.6228824,2.5157208,2.5143366,2.6757555,2.3996177,2.593923,2.4203794,2.366864,2.589142,2.5479095,2.59848,2.6209211,2.545514,2.6362686,2.641483,2.7150242,2.475236,2.5741787,2.4362998,2.366813,2.6313672,2.6491897,2.3587933,2.4574244,2.6543238,2.666951,2.4943767,2.516806,2.629606,2.445154,2.4278479,2.397159,2.47418,2.5967288,2.4199626,2.674727,2.5933177,2.5050566,2.64814,2.5956059,2.6562335,2.4897635,2.5657136,2.711937,2.5714297,2.6929052,2.6270657,2.6222212,2.5342264,2.3941982,2.506553,2.6430783,2.5727782,2.68505,2.5270803,2.6139796,2.4046931,2.5086968,2.4664207,2.4726338,2.4647608,2.4791787,2.3980608,2.623857,2.61278,2.35535,2.3960834,2.5918815,2.517752,2.4020865,2.7393131,2.4778354,2.6611285,2.6874156,2.4496057,2.5900702,2.6880136,2.6357405,2.5380223,2.522283,2.6020532,2.5634599,2.546407,2.6541913,2.511694,2.4614174,2.5564764,2.6213408,2.4898312,2.6634068,2.4886405,2.4325516
parc-_8,9,3.09858,3.2097757,3.313789,3.3088784,3.4841542,3.4276953,3.398901,3.3428972,3.3131542,3.4557104,3.4475229,3.3727841,3.4929118,3.333011,3.4761105,3.288454,3.2547088,3.382753,3.455753,3.3965673,3.4862134,3.478965,3.5005507,3.5297294,3.553442,3.2708952,3.406234,3.2223568,3.2992277,3.5308697,3.3955965,3.389706,3.2921891,3.469799,3.4544969,3.287924,3.391801,3.3529606,3.269696,3.2181962,3.169312,3.294661,3.458868,3.3230453,3.4679475,3.4914978,3.3559446,3.5332422,3.4521003,3.5029984,3.3776317,3.5016851,3.5170662,3.4053895,3.510916,3.500376,3.4705472,3.3390334,3.312911,3.3987803,3.4829516,3.3829515,3.5034153,3.3798122,3.5049472,3.2416885,3.4116726,3.3207588,3.45235,3.3873172,3.3434458,3.27827,3.3682528,3.4767497,3.3081384,3.3219862,3.5310175,3.4209855,3.3138788,3.5591717,3.301046,3.4809582,3.5258467,3.2952743,3.388629,3.469962,3.4770234,3.3612287,3.3738375,3.4175575,3.5219295,3.4005778,3.4271517,3.3047984,3.3778024,3.2936132,3.459127,3.2686398,3.5453365,3.361496,3.3330483
parc-_8,24,3.9461383333333333,3.2840488,3.3910334,3.390904,3.5696874,3.5266054,3.5049016,3.4274657,3.4082522,3.5336797,3.55603,3.4758668,3.5789056,3.427222,3.5615876,3.3750174,3.3530996,3.4495294,3.556212,3.4670186,3.5715635,3.595453,3.5992424,3.6340003,3.6442435,3.3418264,3.4892883,3.2927012,3.4097245,3.627956,3.4553943,3.5441709,3.366201,3.5665152,3.52694,3.369046,3.4745803,3.4079182,3.3578784,3.2979226,3.2392378,3.366198,3.5714726,3.4287186,3.5404224,3.5953698,3.4401944,3.6130338,3.545303,3.5782726,3.4600787,3.5890903,3.5917282,3.486425,3.6024733,3.5977137,3.5539534,3.4026756,3.412536,3.494217,3.5786781,3.4661112,3.5834708,3.4626482,3.602578,3.324414,3.5080626,3.4190135,3.5531602,3.5013852,3.4329329,3.3839407,3.433295,3.5579965,3.4126487,3.4146662,3.6263041,3.5221634,3.4044318,3.6424084,3.3714538,3.5600061,3.5990942,3.3732448,3.465455,3.5316682,3.5611706,3.4437697,3.4497797,3.4897795,3.6459303,3.508981,3.4892576,3.3750026,3.4815814,3.3519735,3.538536,3.340696,3.6394808,3.4583616,3.4090827
parc-_9,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
parc-_9,3,0.28547,0.10867061,0.09256035,0.086991385,0.10104679,0.11941498,0.09144037,0.08050439,0.07888624,0.08705602,0.09799252,0.101545244,0.091329224,0.10104905,0.09796945,0.08689686,0.09645601,0.11075009,0.09521939,0.09520336,0.100604296,0.09656509,0.10786648,0.09011728,0.08400573,0.11498027,0.082879156,0.08419497,0.08821823,0.091427125,0.09764364,0.09371524,0.09412214,0.091949314,0.10435268,0.09214222,0.080324344,0.08569447,0.103544176,0.08901494,0.089531526,0.10758472,0.09611771,0.10991191,0.08047461,0.098353066,0.110262714,0.09331312,0.078384966,0.09264175,0.09493339,0.0926502,0.083000846,0.10352578,0.07802442,0.09025225,0.08765861,0.100728564,0.09958124,0.10712159,0.09862421,0.094185814,0.08487452,0.10576493,0.12817332,0.09944365,0.10369576,0.10308652,0.08693515,0.097534746,0.08846347,0.097026095,0.09335259,0.09364015,0.0995199,0.09523383,0.08549086,0.08922439,0.11805225,0.08886839,0.08899871,0.08643758,0.09282954,0.10382165,0.09784737,0.1018538,0.09312721,0.10787222,0.09395158,0.10683377,0.08727118,0.10110108,0.09013913,0.08937888,0.10264322,0.08623852,0.09341217,0.124633834,0.10664958,0.0970304,0.10442857
