Treatments,Time,delarc_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
delarc_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
delarc_6,3,0.17306666666666667,0.030629104,0.031791575,0.031627532,0.03259737,0.033159405,0.032848585,0.03287436,0.031514514,0.030050164,0.03435429,0.031873625,0.034303397,0.031324983,0.032208722,0.03186164,0.03279543,0.03270472,0.03169073,0.03034664,0.028885212,0.031433187,0.032663804,0.029173467,0.034017097,0.03139014,0.028982535,0.032477506,0.02984585,0.03112377,0.03246694,0.031134823,0.030749768,0.030642906,0.032712374,0.031103501,0.03200103,0.03299383,0.033478994,0.032558564,0.034356397,0.031472594,0.03326514,0.032909423,0.032403573,0.03050449,0.03198382,0.03422926,0.033634033,0.030526133,0.028830511,0.028717102,0.027959798,0.029856594,0.03224087,0.033517912,0.031013276,0.031737518,0.03315595,0.033016834,0.029985303,0.032634277,0.033626422,0.031943846,0.03140018,0.031172277,0.030347485,0.028568707,0.03100661,0.031124726,0.03237759,0.031194765,0.030820126,0.030303352,0.032589402,0.031621307,0.02983766,0.032517567,0.034187373,0.03124089,0.030650845,0.03073106,0.032964103,0.035685506,0.034799293,0.03174319,0.03160933,0.03316984,0.0333008,0.030891052,0.036558423,0.03164808,0.02788855,0.03186287,0.030458378,0.035257213,0.031875104,0.033652253,0.032390926,0.031959284,0.032931164
delarc_6,6,0.9142623333333333,0.09269964,0.099818416,0.0987821,0.10478555,0.10840442,0.106362335,0.106638096,0.09807309,0.08939027,0.11618032,0.100341804,0.11589138,0.09688914,0.10242168,0.10020907,0.1061374,0.105513915,0.09923126,0.09108506,0.08261709,0.097581856,0.10525375,0.084285244,0.11400634,0.097399354,0.08319441,0.10404866,0.08817048,0.095719285,0.10401884,0.09579119,0.09347058,0.09285804,0.105540395,0.095625155,0.101123415,0.1074152,0.110502824,0.104581006,0.11621562,0.0978634,0.10906649,0.10678144,0.10361749,0.09200655,0.10096684,0.11537585,0.111383155,0.09213962,0.08233178,0.081689,0.077478915,0.08820323,0.102581866,0.11070678,0.09504878,0.09949684,0.10838125,0.107556015,0.08893161,0.10505101,0.11141627,0.10072856,0.09737952,0.09603697,0.09109448,0.08085908,0.094973676,0.095707595,0.103431195,0.09613964,0.093927704,0.09083473,0.10479903,0.098763354,0.08806718,0.104389966,0.115052745,0.09644785,0.09289793,0.09342519,0.10720842,0.12514628,0.119211875,0.099475265,0.098679006,0.10846534,0.10931493,0.0943025,0.13109924,0.09891588,0.077103645,0.10023248,0.091764264,0.12231867,0.10033715,0.11154602,0.1035305,0.10083664,0.1069524
delarc_6,9,1.632405,0.27087516,0.30173814,0.2970196,0.32254875,0.3388713,0.32927406,0.33171532,0.29382434,0.25820094,0.3733318,0.30416363,0.3726016,0.2885058,0.31311345,0.302972,0.32953238,0.3262694,0.29957965,0.26475045,0.22988343,0.29179195,0.32512045,0.23691766,0.36416608,0.2918455,0.23245355,0.31954423,0.2529052,0.28407013,0.31981713,0.2844251,0.27460563,0.2722948,0.3261468,0.28396198,0.30744848,0.3353027,0.34859836,0.32210055,0.3737417,0.29341486,0.34160024,0.33145753,0.31803668,0.26845673,0.30624244,0.36998087,0.35107708,0.26905775,0.22894889,0.22632903,0.2095563,0.2527543,0.31336862,0.34895402,0.28120437,0.30048236,0.33875677,0.3358608,0.25554028,0.32405862,0.35216856,0.30531833,0.29092056,0.28566077,0.26483363,0.22302537,0.28053427,0.28384253,0.31697476,0.28575185,0.2768869,0.26376176,0.32330713,0.29714364,0.2519494,0.32200557,0.367986,0.28735006,0.2723872,0.2750843,0.33420858,0.41397783,0.3878118,0.29979593,0.29666948,0.33907318,0.3429098,0.2779513,0.44019789,0.29767075,0.20820871,0.3032399,0.26775622,0.40218702,0.3039975,0.3523089,0.31757668,0.3059158,0.3325694
delarc_6,24,1.9030006666666666,3.4013188,3.6686497,3.5859127,3.5453932,3.6708853,3.5259051,3.796684,3.5346866,3.7418714,3.684849,3.7197235,3.7820055,3.4476933,3.7239087,3.556313,3.7976568,3.6709604,3.7658923,3.5771387,3.369911,3.5463393,3.6664188,3.528461,3.779268,3.786344,3.4866948,3.5838828,3.627325,3.58104,3.6767478,3.5967417,3.5635116,3.6417003,3.6178427,3.6680505,3.7022529,3.8395603,3.7744768,3.6424143,3.727683,3.6669652,3.6362758,3.6012688,3.6658967,3.5415874,3.5659199,3.7261612,3.5095408,3.5578852,3.4569404,3.4259903,3.296081,3.5182502,3.6162984,3.6658607,3.5651321,3.700561,3.6681976,3.8254678,3.4507954,3.6250925,3.6826127,3.5892205,3.5416284,3.6570423,3.5924077,3.4160495,3.4616091,3.529175,3.6050236,3.5564559,3.683715,3.5928319,3.7031775,3.6411302,3.4271636,3.81876,3.6305869,3.6441317,3.6171381,3.7870412,3.7958722,3.7140243,3.8290813,3.542456,3.6094778,3.657525,3.680632,3.5254936,3.5942497,3.6082137,3.3509896,3.599013,3.6444745,3.8737447,3.680248,3.601847,3.6457555,3.6235154,3.6797457
delarc_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
delarc_7,3,0.226804,0.04798263,0.055087373,0.044709843,0.042564675,0.04815384,0.048631765,0.043291934,0.046620715,0.043546963,0.060439445,0.050440494,0.044249143,0.039045148,0.05047449,0.04637264,0.044707038,0.041634094,0.04738619,0.044153295,0.043502126,0.04933929,0.047848728,0.046946492,0.043154944,0.046832256,0.05053937,0.049999088,0.04906117,0.046830174,0.04820786,0.059235867,0.05280733,0.044894993,0.05096934,0.04834407,0.04695995,0.058480978,0.050877202,0.056746975,0.049859077,0.04597422,0.04917668,0.047859654,0.04528878,0.046623047,0.04465317,0.05567774,0.045428354,0.040684935,0.042444013,0.044481598,0.057760928,0.052122176,0.043666873,0.05085976,0.051692363,0.04849505,0.048808835,0.0588327,0.041663583,0.05045458,0.048256516,0.041286435,0.042766564,0.045565158,0.045210294,0.048569642,0.05045179,0.044837285,0.044028994,0.050748866,0.03829735,0.047984358,0.04907891,0.048946265,0.051697336,0.052555665,0.04983603,0.050754882,0.049087036,0.046938404,0.047474694,0.043918632,0.042932525,0.05025583,0.049239594,0.043704595,0.048002195,0.045063347,0.047427878,0.048877347,0.04812206,0.04924178,0.04563168,0.05267111,0.050480526,0.046870027,0.040903114,0.042141587,0.05063152
delarc_7,6,1.1503576666666666,0.22195049,0.29000065,0.19399667,0.1765038,0.2238639,0.22792315,0.18194911,0.21059082,0.1841788,0.34405455,0.24405606,0.18989742,0.14930363,0.24436435,0.2080968,0.19440073,0.16903567,0.21769074,0.18943343,0.1839082,0.23406446,0.22157325,0.21244971,0.1809439,0.21245554,0.24448171,0.24073339,0.23225503,0.21228391,0.22431758,0.3311655,0.2663021,0.19521712,0.24843456,0.22483447,0.21335529,0.32147357,0.2484692,0.30551702,0.2384539,0.20484816,0.23249833,0.22114383,0.19871823,0.21069185,0.19352536,0.29435536,0.20004894,0.16157003,0.17585891,0.19229315,0.31493074,0.25960213,0.18522117,0.2481263,0.25562164,0.22708835,0.2291923,0.3252224,0.1691433,0.24416663,0.22464298,0.16639416,0.17792048,0.2011587,0.19814171,0.22699103,0.24374452,0.19506064,0.1879082,0.24701121,0.14387082,0.2217452,0.23186557,0.23083845,0.25647947,0.26436576,0.23814432,0.24740985,0.23252149,0.21296787,0.2180131,0.18756054,0.17920968,0.24225649,0.23306887,0.18547273,0.22227596,0.19698527,0.2169126,0.22958246,0.22348885,0.2336771,0.20162646,0.26530164,0.24433078,0.21199359,0.16329378,0.17319773,0.2459458
delarc_7,9,2.5592973333333333,0.88142854,1.2400758,0.7469315,0.6617397,0.8978099,0.91424865,0.68182653,0.83500993,0.69514203,1.4760189,0.98808473,0.72236544,0.52941066,0.98949647,0.8165692,0.7560557,0.6238998,0.87798226,0.725399,0.69533086,0.94039226,0.8938524,0.82770973,0.67855483,0.8448091,0.98152953,0.9851205,0.94414586,0.84127617,0.8995801,1.4128187,1.0966201,0.747581,1.0002418,0.889988,0.8455976,1.3330834,1.0164301,1.2923858,0.9559399,0.80338734,0.9310245,0.8823528,0.7679249,0.83692354,0.7446365,1.2314405,0.7770155,0.5864168,0.66364545,0.7417847,1.3189945,1.0608363,0.70124507,1.011447,1.0428507,0.9170626,0.9148943,1.3522501,0.62253666,0.98827547,0.8992884,0.61225563,0.6654996,0.7816685,0.76650155,0.9030614,0.97918266,0.752163,0.7098804,1.004426,0.50456625,0.8766081,0.93231887,0.9302599,1.0620215,1.0959169,0.95269567,1.0126309,0.9460653,0.84022504,0.87145334,0.71717286,0.6710719,0.97750604,0.9338519,0.70157266,0.88568336,0.7621274,0.8540387,0.9128901,0.8943107,0.9473618,0.78235984,1.097356,0.98773545,0.8289514,0.5953532,0.6465942,0.9995955
delarc_7,24,3.5675906666666664,3.8710408,4.3875117,3.9621406,4.0031385,4.0705643,3.9690895,3.6866188,4.1816134,3.7992384,4.1306257,3.856407,3.775567,3.982437,3.8548186,3.9670658,4.279374,3.9241285,4.441966,4.0040994,3.8681114,3.8711135,4.3066072,3.6537492,3.7580807,4.197979,3.6794322,4.1664453,4.201553,4.1036787,4.0565352,4.079318,3.8932674,3.7521286,3.6803753,3.7281263,4.0692673,3.6897428,4.006565,4.0540633,3.743099,4.071575,3.828277,4.0114584,3.8750932,4.2335896,3.9631672,3.9339623,3.9721558,3.836709,4.3079586,4.1053996,3.8502502,3.8237338,3.8456523,3.9351578,3.8417046,4.165217,3.825203,3.7187464,3.8124585,3.8490665,4.0017595,4.001159,3.8357954,3.9412134,3.9287872,3.7955866,3.70228,3.9616706,3.6599638,3.9006994,4.0930476,3.767214,3.936419,4.0138655,4.1427813,4.049644,3.7049892,4.037061,4.218098,3.9555151,4.157175,4.0519886,3.801771,3.8152075,3.829912,3.8055542,3.9459648,3.9810927,3.7900293,3.7304447,4.022419,4.0956283,3.8820894,3.9921732,3.8208594,3.7536771,3.8783906,4.066557,3.907577
