Treatments,Time,delarc_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
delarc_8,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
delarc_8,3,0.16257333333333332,0.19291028,0.18745978,0.18345037,0.20312887,0.18334962,0.20785494,0.19749612,0.17518634,0.1873611,0.19301441,0.16555311,0.20790944,0.18751016,0.19526175,0.19963907,0.17482841,0.1849042,0.18401587,0.19407976,0.18991023,0.18578301,0.19023061,0.1880803,0.19058768,0.18870528,0.19182055,0.18399575,0.18707526,0.18317014,0.20479362,0.18054077,0.18718,0.18537983,0.1833689,0.18771075,0.18961023,0.1829703,0.18241955,0.18424529,0.16847888,0.19186258,0.18561947,0.17712443,0.17121789,0.19396648,0.17310916,0.18912621,0.19083214,0.18755476,0.18938228,0.17836845,0.19725433,0.16985577,0.18721393,0.2005915,0.17740044,0.16711111,0.19086568,0.17140986,0.19660872,0.18256713,0.17768684,0.18924205,0.17576243,0.17935488,0.2072228,0.18483019,0.17320634,0.20097297,0.19993979,0.19077408,0.20080276,0.17973593,0.18770261,0.18648578,0.18970525,0.19926843,0.19252433,0.1828016,0.18651778,0.16619433,0.17920785,0.17612992,0.20177884,0.20328961,0.19134316,0.18642266,0.18158685,0.20350549,0.19570298,0.19121909,0.17930353,0.19823071,0.19143629,0.20958357,0.16633745,0.175726,0.18943895,0.1990463,0.18402733
delarc_8,6,1.3597433333333333,1.8790334,1.8718039,1.8002433,2.0626225,1.807447,2.1088161,1.9191102,1.724725,1.8217092,1.9770935,1.6452966,2.1636164,1.8564717,1.9518918,2.0447347,1.6403567,1.8457198,1.8148713,1.9488086,1.9344355,1.8787869,1.9228351,1.9139323,1.8923203,1.9019707,1.931392,1.8548698,1.919569,1.8447722,2.1009586,1.8294548,1.966172,1.8404386,1.8105906,1.8172812,1.9143087,1.8906285,1.8435626,1.8965042,1.5566108,1.8362061,1.8492662,1.6813874,1.7013968,1.9244821,1.6479331,1.791272,1.8701109,1.8109031,1.8370047,1.7676802,1.9209989,1.6393249,1.8631064,2.033926,1.7098335,1.5555469,1.8793396,1.7073923,1.9045856,1.8517156,1.6899838,1.8634181,1.7212495,1.8285612,2.1274784,1.8475453,1.7115362,1.957146,1.9829432,1.9133073,1.9904238,1.7995136,1.8931806,1.818535,1.8726735,1.9881114,1.9775578,1.8283547,1.9069221,1.591325,1.7994066,1.7920264,1.9735385,2.0809257,1.952362,1.8908509,1.8369088,2.0319576,2.0211613,1.8018961,1.8361952,1.9589461,1.9094665,2.095111,1.6497933,1.7367681,1.838122,1.9649254,1.845018
delarc_8,9,3.004619333333333,3.2896032,3.4383574,3.3113117,3.6016927,3.3418722,3.6151881,3.2922428,3.3236349,3.2602556,3.632688,3.4049146,3.7932963,3.3801394,3.4670753,3.649822,3.0063338,3.4313037,3.3463619,3.4940293,3.5853715,3.525904,3.5304213,3.5750737,3.40736,3.5068424,3.5067554,3.5006769,3.6357238,3.492746,3.6793668,3.5364969,3.820385,3.394311,3.353071,3.2338705,3.5206914,3.687977,3.517451,3.6579156,2.9020803,3.1769195,3.4189918,3.083041,3.3930118,3.4127219,3.0944657,3.10441,3.3215036,3.2164452,3.2513232,3.3722255,3.3049746,3.1838844,3.4146543,3.5824132,3.181002,2.9461958,3.3526092,3.4108915,3.2695267,3.5444157,3.096288,3.3481064,3.2866762,3.5832973,3.6941137,3.44097,3.3501468,3.3204803,3.4316494,3.4766612,3.4316082,3.446754,3.5098696,3.2768211,3.3660576,3.4682271,3.6521277,3.4422696,3.607727,3.1304643,3.4676974,3.5695503,3.3509176,3.6582184,3.6006615,3.5484958,3.5240486,3.490222,3.699425,3.0827012,3.6181867,3.4016871,3.4407413,3.525194,3.3872418,3.3514977,3.2534623,3.3980494,3.4609997
delarc_8,24,3.9073456666666666,3.4221344,3.599262,3.4703784,3.7382789,3.504521,3.742812,3.4150274,3.510837,3.4034455,3.7976174,3.6440787,3.9351506,3.534914,3.6101663,3.7988052,3.1569972,3.598992,3.5075293,3.6425698,3.754465,3.7012331,3.6928992,3.7486053,3.5565925,3.6712794,3.66245,3.6789002,3.8191016,3.6727612,3.818749,3.7307398,4.0246434,3.5566046,3.5168762,3.3736174,3.683952,3.8918147,3.7028368,3.8534966,3.0597758,3.301778,3.5832107,3.2355998,3.6047623,3.5539627,3.2606242,3.2288074,3.4618917,3.3549018,3.3886364,3.5542276,3.429326,3.3726594,3.5737994,3.7231233,3.343748,3.1138704,3.4958594,3.624326,3.3922539,3.7324612,3.2486851,3.4950492,3.4672694,3.7877629,3.8293586,3.609935,3.5481257,3.4385753,3.5609245,3.6322143,3.5590477,3.6329856,3.6775763,3.4239209,3.513559,3.6020808,3.8204367,3.6177342,3.7897952,3.3261383,3.658331,3.785025,3.469852,3.7992353,3.767136,3.724297,3.7130854,3.6168125,3.8634207,3.2007465,3.827295,3.5321321,3.5910013,3.6425974,3.6198826,3.5402489,3.390838,3.5264215,3.6346662
delarc_9,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
delarc_9,3,0.1838776666666667,0.053433903,0.051206283,0.05940489,0.053210583,0.056087777,0.05290107,0.057135917,0.06896589,0.0561691,0.07531724,0.062333412,0.052988254,0.06722124,0.06456982,0.055893242,0.062407766,0.07160344,0.058599398,0.06717726,0.053544395,0.047738172,0.06522962,0.053260144,0.06321014,0.05784128,0.059802502,0.059897993,0.08121314,0.053738132,0.051354818,0.05957241,0.05960134,0.06252802,0.048144143,0.047625594,0.06284255,0.06937322,0.07172318,0.05580458,0.054253384,0.0518052,0.054078743,0.060613465,0.0813475,0.06426545,0.047735177,0.076667316,0.0531855,0.056825314,0.04151602,0.059271473,0.055148195,0.05062335,0.050599985,0.05570206,0.06561706,0.058724806,0.069168374,0.05347383,0.058992717,0.0562448,0.0543331,0.052164163,0.06087557,0.05133746,0.06813033,0.0679297,0.04589806,0.05151192,0.05295071,0.05293262,0.06955566,0.053679015,0.06775377,0.07760251,0.06286673,0.051410094,0.058155876,0.06635331,0.06685791,0.06215315,0.066065535,0.06096248,0.06888857,0.071943894,0.06110213,0.059378337,0.065120935,0.055533707,0.07507057,0.05170542,0.06712053,0.06191717,0.061089516,0.079057775,0.06674546,0.049789615,0.06989903,0.066814326,0.056694455
delarc_9,6,1.7616616666666667,0.26789105,0.24851486,0.32695597,0.26603326,0.29382926,0.26352158,0.30539685,0.4291665,0.295014,0.497272,0.3553698,0.26434028,0.4071582,0.3781452,0.2903371,0.35933188,0.45185605,0.31879285,0.40955776,0.26909977,0.2184866,0.38909864,0.26647326,0.36369693,0.31149414,0.3304058,0.3319822,0.5617253,0.271991,0.24919412,0.32743052,0.32741266,0.360129,0.22214615,0.21671042,0.36148864,0.4286807,0.4557558,0.28942138,0.27535373,0.25382465,0.2744226,0.3365565,0.5682988,0.37741,0.21773922,0.514943,0.26584935,0.29983348,0.1664891,0.32262605,0.28489968,0.24301575,0.24163942,0.28879517,0.39167696,0.31936353,0.4290749,0.26844916,0.32325694,0.29562327,0.27659327,0.257438,0.34263736,0.24839184,0.41589168,0.41517487,0.20172222,0.2508083,0.2644483,0.2641146,0.43277273,0.2718544,0.41438437,0.5259158,0.3615107,0.24925362,0.31246808,0.39727113,0.4031117,0.35319403,0.39435264,0.33950487,0.42560318,0.45702904,0.34256876,0.3261871,0.38528848,0.29013753,0.49236387,0.25327003,0.40393758,0.35244,0.34357926,0.54112977,0.40321586,0.23478307,0.43763977,0.40549475,0.30111653
delarc_9,9,3.746928,1.0293084,0.96482986,1.2871642,1.0250924,1.1484519,1.0203816,1.2184722,1.6725855,1.1599293,1.8269018,1.3706844,1.024015,1.5531682,1.4431806,1.1082429,1.4383174,1.645792,1.253577,1.607197,1.0372213,0.84260017,1.5457349,1.0265954,1.3888221,1.2284366,1.2913002,1.3075258,1.9418061,1.0671128,0.95686316,1.2691219,1.2641035,1.4334339,0.86157453,0.821548,1.4065042,1.5946031,1.6940371,1.1035367,1.0568633,0.9854157,1.0645114,1.2819875,2.0217297,1.4802313,0.82752943,1.9058948,1.0251107,1.1540221,0.58823645,1.2225666,1.1134866,0.9370297,0.9125143,1.1066259,1.5286424,1.2445829,1.6354834,1.0346323,1.280113,1.1603184,1.0698348,1.0063306,1.3603823,0.9431756,1.5649266,1.5848716,0.74864715,0.96683604,1.0320001,1.027832,1.6386689,1.0736347,1.5999235,1.9368318,1.402868,0.95006835,1.1975224,1.5115511,1.5376837,1.3577178,1.5041587,1.2839147,1.6181774,1.680719,1.320858,1.2758452,1.4887089,1.1614726,1.783968,0.98896354,1.5102293,1.3820899,1.3430631,1.9514533,1.5587177,0.88852984,1.6705985,1.5913683,1.201804
delarc_9,24,4.204491333333333,2.8759599,3.0897522,3.0861616,2.9131525,3.0163596,2.9786842,3.2319129,3.2214947,3.0794046,3.0408294,2.943424,2.9810953,2.991504,2.9134197,2.7803311,3.283967,2.828017,3.070713,3.2190714,2.9079697,3.3141773,3.2710788,2.9097266,2.8816743,3.1000726,3.0192997,3.0943077,2.92178,3.108261,2.9399898,2.9400878,2.9051597,3.230991,3.3594909,3.0416353,3.0291271,2.8837566,2.9695828,2.7702005,2.8488283,3.0565343,2.966358,2.8049989,3.1058643,3.1320179,3.0689144,3.1518245,2.921824,2.858041,2.8195004,2.7400775,3.0285528,3.0332973,2.775118,2.817909,3.1256268,2.983191,3.053577,2.9088085,3.1434577,3.0597086,2.9292903,3.127807,3.1830206,2.8080745,2.9205344,3.0209742,2.9135404,2.9810753,3.0711765,3.0377355,3.018167,3.1928089,3.1038113,3.1600525,3.0067868,2.8493073,2.8243344,2.9434543,2.9792678,2.9113386,2.953345,2.7533884,3.02442,2.9054105,2.9162192,3.0230198,3.027985,3.302925,2.9381535,3.1381361,2.8393533,3.0806007,3.0378606,3.0863993,3.0807068,2.8418121,3.0918825,3.2083733,3.2418277
