Treatments,Time,DF_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
DF_5,12,0.010882999999999999,0.06411787,0.008458135,0.014371729,0.010141568,0.006752038,0.0047267163,0.0070957593,0.010792329,0.007579942,0.025555013,0.011927329,0.045467507,0.041675467,0.0062095094,0.006145991,0.010810239,0.0063390206,0.01145848,0.109762795,0.009163592,0.06939813,0.022035664,0.012335576,0.022197733,0.021779552,0.009148658,0.019715955,0.0073861615,0.006144254,0.015617311,0.01820361,0.00276716,0.015785078,0.023015738,0.005403159,0.015269864,0.024307596,0.020111034,0.011705108,0.05206049,0.053225093,0.005756921,0.009751706,0.067510955,0.030908335,0.007403824,0.021517854,0.00791557,0.00019680844,0.0496245,0.009751785,0.00200691,0.011115993,0.006704158,0.011479399,0.009710667,0.007081413,0.0010412425,0.0031609985,0.04571873,0.0018841344,0.00785657,0.0028427455,0.15293008,0.0068574585,0.000706652,0.00238442,0.0078018927,0.011048034,0.0051761065,0.012055811,0.015153342,0.0225019,0.028032795,0.021724816,0.0269292,0.007085034,0.0058379397,0.00439131,0.01053475,0.0070138793,0.044062044,0.029186575,0.039909307,0.0072605154,0.007409212,0.01533777,0.018886745,0.010610544,0.051617745,0.01780315,0.022469707,0.037556197,0.13447712,0.008023234,0.009426156,0.006331992,0.006498837,0.0060044494,0.0069309855
DF_5,24,0.01,0.27339172,0.0072154338,0.020908795,0.010321689,0.004575596,0.002215084,0.0050222366,0.011738339,0.00576515,0.06216029,0.014403963,0.15276647,0.1432838,0.0038386416,0.0037725752,0.011774866,0.004001904,0.013307226,0.27640313,0.008424353,0.26650915,0.048355244,0.015380733,0.048656717,0.046928342,0.008374424,0.0387494,0.005459755,0.0037718825,0.02468696,0.033135086,0.00075376267,0.025207607,0.053548086,0.0029101346,0.023510467,0.05863414,0.04040275,0.013767711,0.21026993,0.19694431,0.0033010521,0.009581515,0.2278374,0.088440284,0.0054723267,0.045530014,0.006277286,3.7901652e-06,0.170759,0.009592535,0.0003954105,0.01248118,0.0044981656,0.013281524,0.00946121,0.005076959,0.00010594344,0.0009907217,0.16292165,0.00034807948,0.006181307,0.00079431746,0.5250935,0.0046994626,4.883463e-05,0.00056024233,0.0061312187,0.012300148,0.0026639285,0.01465628,0.023237798,0.05100678,0.074231885,0.047050014,0.068625756,0.0050140475,0.0033982291,0.0019158754,0.011168912,0.0049121436,0.15191421,0.07994719,0.13577592,0.0052695638,0.0054902523,0.023696568,0.035795882,0.011372548,0.18329068,0.031523876,0.05040162,0.11862076,0.49069944,0.006454288,0.008990753,0.0039976067,0.004208189,0.0035942015,0.004843751
DF_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
DF_6,3,0.04651333333333333,0.0128262,0.011803143,0.011858547,0.0114338575,0.011505414,0.011170015,0.010805522,0.011985308,0.011191384,0.011862228,0.012006107,0.010794259,0.011556794,0.010678869,0.011442227,0.011586758,0.01071459,0.012850352,0.011080063,0.009893376,0.012855987,0.010538732,0.012557935,0.011671459,0.012076168,0.011173681,0.010929449,0.010571613,0.010991469,0.011302348,0.010754331,0.010507623,0.0112657305,0.010637665,0.011739986,0.012482567,0.011433934,0.01066854,0.011885841,0.011719452,0.01199739,0.010577091,0.011928136,0.011360991,0.011945664,0.012674297,0.011093304,0.010860593,0.01212426,0.011481793,0.011837579,0.011288523,0.012703812,0.012232571,0.011787976,0.011912038,0.01192918,0.013237201,0.012665339,0.011384949,0.011858271,0.013218266,0.011116932,0.0103564635,0.012214327,0.01234238,0.011982713,0.011494056,0.012515079,0.01020743,0.011257709,0.010847772,0.012909525,0.0088816695,0.011985835,0.011704804,0.010737978,0.011580846,0.012099754,0.011608084,0.011239243,0.011180171,0.010476648,0.011331901,0.010573665,0.012068307,0.0126902005,0.010369136,0.011878175,0.010938096,0.0107171135,0.011591528,0.01197838,0.012357673,0.011186832,0.010833451,0.011322591,0.012592971,0.0108415065,0.011198623
DF_6,6,0.04762633333333333,0.015985036,0.013909526,0.013952682,0.013200669,0.013221542,0.012539668,0.011859856,0.01428192,0.012600763,0.014040684,0.014247952,0.011767834,0.013386914,0.011586701,0.013137628,0.013331898,0.011604506,0.01621665,0.012269508,0.01000417,0.016012883,0.011285745,0.015452315,0.013713883,0.014506446,0.012526037,0.012077097,0.011378354,0.012195352,0.012777328,0.011652276,0.011199354,0.0127733275,0.011457626,0.013616898,0.015476665,0.01312085,0.011506397,0.014106923,0.01377417,0.014233652,0.01138774,0.0140986135,0.012939094,0.014096928,0.015737265,0.012398528,0.011998802,0.014484696,0.013151977,0.013954377,0.012795525,0.015688594,0.014872633,0.0137532335,0.01424058,0.01416404,0.016889866,0.015636755,0.012941983,0.013946053,0.016923524,0.012489277,0.010852677,0.014762122,0.01519729,0.014320134,0.013225816,0.015431604,0.010614006,0.012730869,0.012053961,0.016226973,0.007982677,0.014326813,0.01366656,0.011657251,0.013491132,0.014513073,0.013640283,0.012715408,0.012520016,0.011093251,0.012907863,0.011374647,0.014403601,0.015944405,0.01096138,0.014092161,0.012095137,0.011636196,0.013410215,0.014397406,0.01501843,0.012603975,0.011852543,0.012894626,0.015741915,0.0118187815,0.012519444
DF_6,9,0.036020333333333335,0.019122662,0.01628201,0.016167503,0.015322383,0.015113976,0.014110573,0.013213372,0.016815368,0.014232371,0.016494358,0.016567538,0.012944081,0.015489499,0.012772352,0.015073785,0.015172549,0.012692136,0.019857116,0.013531586,0.0103545,0.019135721,0.012285068,0.01846074,0.016164565,0.017139427,0.01405138,0.013460688,0.012458498,0.013628789,0.014400228,0.012698972,0.012108301,0.014539357,0.0124913715,0.015539627,0.018894311,0.015059941,0.012539248,0.016628664,0.0161317,0.016592342,0.012479284,0.016422331,0.014700464,0.016295947,0.018963927,0.013945512,0.013465105,0.016941184,0.014969326,0.016280487,0.014511855,0.018648108,0.01782467,0.015762629,0.016994778,0.016624508,0.020518864,0.018624695,0.014624934,0.016177725,0.020677531,0.014135331,0.01150918,0.017524181,0.018508315,0.016952613,0.015166491,0.018583285,0.011251729,0.014403523,0.013710667,0.01966298,0.0072687343,0.01697011,0.015812347,0.012787495,0.01573383,0.017116182,0.016138231,0.014439481,0.01399329,0.011864672,0.014743291,0.012444563,0.016888907,0.019644823,0.011813882,0.016609998,0.013506335,0.012783591,0.015386749,0.017268466,0.017798746,0.01426642,0.013086498,0.014725561,0.01937251,0.01293536,0.013929552
DF_6,12,0.048103,0.021766065,0.018796023,0.018298171,0.01775239,0.01709721,0.015850663,0.014915964,0.019405454,0.01605444,0.019091187,0.018707896,0.014339129,0.017809264,0.014286564,0.017180303,0.017003058,0.01399276,0.023290657,0.014803301,0.01097808,0.021800216,0.013588838,0.02123281,0.018998975,0.019657003,0.015715178,0.015072287,0.013846204,0.015283503,0.016108902,0.013884575,0.013272513,0.016545907,0.013770392,0.017378956,0.022449365,0.017200897,0.01378857,0.019320648,0.018645572,0.018873816,0.013903972,0.018734494,0.016550941,0.018301742,0.021976862,0.01575206,0.015296503,0.019273305,0.01684676,0.018653177,0.016380496,0.021184592,0.020834452,0.017613437,0.020072762,0.019121805,0.023553189,0.02122838,0.016340287,0.018397523,0.023834996,0.01603297,0.012345706,0.020258889,0.022025008,0.019698443,0.017227042,0.021648347,0.012162357,0.016208563,0.015911164,0.022777686,0.006710493,0.019745013,0.017979654,0.014154863,0.01823504,0.019658696,0.01903909,0.016385483,0.015537202,0.012801371,0.016822398,0.013828533,0.019316545,0.023440035,0.012968913,0.019306708,0.0151974205,0.014176052,0.01737501,0.020482302,0.020397473,0.016158558,0.01455844,0.016783398,0.023205748,0.014181976,0.0153686
DF_6,24,0.03904133333333334,0.02517755,0.025618741,0.022566488,0.025900016,0.022986965,0.022097038,0.024626601,0.025513817,0.022695566,0.026158033,0.022366904,0.021427477,0.025614904,0.023115408,0.02379011,0.021822741,0.020607667,0.028750144,0.018408606,0.016964016,0.025579294,0.022283113,0.025995206,0.029464813,0.023880256,0.021755112,0.021689188,0.021514192,0.022027709,0.0214785,0.018836016,0.020827185,0.024278276,0.02118155,0.021745697,0.030204365,0.024475455,0.020438498,0.026716804,0.02478962,0.023726193,0.022776658,0.024271702,0.02164398,0.021727525,0.027199434,0.02440084,0.02431765,0.024043418,0.022333356,0.024351662,0.022337873,0.024797097,0.027250847,0.020957176,0.029017054,0.024817953,0.027388146,0.025028955,0.020974945,0.02379911,0.02752941,0.023076229,0.017309207,0.026058864,0.030023627,0.026269598,0.02327213,0.027632037,0.019209184,0.02170355,0.027626477,0.027799249,0.005644692,0.02657679,0.02297416,0.021525657,0.02614122,0.024637805,0.027802238,0.023658443,0.020228248,0.017799946,0.02519056,0.022426788,0.024630927,0.031092389,0.02055138,0.026891673,0.02368203,0.02119524,0.022027642,0.029658828,0.025061155,0.023658441,0.022144303,0.024296986,0.03195296,0.01948625,0.019688087
DF_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
DF_7,3,0.040154,0.038412657,0.038582657,0.039421346,0.03915047,0.038075622,0.03726691,0.040202953,0.042794827,0.039379727,0.04040887,0.037622295,0.036276367,0.04132063,0.03852218,0.04111737,0.03861772,0.037770826,0.03617475,0.043205883,0.035290603,0.035410896,0.039342854,0.04281516,0.038454276,0.037888695,0.03861959,0.03569266,0.03793776,0.038363285,0.040276933,0.039445993,0.04062377,0.03778935,0.040192798,0.040217303,0.039844416,0.038206965,0.03412429,0.03875727,0.039244045,0.036339324,0.040641557,0.039930157,0.03843244,0.03835415,0.03671471,0.04050607,0.041929137,0.039352704,0.038996093,0.039982233,0.040635634,0.04051261,0.043774944,0.03914574,0.040362313,0.04259878,0.038252603,0.0365145,0.03658947,0.041406885,0.037040908,0.03891631,0.036378954,0.03817236,0.039619137,0.042189453,0.03921492,0.04064244,0.036574863,0.0385445,0.042100977,0.041200664,0.041308984,0.034853972,0.034632415,0.035100278,0.04442329,0.041091178,0.03677633,0.040328108,0.04063543,0.04313841,0.041807335,0.041716326,0.040941246,0.03453278,0.04023294,0.04311697,0.033562224,0.038069017,0.035858445,0.038205795,0.03774895,0.03801424,0.03996307,0.039228942,0.03939879,0.040661953,0.04196559
