Treatments,Time,BL_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BL_6,12,0.13188933333333300,0.9142623,0.95251334,0.96448386,1.012728,0.9350283,0.9397025,0.8101058,0.94030774,1.0336747,0.8441236,1.0247236,0.883399,0.9861793,0.89070594,1.0533242,0.9535152,1.0337279,1.0097994,0.8995796,0.9146244,0.8844192,0.8089457,0.95802486,0.93645054,0.87337846,0.9995728,0.8649364,0.914562,0.9136614,0.86698335,0.9519727,0.8887242,0.9486553,0.9965069,0.96259993,1.0175949,0.96288085,0.99731445,0.88423026,0.98041797,0.92021316,0.97498703,0.8223079,1.0239638,0.8604509,0.96707636,0.9440646,1.016246,0.9918897,0.86676675,0.9987217,0.9680401,0.94393706,1.0295032,0.9779841,0.8843379,0.98383826,0.98444843,0.8643675,0.9471997,0.96577746,0.8753803,0.89008576,0.88014907,0.8818558,0.88921803,0.88828623,0.94350404,0.90931076,0.9748965,0.9970036,1.0278566,0.9787859,0.9302701,0.95026934,0.98163354,0.9685789,0.8941098,0.9131578,0.9857148,0.8573805,0.9084836,0.97891223,0.9336456,0.8983827,0.97427124,0.98195773,0.9278062,0.979863,0.8763706,0.90458643,0.9704189,0.92198783,0.9378421,0.99764115,1.0040653,1.0183201,0.9716526,0.9272355,0.9424606
BL_6,24,2.6790143333333300,2.7211657,2.9510765,2.80432,2.9898436,2.7882974,2.5320935,2.5285401,2.6133707,3.0925121,2.8151593,2.7803555,2.6239793,2.6623507,2.3917358,2.7130072,2.6116307,2.719665,2.8039455,2.9339714,2.7239776,2.5581422,2.479018,2.7118437,2.708199,2.699393,2.666631,2.6575727,2.533196,2.8080187,2.6578362,2.6460764,2.545398,2.687216,2.677982,2.666276,2.6025388,2.760084,2.7510607,2.626834,2.5134804,2.7206602,2.702794,2.440029,2.716818,2.608968,2.6657546,2.6871452,2.676346,2.7743158,2.6095877,2.7617233,2.6619067,2.7087004,2.729955,2.9384332,2.712657,2.4955518,2.6760864,2.3001955,2.7387028,2.7243855,2.5291061,2.646885,2.79107,2.561374,2.7571423,3.00346,2.709648,2.5303142,2.6845922,2.83566,2.7910492,2.8092325,2.9587371,2.7579021,2.5904305,2.527105,2.5770578,2.4960668,2.7812343,2.526777,2.8008823,2.7627938,2.7850506,2.7934508,2.6377683,2.9633908,2.59786,2.81674,2.656269,2.575414,2.8300533,2.7192,2.702326,2.863335,2.8430398,3.0358834,2.530803,2.7435331,2.770691
BL_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BL_7,3,0.046513,0.0149851,0.015333934,0.015273627,0.015538634,0.015744014,0.015189065,0.015007053,0.015657311,0.0153792985,0.015404063,0.015674857,0.015197494,0.015333913,0.015388175,0.015101121,0.0153215155,0.015445945,0.015292465,0.015173266,0.015247922,0.015360645,0.015074098,0.015566761,0.015675489,0.015726918,0.015091333,0.015239622,0.015050856,0.0150822615,0.015189928,0.015354389,0.015317622,0.015516667,0.015498358,0.015241522,0.014981026,0.0147971595,0.015048906,0.0153146,0.015319319,0.015437634,0.0151588805,0.015283997,0.015274407,0.015616521,0.015530695,0.015555719,0.015297081,0.01564868,0.015072656,0.01598004,0.015449403,0.01545536,0.015244785,0.015390238,0.0149847865,0.015266768,0.0151341995,0.014916159,0.01547691,0.015005105,0.014799003,0.015051102,0.015630396,0.015320436,0.0154314535,0.015314178,0.0149527155,0.01519228,0.015542256,0.015105336,0.015234009,0.015320551,0.015505523,0.015489912,0.015173044,0.015557492,0.014880683,0.015294278,0.015495303,0.015113888,0.015455629,0.015082716,0.015469296,0.015566803,0.015561418,0.015470373,0.01512429,0.015066327,0.01498768,0.01538441,0.015252904,0.014848046,0.015479059,0.014936228,0.015381655,0.016489474,0.015799195,0.015479493,0.015180926
BL_7,6,0.05382666666666670,0.022437965,0.023499234,0.02331632,0.024118097,0.024764467,0.023051156,0.02250965,0.024501046,0.023631666,0.023702396,0.024549795,0.023085892,0.023496311,0.023658052,0.022782525,0.02345393,0.023843696,0.023373796,0.02300467,0.02323242,0.023577737,0.022710506,0.024211533,0.024544287,0.024709255,0.02276124,0.02320434,0.022639602,0.022724897,0.023055349,0.023559324,0.023446975,0.024059039,0.024000857,0.02321432,0.022427661,0.021881849,0.022630412,0.023437578,0.023450162,0.023817835,0.02296626,0.023348013,0.023312807,0.024370605,0.024098236,0.024170583,0.023381362,0.024463464,0.022698225,0.02551847,0.023850119,0.023872063,0.023227448,0.023666732,0.022441173,0.023289122,0.022890879,0.022238074,0.023934666,0.022492612,0.021886868,0.02263819,0.024410618,0.023463517,0.02379688,0.023437554,0.022344476,0.023066895,0.024139134,0.022799162,0.023186455,0.023447579,0.024019413,0.023976918,0.023001572,0.024186611,0.02212533,0.023368793,0.023996329,0.022827951,0.023868794,0.022729099,0.0239066,0.02421129,0.024192141,0.023911525,0.022858264,0.022685679,0.02245118,0.023660414,0.023251519,0.02203485,0.023940317,0.022296853,0.023635302,0.02716215,0.024941154,0.023942264,0.02303506
BL_7,9,0.058437000000000000,0.03355876,0.03598029,0.035565916,0.037370294,0.038896732,0.034937803,0.033737224,0.03830551,0.036263738,0.03640966,0.038399875,0.035044573,0.03596488,0.036321625,0.034321688,0.035853956,0.036773793,0.03569756,0.034836598,0.03535756,0.03615014,0.034187403,0.03760664,0.03836296,0.038761947,0.034298453,0.035284955,0.03402474,0.034189314,0.034952007,0.03611012,0.03585347,0.037261885,0.03712218,0.035320558,0.033541225,0.032328624,0.033994246,0.03583128,0.035854336,0.036713414,0.034765057,0.03563866,0.035539873,0.037990574,0.03733945,0.037490446,0.035694614,0.038183786,0.03413588,0.040705215,0.03677548,0.036837164,0.035360206,0.03634871,0.03357825,0.035484612,0.034592167,0.033129502,0.036969554,0.03366571,0.03233844,0.03401516,0.038073726,0.03591574,0.036659,0.035835274,0.033359375,0.034991693,0.037450068,0.034370847,0.03524173,0.035828955,0.03715395,0.037073757,0.034822166,0.037561093,0.032857094,0.035653513,0.037127424,0.03444508,0.036816902,0.03420732,0.036890425,0.037605003,0.037552856,0.036906775,0.034510255,0.03412738,0.033604786,0.036370423,0.03541309,0.03267462,0.03697951,0.033257637,0.036260948,0.044666655,0.039322566,0.036986053,0.03492736
BL_7,12,0.086578,0.050105,0.055015046,0.0541859,0.05775111,0.060955547,0.05285126,0.050506994,0.05980354,0.05553474,0.055785324,0.059942808,0.053141966,0.054959606,0.05564532,0.051593717,0.054696485,0.05663663,0.054453056,0.052659243,0.0537176,0.05533211,0.05140104,0.058291826,0.059797425,0.0606604,0.051613778,0.053547487,0.05106798,0.051322766,0.052892637,0.055256847,0.054737642,0.057608314,0.05730873,0.053654473,0.05008501,0.047697764,0.05098066,0.054690946,0.054721992,0.056510776,0.052557714,0.054333903,0.054083515,0.05912219,0.05773047,0.057993263,0.054391418,0.059454057,0.05123412,0.06481535,0.056603003,0.056760084,0.05376124,0.055720184,0.050176457,0.05396814,0.052204672,0.04930069,0.056996875,0.050276127,0.04771389,0.051031753,0.059264813,0.054931775,0.056382556,0.054710206,0.04973551,0.053009164,0.058002416,0.051723544,0.05345347,0.05461672,0.057342,0.057228755,0.0526103,0.05823308,0.048706662,0.054274276,0.057363335,0.051896658,0.056683008,0.05138164,0.05679488,0.058285363,0.058156338,0.056842282,0.052018326,0.05126967,0.050239958,0.05586523,0.053862847,0.048396103,0.057008658,0.049546268,0.05549813,0.07324782,0.061871693,0.05702761,0.052901216
BL_7,24,2.032893,0.23909256,0.2904266,0.28317294,0.30816385,0.3463648,0.2640442,0.24675274,0.34213752,0.290304,0.28848207,0.33763093,0.2736418,0.28761208,0.2907121,0.25028694,0.28147006,0.30733618,0.285912,0.26320544,0.27420574,0.29097736,0.25490353,0.31903803,0.32899854,0.3416313,0.25611606,0.27045798,0.25101402,0.24723674,0.26553398,0.2907382,0.2857149,0.3145374,0.31009874,0.27464643,0.24012378,0.2190136,0.24794744,0.2851299,0.28397518,0.3058633,0.26593876,0.28469726,0.27758422,0.33159557,0.3120749,0.31014475,0.280121,0.3281946,0.24790671,0.39638606,0.3033877,0.30791143,0.2781394,0.293307,0.2424317,0.27608836,0.26201138,0.23551692,0.3070538,0.23733452,0.21890627,0.24923198,0.33012256,0.2941972,0.30282566,0.28639853,0.23782048,0.26994902,0.31933296,0.25414822,0.2689604,0.2780766,0.3073825,0.311262,0.2609922,0.32202083,0.22562276,0.27588922,0.31510356,0.25788674,0.3037474,0.2496814,0.3011301,0.3186501,0.3151959,0.30295026,0.25827438,0.25264192,0.24389115,0.30459914,0.27867335,0.2266915,0.30634192,0.23709324,0.28707567,0.48836544,0.35931107,0.30710286,0.27081075
BL_8,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BL_8,3,0.032204666666666700,0.014513955,0.01436179,0.014641705,0.014394606,0.014769397,0.014283906,0.014523484,0.014888517,0.014414809,0.014183293,0.013733992,0.014217859,0.014080206,0.013965138,0.014863837,0.0146499425,0.014438752,0.014834078,0.014689351,0.014423858,0.014424981,0.014315624,0.013950071,0.014372266,0.014339979,0.014535344,0.014321005,0.013968985,0.014681631,0.014640887,0.014534333,0.014737225,0.01412949,0.014433811,0.014554709,0.014747803,0.014370037,0.014366772,0.014473826,0.015182003,0.01433845,0.014862508,0.014500435,0.014570234,0.01500104,0.014834081,0.014613684,0.014553892,0.014840062,0.013862937,0.014507412,0.014845133,0.0149521865,0.014280681,0.014536138,0.014268198,0.014774363,0.01440552,0.014646479,0.014300646,0.014448339,0.01472091,0.0147619,0.01463446,0.0145177115,0.015146845,0.014733951,0.014876593,0.01435076,0.014643365,0.014652552,0.01444055,0.014161608,0.014497265,0.014714418,0.014645773,0.014140025,0.014674276,0.014707936,0.014838666,0.014655545,0.01469765,0.014620923,0.013993856,0.014322049,0.0142538,0.014219896,0.014957857,0.014830333,0.014681773,0.014680806,0.014504529,0.01448038,0.0149805285,0.015248113,0.014145617,0.014526191,0.014815446,0.01439118,0.014223642
