Treatments,Time,DF_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
DF_6,12,0.048103,0.021766065,0.018796023,0.018298171,0.01775239,0.01709721,0.015850663,0.014915964,0.019405454,0.01605444,0.019091187,0.018707896,0.014339129,0.017809264,0.014286564,0.017180303,0.017003058,0.01399276,0.023290657,0.014803301,0.01097808,0.021800216,0.013588838,0.02123281,0.018998975,0.019657003,0.015715178,0.015072287,0.013846204,0.015283503,0.016108902,0.013884575,0.013272513,0.016545907,0.013770392,0.017378956,0.022449365,0.017200897,0.01378857,0.019320648,0.018645572,0.018873816,0.013903972,0.018734494,0.016550941,0.018301742,0.021976862,0.01575206,0.015296503,0.019273305,0.01684676,0.018653177,0.016380496,0.021184592,0.020834452,0.017613437,0.020072762,0.019121805,0.023553189,0.02122838,0.016340287,0.018397523,0.023834996,0.01603297,0.012345706,0.020258889,0.022025008,0.019698443,0.017227042,0.021648347,0.012162357,0.016208563,0.015911164,0.022777686,0.006710493,0.019745013,0.017979654,0.014154863,0.01823504,0.019658696,0.01903909,0.016385483,0.015537202,0.012801371,0.016822398,0.013828533,0.019316545,0.023440035,0.012968913,0.019306708,0.0151974205,0.014176052,0.01737501,0.020482302,0.020397473,0.016158558,0.01455844,0.016783398,0.023205748,0.014181976,0.0153686
DF_6,24,0.03904133333333330,0.02517755,0.025618741,0.022566488,0.025900016,0.022986965,0.022097038,0.024626601,0.025513817,0.022695566,0.026158033,0.022366904,0.021427477,0.025614904,0.023115408,0.02379011,0.021822741,0.020607667,0.028750144,0.018408606,0.016964016,0.025579294,0.022283113,0.025995206,0.029464813,0.023880256,0.021755112,0.021689188,0.021514192,0.022027709,0.0214785,0.018836016,0.020827185,0.024278276,0.02118155,0.021745697,0.030204365,0.024475455,0.020438498,0.026716804,0.02478962,0.023726193,0.022776658,0.024271702,0.02164398,0.021727525,0.027199434,0.02440084,0.02431765,0.024043418,0.022333356,0.024351662,0.022337873,0.024797097,0.027250847,0.020957176,0.029017054,0.024817953,0.027388146,0.025028955,0.020974945,0.02379911,0.02752941,0.023076229,0.017309207,0.026058864,0.030023627,0.026269598,0.02327213,0.027632037,0.019209184,0.02170355,0.027626477,0.027799249,0.005644692,0.02657679,0.02297416,0.021525657,0.02614122,0.024637805,0.027802238,0.023658443,0.020228248,0.017799946,0.02519056,0.022426788,0.024630927,0.031092389,0.02055138,0.026891673,0.02368203,0.02119524,0.022027642,0.029658828,0.025061155,0.023658441,0.022144303,0.024296986,0.03195296,0.01948625,0.019688087
DF_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
DF_7,3,0.040154,0.038412657,0.038582657,0.039421346,0.03915047,0.038075622,0.03726691,0.040202953,0.042794827,0.039379727,0.04040887,0.037622295,0.036276367,0.04132063,0.03852218,0.04111737,0.03861772,0.037770826,0.03617475,0.043205883,0.035290603,0.035410896,0.039342854,0.04281516,0.038454276,0.037888695,0.03861959,0.03569266,0.03793776,0.038363285,0.040276933,0.039445993,0.04062377,0.03778935,0.040192798,0.040217303,0.039844416,0.038206965,0.03412429,0.03875727,0.039244045,0.036339324,0.040641557,0.039930157,0.03843244,0.03835415,0.03671471,0.04050607,0.041929137,0.039352704,0.038996093,0.039982233,0.040635634,0.04051261,0.043774944,0.03914574,0.040362313,0.04259878,0.038252603,0.0365145,0.03658947,0.041406885,0.037040908,0.03891631,0.036378954,0.03817236,0.039619137,0.042189453,0.03921492,0.04064244,0.036574863,0.0385445,0.042100977,0.041200664,0.041308984,0.034853972,0.034632415,0.035100278,0.04442329,0.041091178,0.03677633,0.040328108,0.04063543,0.04313841,0.041807335,0.041716326,0.040941246,0.03453278,0.04023294,0.04311697,0.033562224,0.038069017,0.035858445,0.038205795,0.03774895,0.03801424,0.03996307,0.039228942,0.03939879,0.040661953,0.04196559
DF_7,6,0.050488,0.03870641,0.03899345,0.039694723,0.039426975,0.03842408,0.037699353,0.040560115,0.043156408,0.039652467,0.040744748,0.038001426,0.036723003,0.041673433,0.03888247,0.041540954,0.039146304,0.03803499,0.036521066,0.043552082,0.03565903,0.035979506,0.03971425,0.043169636,0.038747646,0.03818955,0.038990468,0.036121164,0.03822726,0.038692832,0.040555492,0.039794587,0.040949292,0.038122684,0.040644694,0.040612586,0.040202968,0.038640767,0.034532968,0.039196394,0.039612286,0.036642756,0.041109793,0.040311158,0.0387935,0.038823623,0.037046764,0.040862978,0.04233583,0.039724443,0.039335392,0.04029644,0.041005194,0.04090037,0.044155613,0.039496165,0.040703475,0.042943288,0.038621455,0.03706241,0.03686621,0.04175539,0.037495166,0.039422277,0.03670962,0.03856024,0.03993547,0.042533617,0.03971107,0.040974244,0.036985908,0.038898434,0.042447954,0.041720875,0.04157693,0.035251524,0.035110068,0.035450388,0.04473008,0.041312873,0.03708623,0.040709462,0.040924817,0.04356948,0.042088814,0.04204799,0.041303005,0.034954153,0.04059506,0.043373715,0.034024026,0.038343262,0.03634536,0.03852358,0.038162623,0.038396757,0.040343516,0.039588857,0.039779175,0.04100791,0.04228429
DF_7,9,0.03697433333333330,0.038707204,0.03899494,0.03969535,0.03942765,0.038425233,0.037701182,0.040561184,0.04315731,0.03965307,0.040745664,0.03800276,0.0367251,0.04167436,0.038883664,0.041542362,0.039148852,0.038035657,0.03652225,0.04355297,0.035660554,0.035983123,0.03971545,0.043170545,0.038748443,0.03819041,0.038991705,0.036123168,0.038228054,0.038693838,0.040556155,0.03979565,0.04095014,0.03812371,0.04064636,0.04061388,0.040204063,0.038642526,0.03453498,0.03919813,0.039613493,0.03664371,0.041111574,0.04031238,0.038794648,0.03882564,0.0370478,0.040864017,0.04233708,0.03972564,0.03933642,0.04029727,0.0410063,0.0409016,0.04415659,0.03949724,0.040704448,0.04294417,0.03862268,0.03706551,0.036867,0.041756257,0.037497234,0.039424535,0.03671073,0.038561694,0.039936326,0.04253446,0.039713245,0.040975157,0.036987644,0.038899623,0.042448852,0.041723,0.04157749,0.035253353,0.035112724,0.03545173,0.04473067,0.04131326,0.03708724,0.040710673,0.040925562,0.043570768,0.042089414,0.042048834,0.041304044,0.03495624,0.040596142,0.043374177,0.03402674,0.03834397,0.036347922,0.038524527,0.03816424,0.03839814,0.040344726,0.039589986,0.039780434,0.041008905,0.04228508
DF_7,12,0.052555,0.038707204,0.038994927,0.039695356,0.03942764,0.038425203,0.037701227,0.04056118,0.043157313,0.039653126,0.04074574,0.03800281,0.036725093,0.041674405,0.038883664,0.04154239,0.03914881,0.038035657,0.036522213,0.04355293,0.035660557,0.03598315,0.039715435,0.043170568,0.038748425,0.038190413,0.03899171,0.03612318,0.03822804,0.038693815,0.040556137,0.03979563,0.04095015,0.03812367,0.040646374,0.04061388,0.040204056,0.03864252,0.034535006,0.0391981,0.039613508,0.036643725,0.041111555,0.04031236,0.038794663,0.03882568,0.037047893,0.040864013,0.042337056,0.039725643,0.039336424,0.04029727,0.041006297,0.04090158,0.0441566,0.039497256,0.04070443,0.04294416,0.038622636,0.037065532,0.03686702,0.0417563,0.03749724,0.039424535,0.03671075,0.038561672,0.039936338,0.042534478,0.039713245,0.04097515,0.03698766,0.0388996,0.042448856,0.041723005,0.041577484,0.03525336,0.035112746,0.035451774,0.044730697,0.04131325,0.037087213,0.040710654,0.0409255,0.043570813,0.04208937,0.042048823,0.04130404,0.03495626,0.04059615,0.043374166,0.034026742,0.038343977,0.036347896,0.03852453,0.03816425,0.038398143,0.040344745,0.039589986,0.03978043,0.04100888,0.04228506
DF_7,24,0.04285666666666670,0.038707156,0.038994964,0.03969537,0.039427646,0.03842524,0.03770121,0.040561195,0.043157328,0.03965311,0.040745683,0.0380028,0.036725093,0.041674383,0.03888366,0.041542318,0.03914883,0.038035657,0.036522213,0.043552987,0.035660587,0.03598312,0.039715454,0.04317058,0.03874845,0.038190436,0.038991693,0.036123175,0.03822805,0.03869385,0.04055619,0.039795622,0.04095016,0.038123693,0.040646352,0.04061382,0.040204033,0.038642496,0.034535024,0.039198153,0.03961349,0.03664372,0.041111533,0.040312406,0.03879465,0.03882567,0.037047897,0.04086401,0.042337086,0.039725635,0.039336395,0.04029727,0.041006308,0.04090159,0.0441566,0.039497267,0.04070443,0.042944178,0.038622692,0.037065525,0.036866996,0.041756332,0.037497252,0.039424546,0.036710724,0.03856171,0.039936323,0.042534478,0.03971322,0.040975146,0.03698763,0.03889964,0.04244886,0.04172302,0.041577496,0.035253365,0.03511274,0.035451744,0.044730697,0.04131329,0.037087254,0.040710665,0.04092551,0.043570787,0.042089418,0.042048797,0.041304037,0.03495627,0.04059614,0.043374173,0.034026742,0.03834397,0.03634793,0.038524535,0.038164254,0.038398147,0.04034473,0.039590005,0.039780434,0.041008886,0.04228507
DF_8,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
DF_8,3,0.031251,0.036842298,0.030130412,0.030834379,0.03241274,0.034129463,0.028300986,0.030022284,0.02774718,0.03354492,0.030813625,0.031459562,0.032805506,0.030656785,0.026173973,0.027971381,0.027548565,0.028472971,0.030984567,0.03586894,0.034575477,0.032458745,0.03041063,0.030665874,0.029682416,0.030115185,0.031006092,0.032276005,0.030891549,0.028452998,0.025893673,0.036152203,0.02805111,0.032569554,0.029421806,0.02678365,0.02840417,0.032731544,0.036158465,0.030793438,0.031656723,0.023606509,0.029737873,0.025727214,0.03377752,0.029068192,0.028115492,0.03326925,0.026825951,0.029177343,0.036128882,0.032482438,0.03378318,0.0273772,0.025677541,0.028680434,0.034086853,0.031271324,0.03228108,0.03433958,0.028986637,0.03313022,0.027734978,0.032615766,0.03388295,0.026026236,0.034299836,0.03090558,0.025378974,0.03563195,0.02646358,0.03676627,0.032610647,0.03165212,0.03718813,0.032919843,0.028616462,0.028859567,0.03132761,0.030652847,0.029693253,0.025248125,0.028352417,0.030602088,0.025826566,0.02858297,0.030454997,0.027755762,0.03130077,0.032390118,0.03233354,0.033466604,0.034156226,0.03367708,0.031971525,0.031058418,0.028849114,0.03190382,0.02735306,0.036469705,0.03433303
