Treatments,Time,BC_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BC_6,12,0.06988433333333330,0.023462746,0.047693405,0.016908132,0.027337419,0.052820526,0.028903035,0.017680936,0.03584921,0.015416466,0.046139844,0.01123231,0.060923103,0.031433884,0.027319307,0.04317458,0.03613246,0.023314526,0.03285597,0.05762653,0.07096244,0.016137078,0.06813059,0.070937835,0.033906374,0.030397223,0.029352628,0.044253845,0.020812834,0.03250791,0.023351982,0.026351118,0.029819963,0.05434232,0.05440763,0.037078828,0.02027979,0.052763678,0.0486037,0.023135945,0.0847623,0.01776538,0.026068702,0.01724026,0.026895523,0.043605544,0.026658058,0.035601795,0.039522838,0.023578998,0.018697903,0.04288858,0.041832227,0.02624841,0.044431847,0.05450772,0.0117837405,0.04376724,0.021137832,0.024889559,0.046996176,0.062434252,0.053931706,0.068083346,0.052010812,0.018860972,0.074174635,0.039009627,0.02691746,0.04432177,0.05434246,0.026712622,0.0159866,0.015032153,0.04420111,0.037511066,0.022293972,0.032873016,0.037581358,0.039975125,0.040949702,0.021115508,0.03812127,0.032815978,0.047465805,0.009116762,0.06287941,0.044753503,0.01890509,0.028917486,0.025210695,0.011013486,0.042594306,0.030693596,0.02721313,0.02631468,0.022967007,0.023105944,0.050410036,0.03354759,0.05387318
BC_6,24,0.7113956666666670,0.056832984,0.22674797,0.02889882,0.075514466,0.2685055,0.08484916,0.03191202,0.13106054,0.02420736,0.2049498,0.012689446,0.3404868,0.09893451,0.07595431,0.18630897,0.13205808,0.05463281,0.10895351,0.3252893,0.47438964,0.02641872,0.42115423,0.45492718,0.11718985,0.092643864,0.08562274,0.19141802,0.043756604,0.10445691,0.0564607,0.07079068,0.08888067,0.28958642,0.29230404,0.13693891,0.04155931,0.27507895,0.2345798,0.054238852,0.5993376,0.032241236,0.06871288,0.030097052,0.07377301,0.181883,0.07248427,0.12808594,0.155388,0.055669308,0.035422962,0.1883949,0.18126152,0.069554895,0.19691004,0.29283148,0.013973194,0.1885813,0.044995543,0.061981753,0.21773452,0.37329555,0.2760375,0.4274781,0.26587352,0.035868194,0.49900058,0.15527302,0.073858075,0.19458115,0.28570366,0.07300417,0.0258294,0.022874374,0.19384842,0.1410098,0.05009187,0.10784255,0.13847733,0.15957907,0.16771765,0.045248788,0.14633875,0.10571712,0.2276404,0.008362757,0.3776148,0.20279758,0.03588231,0.08320426,0.06441709,0.01217258,0.17590675,0.09748031,0.07526065,0.069994494,0.053081386,0.053474747,0.25202304,0.11311741,0.27202377
BC_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BC_7,3,0.03268133333333330,0.022748055,0.022237403,0.022488998,0.023653977,0.02357578,0.023095002,0.021628276,0.022581702,0.021325277,0.023652434,0.022958875,0.02326166,0.02212491,0.02250886,0.023088336,0.021907706,0.022946687,0.022738686,0.023320705,0.022088272,0.022290943,0.023040852,0.023173638,0.02192015,0.022371225,0.021454442,0.023363441,0.02257141,0.023678405,0.023243833,0.022579152,0.022630053,0.02223959,0.023326298,0.023089433,0.021509789,0.021581123,0.023409,0.023235677,0.024668586,0.023893688,0.021797486,0.022699334,0.023306467,0.022580419,0.023345726,0.022085026,0.022323709,0.023492668,0.021913318,0.021839691,0.022496155,0.022232173,0.022917459,0.022830924,0.024938673,0.023537014,0.023250157,0.02417632,0.022760399,0.02407202,0.022292983,0.022879492,0.021548826,0.02407489,0.023110619,0.022540784,0.022761758,0.023987936,0.022291496,0.024396196,0.023312083,0.023016836,0.02305995,0.022553856,0.022953965,0.022565808,0.022081388,0.024118153,0.02202134,0.022458032,0.022870598,0.021921815,0.023124196,0.023416089,0.023236793,0.022317607,0.0231874,0.023712955,0.023027465,0.024562715,0.022711618,0.022303293,0.022359448,0.023861546,0.022182422,0.023242366,0.022372006,0.022335883,0.023466876
BC_7,6,0.052554666666666700,0.050742086,0.048521746,0.049640793,0.054703318,0.054637592,0.052272197,0.04610713,0.050052233,0.044665746,0.05480205,0.051659342,0.052822065,0.04811934,0.049708866,0.05212732,0.04719847,0.05156082,0.0506806,0.05326983,0.047889072,0.048825685,0.05194281,0.052615047,0.047349267,0.0491197,0.04523783,0.053330276,0.05001504,0.054803252,0.052908596,0.050177336,0.0502579,0.048590902,0.05325322,0.052298855,0.04553843,0.045703065,0.053749856,0.05287132,0.059506666,0.05594995,0.046752512,0.050444297,0.053177994,0.049910102,0.05335716,0.047969334,0.048906174,0.053994663,0.04725681,0.046950072,0.049721036,0.048578836,0.051452145,0.051185284,0.060409248,0.054253694,0.053085938,0.057155933,0.05079053,0.05660717,0.048882354,0.051347815,0.04576862,0.056650836,0.052249525,0.049800344,0.05075347,0.056287978,0.04880531,0.058001902,0.053239882,0.051837448,0.052014872,0.05005189,0.051577274,0.049969096,0.047930066,0.05695823,0.047592387,0.04958449,0.05142766,0.047114186,0.05256136,0.053824108,0.05305558,0.048759874,0.052758966,0.055080153,0.051993653,0.0589993,0.050523277,0.04879272,0.04904802,0.055624995,0.04835043,0.052768182,0.04925441,0.049025986,0.053744752
BC_7,9,0.09834266666666670,0.10854797,0.101761654,0.10532911,0.120395206,0.12187922,0.11325787,0.0954021,0.10663141,0.09022793,0.12131586,0.11130857,0.11388692,0.10096839,0.10544452,0.11216871,0.09821666,0.11076153,0.108247615,0.11630558,0.099884175,0.103070974,0.11174975,0.11428135,0.099186495,0.10369104,0.092089385,0.115751274,0.10655913,0.120644644,0.11508058,0.10777024,0.1072417,0.10229035,0.116011426,0.113627546,0.09333388,0.09315207,0.11828145,0.11496205,0.13636647,0.12522411,0.09698701,0.10716721,0.11586103,0.10546699,0.11643132,0.10062435,0.10299585,0.11829743,0.098575234,0.097678095,0.105845526,0.10236016,0.11053879,0.110345915,0.13698219,0.11944704,0.11648422,0.12849179,0.108661465,0.12634982,0.1035069,0.11056613,0.09436426,0.1266721,0.1126729,0.105470195,0.10831549,0.125739,0.102889426,0.13015367,0.116258055,0.11142663,0.1119025,0.10729701,0.11072367,0.106303915,0.100382425,0.12829044,0.098936364,0.10558404,0.11146919,0.097221464,0.115058854,0.11876675,0.11656574,0.10192005,0.11519784,0.122207895,0.112514175,0.13466161,0.107552886,0.102515854,0.10336011,0.123153724,0.10158782,0.1139088,0.104804575,0.10372073,0.1167654
BC_7,12,0.18753466666666700,0.21403754,0.19779272,0.2069467,0.24032605,0.2513981,0.22520007,0.18631212,0.21024781,0.1703901,0.24514087,0.2203264,0.22222678,0.1976481,0.20688736,0.21993183,0.1911654,0.21803755,0.21285321,0.23225182,0.19345145,0.20249015,0.21961032,0.22747138,0.19564755,0.20289102,0.17545234,0.22778532,0.2102482,0.24063917,0.22888438,0.21627672,0.21169832,0.20038603,0.2304646,0.22729665,0.1798312,0.17677082,0.23901463,0.22860295,0.2813783,0.2557064,0.18868351,0.20874105,0.2305231,0.20451488,0.23188072,0.19728361,0.20102446,0.2358694,0.19280036,0.19073287,0.20935917,0.20100047,0.21797103,0.2201486,0.2728523,0.2400693,0.23594779,0.26100135,0.2141282,0.25418478,0.20469606,0.21951072,0.18372516,0.25578547,0.2216406,0.20590854,0.21235831,0.25449395,0.20157437,0.2605449,0.23230603,0.21881792,0.21968481,0.21472478,0.21756151,0.20918097,0.1962106,0.262442,0.1909989,0.20938376,0.22443272,0.18583524,0.23343891,0.24135318,0.23699014,0.19592059,0.23169439,0.24732122,0.22394454,0.2769215,0.21030961,0.19932005,0.20161936,0.24624819,0.19880883,0.22312993,0.2084732,0.20426314,0.22911906
BC_7,24,2.686487,0.7412762,0.69572204,0.73104984,0.7590703,0.9561298,0.7618594,0.77457047,0.7445435,0.61052334,0.82141256,0.7454051,0.66413414,0.7426398,0.72999793,0.6923534,0.72639704,0.7220985,0.7265174,0.7737475,0.68432677,0.7446804,0.7112674,0.7622568,0.8082911,0.7273357,0.64417297,0.69728523,0.7481275,0.7533697,0.7527936,0.8624301,0.7601417,0.7421803,0.7393323,0.7924335,0.7043807,0.62263644,0.8277881,0.7555432,0.89288634,0.85881954,0.7362602,0.6711261,0.75592345,0.6661284,0.75255233,0.7560209,0.71354747,0.7612556,0.7598152,0.75138795,0.774208,0.7569941,0.7317377,0.7955638,0.7221796,0.80161524,0.8546733,0.81969696,0.73239404,0.77667564,0.79412496,0.7705133,0.76972985,0.79844236,0.70574105,0.7031346,0.708631,0.8114679,0.7329086,0.7510495,0.7727792,0.7043685,0.7060959,0.83864325,0.7097433,0.73785615,0.7431014,0.8599012,0.67524153,0.7910919,0.83741665,0.6339515,0.8723196,0.86893445,0.8906736,0.6383596,0.81999475,0.82298684,0.7729966,0.8703952,0.69840616,0.6937582,0.70862556,0.7568412,0.7391672,0.6913468,0.81232506,0.7645042,0.6886358
BC_8,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BC_8,3,0.020916333333333300,0.02145132,0.021168154,0.02143593,0.021575946,0.021371435,0.021244569,0.02132411,0.021519294,0.021366144,0.021262784,0.021476422,0.021535054,0.020968355,0.02137933,0.021562794,0.021633359,0.021477904,0.02116941,0.021566225,0.021494087,0.021274062,0.021452473,0.021178266,0.021300009,0.021523152,0.021655101,0.021517038,0.021267854,0.021315748,0.021359742,0.021387458,0.021437382,0.02142809,0.02125343,0.021114446,0.021188408,0.021454882,0.021471364,0.021427456,0.021318622,0.021325415,0.021454215,0.021308538,0.021471068,0.021391738,0.021544123,0.021208113,0.02128678,0.021482477,0.021466434,0.021044187,0.02115759,0.021475233,0.021099387,0.021491501,0.021292143,0.021512814,0.021264635,0.021343572,0.021376735,0.021495229,0.021367433,0.021336842,0.021125048,0.021319004,0.021181947,0.021452077,0.021239378,0.021035668,0.021305893,0.021271918,0.021441111,0.021655738,0.021247525,0.021204682,0.021137126,0.021227764,0.0212327,0.0215887,0.021377724,0.021252599,0.021300837,0.021369303,0.021249069,0.02125613,0.021312062,0.021308668,0.021505518,0.021398315,0.021146538,0.02131564,0.02124335,0.021588106,0.02105323,0.02144565,0.021664465,0.021151653,0.021224227,0.021165516,0.021402562
