Treatments,Time,wt_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
wt_6,24,2.650873666666667,4.36704,4.3739085,4.4916387,4.1412096,4.1211843,4.155186,4.2914753,4.2495384,3.9959536,3.8924491,4.1728883,4.2138968,4.4150624,4.0208297,4.0339437,4.300155,4.1938963,4.150269,4.395327,4.327225,4.1114516,4.408418,4.2497463,4.3104806,4.0638003,4.3607435,4.4042463,4.230946,4.0838404,4.4691296,4.3813615,4.328185,4.226243,4.2912717,4.1797066,4.0441546,4.0662913,3.9199,4.3409586,4.2237706,4.188594,4.365979,3.8049664,4.296277,4.261089,4.2199326,4.1664896,4.431058,4.042533,4.159657,4.093694,4.146088,4.0580316,4.0701275,4.3119044,4.358221,4.1218085,4.151867,4.020439,4.3708863,4.283493,4.4273763,4.0216503,4.1621394,4.5216827,4.1385446,4.4394345,4.135871,4.258054,4.4156246,4.087082,4.296636,4.2635875,4.092865,4.196478,4.1011987,4.376635,4.172208,4.2376246,4.1310296,4.012705,4.280834,4.264484,4.2002974,4.2789116,4.054431,4.158821,4.420755,4.185341,4.26518,4.2094274,4.029079,4.234474,4.4356637,4.2194867,4.281317,4.079551,4.2506247,4.054085,4.3511615
wt_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
wt_7,3,0.21313129666666666,0.064223714,0.0601903,0.047152106,0.056207366,0.06213481,0.056884367,0.056917187,0.062432677,0.056411024,0.05265465,0.06075981,0.056077026,0.06451736,0.051567294,0.054198626,0.059155438,0.061117005,0.055471763,0.056481585,0.053443216,0.04703443,0.061044466,0.04817825,0.058620002,0.06293404,0.050708383,0.05409658,0.058967404,0.05485134,0.05882786,0.061637014,0.0596426,0.048309613,0.042562142,0.05956738,0.055503163,0.05292745,0.056423374,0.06538901,0.05454379,0.056949787,0.055166304,0.060271658,0.060841367,0.05804525,0.060786232,0.05263133,0.057199202,0.06400451,0.0656962,0.048211664,0.057967864,0.061698526,0.0642322,0.051340785,0.056107294,0.051268235,0.053641304,0.058890842,0.05368728,0.0661399,0.057611875,0.064334534,0.0610683,0.06005517,0.048629146,0.062278483,0.062008694,0.062431484,0.057932165,0.06728496,0.06808074,0.05115905,0.063609324,0.04977818,0.06523777,0.06339202,0.05810721,0.051817447,0.05212723,0.04998798,0.061649583,0.06624072,0.05460626,0.05463079,0.061186366,0.057868693,0.058657248,0.0576619,0.052892193,0.06470962,0.058577012,0.059667785,0.06739358,0.06351378,0.065149054,0.049826175,0.060724627,0.053762857,0.06777597
wt_7,6,1.1759543333333333,0.3842952,0.3428096,0.21519624,0.30033246,0.36221823,0.30801642,0.3086058,0.36610654,0.3033899,0.26575193,0.34864005,0.29870108,0.38952184,0.2556966,0.2804172,0.33167496,0.3521907,0.2925657,0.30396593,0.2737416,0.21374793,0.3503182,0.22417648,0.32581377,0.37296593,0.24722536,0.27972874,0.3292673,0.2860782,0.32678062,0.35736594,0.3373643,0.22570184,0.17681313,0.33499044,0.29393995,0.26850027,0.30372304,0.4003149,0.2841274,0.30819613,0.29001048,0.3442646,0.3480635,0.3192888,0.34892562,0.26640767,0.31153324,0.38389435,0.4011542,0.22477672,0.3203265,0.3580671,0.38581297,0.25360548,0.29965988,0.25318888,0.27521676,0.32936427,0.27573237,0.40782556,0.31552476,0.3861582,0.3510206,0.3401269,0.22857027,0.3647316,0.36149824,0.36431137,0.31649077,0.4219181,0.4306251,0.25194842,0.379281,0.23879646,0.39667293,0.37777105,0.32079652,0.25746435,0.26120934,0.24165922,0.35737592,0.40817145,0.2850613,0.28457445,0.3518778,0.31829214,0.3257523,0.3163898,0.26775694,0.38992307,0.325386,0.33664826,0.42159882,0.3779716,0.39623812,0.23888005,0.34828085,0.2772319,0.42577988
wt_7,9,2.523843333333333,1.638775,1.4987339,0.8576245,1.2728338,1.557607,1.3261173,1.3341286,1.5881256,1.3074471,1.1110463,1.5207359,1.258831,1.7007226,1.0665408,1.1773572,1.4423543,1.5313834,1.2279007,1.3074256,1.1579722,0.8431217,1.5008277,0.9010568,1.40933,1.6474634,1.0162808,1.1800054,1.4221139,1.1903983,1.390011,1.546395,1.480732,0.9150466,0.6684849,1.4373811,1.2552148,1.1270915,1.313282,1.7688893,1.2016296,1.3172327,1.2249012,1.517862,1.4889367,1.3671787,1.5221242,1.1314336,1.3491777,1.6776267,1.7191256,0.9094875,1.4098207,1.5503196,1.6736168,1.056894,1.2761723,1.0598966,1.1565174,1.4409928,1.1603683,1.7807548,1.3633889,1.6592945,1.5129311,1.4609008,0.92952424,1.5881314,1.5673577,1.5449221,1.322537,1.8614901,1.8879651,1.0495433,1.6523374,0.97709805,1.713291,1.664036,1.3918127,1.06409,1.0980297,1.009136,1.5439057,1.7660547,1.2124348,1.1958636,1.5087075,1.3790857,1.3999778,1.374685,1.1157013,1.6675605,1.4077191,1.4571382,1.8279408,1.6413454,1.7227194,0.97101164,1.5194347,1.182753,1.8409549
wt_7,24,4.7021196666666665,4.0200605,4.442618,4.165899,4.120543,4.1364126,4.3577785,4.433596,4.2601514,4.414846,4.2118983,4.38335,4.0319824,4.341057,4.328647,4.116916,4.3973837,4.321889,4.0024233,4.3716955,4.3575916,3.9256058,4.09776,4.12098,4.3316827,4.5326667,4.1411715,4.2195787,4.2886024,3.899757,4.0475698,4.2355795,4.537226,4.317334,4.31283,4.1581016,4.3184843,4.2612166,4.4803114,4.515227,4.222875,4.219525,4.1394606,4.58747,4.0795345,4.187815,4.3840184,4.5754004,4.4453707,4.3552303,4.096917,4.2890186,4.7028494,4.2431397,4.249124,4.348399,4.2152796,4.472549,4.1936474,4.520713,4.21776,4.348535,4.373082,4.1199956,4.1868486,4.158866,4.3168283,4.319075,4.258859,3.943481,3.8114092,4.5037107,4.4285727,4.3720274,4.3121033,4.2085094,4.194052,4.480839,4.41518,4.0850334,4.41526,4.705373,4.210719,4.2271233,4.329989,4.09257,4.1069074,4.4058604,4.219686,4.4727387,4.111961,4.0605035,4.3369308,4.2950172,4.2708397,4.266052,4.282663,4.043341,4.3873467,4.502279,4.242346
wt_8,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
wt_8,3,0.18053903666666668,0.17961411,0.17777288,0.1962364,0.20047094,0.19246128,0.18662699,0.18669908,0.18349282,0.20383257,0.17622103,0.17684682,0.19253232,0.19790636,0.20035094,0.18099505,0.18675373,0.18991041,0.18971829,0.18324152,0.1890164,0.18874872,0.18944211,0.17895877,0.18569654,0.20027012,0.17377599,0.18077262,0.19023201,0.19928493,0.1730294,0.16944598,0.16777587,0.18410711,0.18115495,0.1975857,0.1909579,0.18863255,0.18992923,0.17468432,0.19627658,0.19845594,0.18267827,0.19176638,0.19020486,0.1945539,0.18323384,0.18422027,0.18645853,0.17997935,0.1878978,0.19673213,0.19032784,0.1922021,0.19329964,0.18028687,0.18913749,0.18368325,0.17430598,0.19054493,0.1959042,0.19314976,0.17920922,0.18173972,0.17876892,0.17768401,0.18955983,0.17858668,0.18847173,0.20010869,0.16794817,0.19281814,0.18045326,0.18465075,0.19850276,0.18824197,0.19764078,0.19237123,0.18491888,0.1839424,0.18405773,0.18508802,0.18442522,0.18213563,0.18692186,0.19734165,0.17678536,0.19537584,0.19290975,0.19479959,0.1687036,0.20130987,0.19720957,0.17297362,0.17936979,0.17868817,0.17053874,0.19512038,0.18075003,0.19566275,0.17134865
wt_8,6,1.4963126666666666,1.8439597,1.8829864,2.097001,2.2017112,2.0991888,1.9864807,1.96179,1.9374721,2.1844532,1.8403772,1.8837353,2.0786853,2.1766334,2.1641982,1.8328263,2.0237556,1.9534539,1.998127,2.0079606,1.9481382,2.0383918,2.0183175,1.882443,1.9368088,2.1917365,1.808111,1.8222078,2.003143,2.1182663,1.7627524,1.7654077,1.7971234,2.0700061,1.9450331,2.1575947,2.0409544,2.0327642,1.9762472,1.8028535,2.1422954,2.1802852,1.9016149,2.0227268,2.0200493,2.0757918,2.0117047,1.9038677,1.9626646,1.937234,1.9673052,2.0460393,2.066542,2.046392,2.125444,1.9093969,2.0113735,1.9841331,1.8249899,2.010533,2.0431137,2.0623517,1.8694174,1.9223622,1.9099728,1.8642495,1.9549134,1.8779104,1.9798794,2.1258354,1.7360115,2.0273046,1.9570698,1.974919,2.1380177,1.9241025,2.2069476,2.067668,1.9586735,1.9173634,1.9511365,1.9100025,2.0069575,1.9481709,2.0535164,2.063541,1.8978777,2.1577697,1.933437,2.0911307,1.7462382,2.1092243,2.13863,1.864255,1.9138888,1.8740668,1.704395,2.108305,1.8291465,2.1553037,1.7516068
wt_8,9,3.203511666666667,3.6376948,3.9046135,3.967287,4.2048373,4.141938,3.9314377,3.8231778,3.865541,4.0046954,3.7847056,3.9588716,4.051955,4.215916,4.0624948,3.5315669,4.0896544,3.6579945,3.8427765,4.2038236,3.671851,4.056208,3.9382105,3.8403447,3.7626944,4.173674,3.7595303,3.497253,3.8414721,3.9289873,3.5845609,3.7885706,4.0664215,4.46138,4.017886,4.1523113,3.965181,4.0372753,3.7462883,3.6877975,4.1476297,4.206331,3.7475893,3.8563602,3.911725,3.9526384,4.2224355,3.6893687,3.8375049,4.0446486,3.7941463,3.7541842,4.102823,3.9334185,4.2148104,3.8970416,3.9227245,4.0667663,3.812523,3.8582315,3.7735643,3.9577262,3.7686388,3.8832254,3.9799252,3.8210387,3.6771402,3.8383172,3.8212364,3.926227,3.7247987,3.8317206,4.114408,3.9755104,4.03559,3.6081896,4.3553896,4.013334,3.8908868,3.7580426,3.8987455,3.6779747,4.133758,3.9809744,4.2171235,3.7968361,4.032384,4.254016,3.477773,4.003723,3.7335527,3.821883,4.091992,4.0908732,3.966081,3.8154771,3.4376135,4.0594516,3.5265572,4.229969,3.6165714
