Treatments,Time,BT_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BT_6,12,0.4280813333333330,0.020588553,0.010801952,0.02433178,0.02363748,0.0072763707,0.008258509,0.008290048,0.017410534,0.00956772,0.024890067,0.009866996,0.023590697,0.01065764,0.008809774,0.013335632,0.015822403,0.015747834,0.007539891,0.011921674,0.009728077,0.011277358,0.011142318,0.017989423,0.0071099987,0.008413587,0.023193223,0.018994216,0.017968131,0.0059330203,0.022287086,0.0140477205,0.014209658,0.004611036,0.012858669,0.016328307,0.015386559,0.0051279357,0.008479489,0.031960804,0.007337027,0.0145779485,0.021232197,0.021094263,0.009761271,0.02011322,0.01475394,0.012023753,0.009715759,0.013296343,0.016621577,0.014181686,0.009543819,0.0073918924,0.017013475,0.012005389,0.006424951,0.014371478,0.028823806,0.023230523,0.009384129,0.013639926,0.014406799,0.01063361,0.0121240895,0.009744037,0.011657017,0.010050884,0.01210048,0.016381081,0.01448257,0.017679598,0.01980145,0.0077114445,0.0373692,0.01586893,0.006179118,0.0076434263,0.011027056,0.00898069,0.0105206715,0.02109939,0.013875471,0.015682956,0.006617801,0.0076724687,0.014051718,0.016809994,0.021991229,0.011538061,0.010372809,0.008513691,0.011241864,0.006116035,0.009649703,0.0076564625,0.015402032,0.0071398667,0.0059675663,0.012205948,0.0070402413
BT_6,24,1.5851863333333300,0.039565787,0.011238517,0.054225154,0.051772226,0.005176551,0.006622831,0.006678638,0.028525485,0.008861401,0.056944992,0.009430142,0.05091256,0.0110370405,0.007532238,0.01702732,0.023787523,0.023526713,0.005550468,0.013706718,0.009181673,0.012213102,0.011988196,0.03050481,0.0049632816,0.0068817562,0.0501206,0.03365169,0.030367218,0.0034500533,0.046126742,0.018770471,0.01930832,0.0020879745,0.015946455,0.024938159,0.022386929,0.002586218,0.0069927755,0.09044685,0.005252777,0.020303817,0.042033322,0.041450165,0.009225389,0.037644852,0.020604268,0.0139100095,0.00913829,0.016828857,0.026143461,0.019216046,0.008873004,0.005305215,0.02736448,0.013844956,0.0040382254,0.01970162,0.07468701,0.049507845,0.008540698,0.01782403,0.019791586,0.010960605,0.014269418,0.009239993,0.013134559,0.009811223,0.014096406,0.025491538,0.019992003,0.02970308,0.03650872,0.005795354,0.11775591,0.023966737,0.0037531788,0.005712832,0.011720143,0.007823261,0.010705367,0.041098032,0.018350616,0.023452874,0.0042855595,0.0057510966,0.018820783,0.026610801,0.044447873,0.012789961,0.010386999,0.0070245955,0.012242407,0.0036686119,0.009038697,0.005706075,0.02242974,0.004977899,0.0034888047,0.014345181,0.004844408
BT_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BT_7,3,0.095481,0.05867712,0.06316832,0.05704281,0.059499875,0.058081217,0.052041806,0.05611922,0.06300251,0.05954907,0.057748973,0.05596828,0.05126052,0.058113664,0.054559246,0.056173246,0.062256467,0.06348653,0.05549598,0.053903874,0.055837322,0.05969679,0.057570092,0.06450593,0.05486602,0.0580093,0.055637635,0.057925772,0.059177563,0.06174875,0.056352053,0.056467425,0.05683789,0.061134666,0.057989027,0.067222424,0.05849635,0.059271183,0.052632052,0.06278273,0.059074007,0.057522204,0.05934605,0.054316103,0.058562495,0.05758017,0.058880985,0.056305252,0.058494315,0.05858934,0.066057704,0.056144714,0.055567082,0.054777343,0.058259327,0.06313407,0.059551645,0.059287276,0.0607831,0.059915535,0.058027644,0.061904486,0.060258746,0.056461263,0.067521155,0.06422454,0.053635485,0.058652822,0.05471889,0.0610271,0.056411438,0.057334,0.05867828,0.06224152,0.055199727,0.06875963,0.056930512,0.060855005,0.06135735,0.05826228,0.056239396,0.05711674,0.05491059,0.053545423,0.05787069,0.062452387,0.064398006,0.056224633,0.056503013,0.06508789,0.060405035,0.056516763,0.060627095,0.056875683,0.058134425,0.056632716,0.05188221,0.056241147,0.055577572,0.055138547,0.051671695
BT_7,6,0.24938033333333300,0.27499086,0.31215122,0.2609814,0.28449795,0.27896473,0.22729751,0.2591513,0.31092462,0.29006657,0.272343,0.25892553,0.22390041,0.27383953,0.24409571,0.25767305,0.30290514,0.31439835,0.25455347,0.24458982,0.25387558,0.28817835,0.26578608,0.32878208,0.24671112,0.278775,0.25581685,0.27000356,0.2750776,0.30047992,0.2605931,0.2606819,0.26103732,0.296838,0.26732904,0.34588617,0.27728546,0.28823885,0.2318076,0.30805787,0.27731732,0.26383686,0.27864924,0.24849047,0.28213224,0.27078333,0.28229854,0.26336393,0.26751742,0.27367213,0.3405665,0.25877383,0.25720096,0.25050843,0.27829027,0.31006986,0.2891099,0.27789026,0.29400605,0.28596964,0.27474117,0.3078052,0.28822875,0.26345736,0.33397537,0.32691774,0.23565932,0.27230397,0.24741925,0.29611236,0.25369442,0.26271585,0.27413294,0.30783793,0.261028,0.3576739,0.26497382,0.29350382,0.30037522,0.27091008,0.2645249,0.2690827,0.2511824,0.23919916,0.27535045,0.31025484,0.31995332,0.26284778,0.26356202,0.33039913,0.2941592,0.25970158,0.29346836,0.26355428,0.27575114,0.2681811,0.22887835,0.25360492,0.2555105,0.2521991,0.22112416
BT_7,9,0.4547913333333330,0.68064576,0.76475304,0.6429778,0.719864,0.7471341,0.5944869,0.67303616,0.76335907,0.76634,0.7051025,0.67896473,0.60440755,0.698318,0.6193504,0.6569053,0.7352655,0.7674211,0.6640063,0.6582646,0.6404608,0.74102354,0.65809166,0.8315199,0.62704223,0.7500665,0.66853434,0.6755569,0.6588216,0.73981225,0.67368096,0.6689279,0.65297633,0.7406356,0.65095437,0.8312123,0.70871115,0.76530796,0.6058759,0.75060326,0.681427,0.6442511,0.6792673,0.6725251,0.7486613,0.699509,0.7325799,0.7017736,0.63110095,0.6738119,0.8465734,0.66756743,0.6846939,0.6657631,0.73033154,0.74982405,0.75627375,0.6753091,0.7341878,0.7108206,0.71108556,0.7924179,0.712638,0.69346786,0.7378819,0.83023864,0.59021294,0.6608298,0.6402147,0.7394636,0.613449,0.64403623,0.67353636,0.77521914,0.7470149,0.8472021,0.6828052,0.7268077,0.7587163,0.66697377,0.716895,0.70963794,0.66452634,0.6267325,0.72545403,0.78434205,0.7672,0.7016715,0.69242895,0.8144192,0.7549553,0.65773875,0.73747617,0.672683,0.7146784,0.72862035,0.6188782,0.61944586,0.66938597,0.6618506,0.55734885
BT_7,12,0.8958200000000000,0.8947167,0.97948426,0.85045034,0.9558575,1.0346313,0.8449971,0.9256165,0.98037905,1.0441458,0.95874506,0.940332,0.8867949,0.9361023,0.84846,0.8916978,0.9404937,0.9805033,0.91839963,0.94249266,0.86460173,0.9920043,0.871846,1.07584,0.8581758,1.04419,0.92674416,0.89741594,0.8482247,0.95506936,0.92215866,0.9122177,0.8724658,0.96689504,0.85096735,1.0367844,0.9500119,1.0473158,0.8573967,0.95938593,0.8917529,0.8458096,0.8830208,0.96299225,1.0265045,0.9487371,0.9893388,0.98030037,0.80926335,0.8828047,1.0774618,0.9117673,0.95928276,0.9380233,0.99626493,0.9531827,1.0206609,0.87505835,0.95919496,0.93042433,0.9634298,1.0467392,0.9283455,0.95847815,0.8867036,1.0761952,0.8044119,0.86031246,0.8859147,0.965049,0.8064452,0.8489701,0.88133705,1.0107306,1.1069183,1.0442969,0.9306239,0.9452858,0.99643016,0.87589145,1.0137886,0.97927845,0.931734,0.88315517,0.9957223,1.0234166,0.96644753,0.98256236,0.9564705,1.0361317,1.0039691,0.8886094,0.96759355,0.9100178,0.96949404,1.027199,0.9047371,0.8180244,0.9313746,0.9223812,0.7745202
BT_7,24,3.890811,0.9535969,1.032726,0.9099407,1.0232794,1.122536,0.93358105,1.0056272,1.0358543,1.1274166,1.0367234,1.0238506,0.9954229,1.003229,0.9241538,0.96322155,0.99152344,1.0342872,0.9986076,1.0422218,0.93154174,1.0650898,0.9351461,1.1359425,0.9339072,1.1387924,1.0114788,0.96064895,0.89792806,1.0094131,0.99948865,0.9905004,0.93673927,1.0270277,0.9062996,1.0813878,1.0187379,1.1321435,0.94571716,1.0103681,0.95090985,0.9028073,0.9382307,1.062699,1.108066,1.0220213,1.0634296,1.0699527,0.8569771,0.93927646,1.1299964,0.9850206,1.046955,1.028758,1.0742309,1.0019271,1.0937335,0.92712075,1.0178657,0.9889187,1.0375327,1.1125392,0.984779,1.040103,0.9165279,1.135181,0.87239194,0.9157315,0.9654607,1.0236471,0.86332756,0.9084697,0.9376671,1.0709951,1.2331865,1.0851079,1.0088929,1.0021371,1.0608886,0.93356997,1.1117793,1.06349,1.018759,0.9725392,1.0782262,1.0840946,1.012746,1.0745188,1.0389194,1.0871012,1.0716822,0.96020037,1.0282477,0.9811601,1.0460184,1.1211259,1.0139076,0.874689,1.0210791,1.0077858,0.85034615
BT_8,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BT_8,3,0.05748333333333330,0.009441091,0.009833385,0.009844792,0.009784665,0.009545511,0.009211149,0.010407848,0.009154002,0.010245517,0.0104839085,0.010240366,0.010026166,0.009709317,0.009840861,0.009732994,0.009831204,0.009899118,0.010485437,0.0092116,0.009520748,0.009812395,0.009415101,0.009774159,0.0098782545,0.009142848,0.010666362,0.010387832,0.010471372,0.009558736,0.009885299,0.009805623,0.009744173,0.008802214,0.009098989,0.009955187,0.00997359,0.010026941,0.010456934,0.0098546175,0.009485565,0.0103898095,0.00972201,0.009026547,0.009695422,0.009523576,0.009830397,0.010021175,0.0102068465,0.009087294,0.010082519,0.009817803,0.010026218,0.00977725,0.00907394,0.010276795,0.010111217,0.008676782,0.009737529,0.008650695,0.009692201,0.009658164,0.009963009,0.0101935165,0.010287156,0.010140685,0.009617864,0.010046191,0.010026296,0.010232572,0.009938686,0.008308392,0.008321338,0.009013739,0.010167535,0.009807886,0.011658082,0.00912473,0.010041635,0.00945682,0.010071043,0.010315505,0.009996529,0.010132305,0.010687176,0.010728083,0.009625561,0.009189177,0.009215538,0.009223377,0.0087779425,0.009449198,0.010785912,0.009029561,0.008910669,0.010313081,0.01085913,0.010058437,0.010550895,0.010167417,0.0094731
BT_8,6,0.10088666666666700,0.008930661,0.009690106,0.00971347,0.009596012,0.0091299815,0.008503681,0.010857979,0.0083955815,0.010520268,0.01101883,0.010512314,0.010078179,0.00944922,0.00970487,0.009496452,0.009689196,0.009821079,0.011021151,0.0085011,0.009085145,0.009650237,0.008883413,0.009575755,0.0097827315,0.008376241,0.011404483,0.010816425,0.010995434,0.009157262,0.009795277,0.009636899,0.009514588,0.0077636777,0.00829528,0.009936166,0.009970824,0.010077722,0.010958943,0.009733312,0.009016965,0.010821566,0.009475843,0.008164253,0.009420715,0.009090327,0.009687444,0.010066033,0.010445385,0.008275418,0.010191951,0.00966083,0.010077205,0.009577004,0.008248061,0.010584834,0.0102475565,0.0075435103,0.009501546,0.007497011,0.009414269,0.009347193,0.009947393,0.010416305,0.010606686,0.01030986,0.009268732,0.01011704,0.010076316,0.010492698,0.009901786,0.0069143195,0.0069376663,0.008138316,0.01036263,0.009641601,0.013626856,0.008344209,0.010102864,0.00896239,0.010168306,0.01066708,0.010017929,0.010290507,0.011448944,0.011538724,0.009284569,0.008461673,0.00851008,0.008523647,0.0077183302,0.008948505,0.011659261,0.008168472,0.007955198,0.010661039,0.011823036,0.010140555,0.011157396,0.010358878,0.008994528
BT_8,9,0.16289133333333300,0.008463255,0.009568929,0.009604872,0.00943227,0.008749325,0.007866941,0.011355591,0.0077134925,0.010826942,0.011611618,0.010818677,0.010156538,0.009217122,0.00959088,0.009287929,0.00957256,0.009765194,0.011613798,0.00785882,0.008688375,0.009512037,0.00839872,0.0094028525,0.0097124865,0.007688271,0.012225012,0.01129066,0.011579407,0.008791369,0.009729109,0.009492261,0.009309259,0.0068599707,0.0075759473,0.009942757,0.009991689,0.010152835,0.011511681,0.009634947,0.008589064,0.011300382,0.009258879,0.007397792,0.009173317,0.008695526,0.009569726,0.01013502,0.010718306,0.0075506633,0.010329462,0.009527617,0.010153479,0.009397733,0.007509316,0.010927242,0.010410371,0.006569523,0.009289988,0.0065073934,0.009163599,0.009064247,0.009953029,0.010670728,0.010961861,0.010509323,0.0089493925,0.010213249,0.010150536,0.010782787,0.009888941,0.0057620932,0.005793248,0.007359009,0.01058725,0.009499589,0.015977055,0.007645676,0.010184183,0.008511078,0.010292763,0.011058632,0.010064443,0.010476124,0.0122965,0.012444863,0.008973756,0.007806706,0.007873552,0.00789117,0.0067967935,0.00849212,0.012633391,0.00740195,0.0071143233,0.011047597,0.01290931,0.010247102,0.0118271,0.010576036,0.008558719
