Treatments,Time,BC_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BC_5,12,0.01,0.019351704,0.034996156,0.05643799,0.034950696,0.030596146,0.036564894,0.04724097,0.014051806,0.030227294,0.026352549,0.018526845,0.008726955,0.029329918,0.031178577,0.037296362,0.015976686,0.023619909,0.03215476,0.022162853,0.030167805,0.022035997,0.039001968,0.016590746,0.03315767,0.015818654,0.019888194,0.013579375,0.023599053,0.033547573,0.027365837,0.02353624,0.019367771,0.030967683,0.03952171,0.05433319,0.044213872,0.020878498,0.020840451,0.03493439,0.04034429,0.031642504,0.033899922,0.029763997,0.036201257,0.047954153,0.010894895,0.021358017,0.03293958,0.023450002,0.06423153,0.032862484,0.00888174,0.045394044,0.04340701,0.028569719,0.03271489,0.060276672,0.022218099,0.014040371,0.017785084,0.02441406,0.031947263,0.03390483,0.02920476,0.029860519,0.022548003,0.019278318,0.034073096,0.01979926,0.027387798,0.019929616,0.018410927,0.017524952,0.02133411,0.022654012,0.040302653,0.028263016,0.022033498,0.028053295,0.02901972,0.01549738,0.032299586,0.021126674,0.011283253,0.019904137,0.021323668,0.04037675,0.032235187,0.02254705,0.014269735,0.041203044,0.010419687,0.025336482,0.03176521,0.016666139,0.034044616,0.02122136,0.011280262,0.030177075,0.024650017
BC_5,24,0.01,0.037321966,0.119725175,0.29410243,0.118958905,0.0920671,0.13058043,0.21248312,0.019734476,0.08985119,0.06856909,0.034221653,0.0076154163,0.084725514,0.09537115,0.13551867,0.025484528,0.055385012,0.10086877,0.048782453,0.089628436,0.048248984,0.14762783,0.027483389,0.1077143,0.024991466,0.039403144,0.018432185,0.05533622,0.10997478,0.07384024,0.055004533,0.037404142,0.09431798,0.15072793,0.27436695,0.18686585,0.043373805,0.043219637,0.11893564,0.15619731,0.09809973,0.11268329,0.08722046,0.12827373,0.21794152,0.011869461,0.045418225,0.106513284,0.05456679,0.36390027,0.10575667,0.007888122,0.19526933,0.17961362,0.080616556,0.10543708,0.3307655,0.04899139,0.019700453,0.031547815,0.059175506,0.100396305,0.11242234,0.08397494,0.08788013,0.05050217,0.037026852,0.11365451,0.039071117,0.07411211,0.039574258,0.033811525,0.030638289,0.045320056,0.051040027,0.15702067,0.07862921,0.048242744,0.07767322,0.08298402,0.023995277,0.10282952,0.04443974,0.012730496,0.039483987,0.045279726,0.15799926,0.10193631,0.050546914,0.02034857,0.16368183,0.010856915,0.063645266,0.09905984,0.027729305,0.11341151,0.04482157,0.01272365,0.08955448,0.06034566
BC_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BC_6,3,0.04587733333333333,0.016120275,0.019309815,0.018410655,0.016225709,0.019587673,0.017862856,0.017025292,0.018766072,0.019842822,0.016616656,0.018272193,0.017503139,0.020191947,0.01720026,0.017692344,0.022034725,0.016205326,0.019235961,0.019749478,0.018876351,0.019405533,0.019392442,0.0180072,0.018455464,0.018380582,0.019850159,0.020163829,0.01800003,0.018880775,0.020379588,0.021154057,0.019168347,0.018792849,0.019709162,0.017841216,0.016902816,0.019015579,0.019429853,0.019186107,0.019912712,0.019489236,0.018871523,0.016430508,0.016360216,0.01856065,0.019393984,0.017791135,0.017647048,0.018989623,0.01710478,0.019949269,0.020757252,0.01907027,0.019947419,0.01804898,0.018868433,0.018462371,0.019420687,0.019160157,0.019936118,0.019054467,0.020350501,0.019394495,0.018245256,0.018902635,0.017562672,0.01836036,0.018116772,0.019094283,0.02092135,0.018212002,0.01879284,0.018422136,0.01862471,0.019174825,0.01943767,0.018219508,0.020289997,0.017790645,0.017999994,0.018677074,0.01862708,0.016094591,0.01756382,0.01760835,0.016868854,0.020056933,0.01941684,0.019418528,0.01760428,0.019949045,0.018468922,0.017974263,0.02004809,0.018116493,0.016211916,0.021317242,0.019884244,0.018748308,0.020570457
BC_6,6,0.05017,0.025963174,0.03719177,0.033836108,0.026300142,0.038270105,0.031856507,0.028943086,0.035142493,0.03926661,0.027583463,0.033296723,0.03058771,0.04068307,0.029549384,0.031253852,0.0483589,0.026232129,0.036909267,0.038904835,0.035551105,0.03756125,0.037518874,0.03236412,0.033992253,0.03372392,0.039290804,0.04050884,0.03234163,0.035578057,0.041400485,0.044597156,0.036661044,0.03524647,0.038741194,0.03177086,0.028537057,0.036076583,0.037674658,0.036714554,0.039540235,0.03788928,0.035528414,0.026961435,0.026741687,0.034392484,0.037512932,0.03160031,0.031084085,0.03596649,0.029219039,0.03971462,0.042967428,0.036282506,0.039674323,0.03251532,0.035523217,0.03401944,0.037603896,0.036626093,0.03962631,0.0362281,0.041297175,0.037526917,0.033232916,0.03564778,0.030793779,0.033646457,0.032762293,0.03637026,0.04363295,0.033114474,0.035239737,0.03388183,0.03461209,0.03668768,0.037704032,0.033142366,0.041045543,0.03160037,0.03233423,0.034798544,0.034626685,0.025878062,0.030796636,0.0309505,0.028417865,0.040122587,0.03761586,0.0376265,0.030940494,0.03969472,0.03403941,0.032249495,0.040065594,0.032763083,0.026256077,0.045306347,0.039418917,0.035074078,0.042191923
BC_6,9,0.056370333333333335,0.041756276,0.071284,0.06198783,0.042558566,0.07440328,0.056649674,0.049079858,0.06555236,0.077288784,0.045711674,0.06037766,0.053307325,0.081613354,0.050660364,0.055061564,0.10521203,0.042386916,0.07048112,0.07625777,0.06667256,0.07234653,0.07226306,0.057969406,0.062379066,0.061672237,0.077337034,0.080788635,0.057922617,0.0667936,0.08356502,0.09335253,0.069821745,0.06585912,0.07575439,0.05638747,0.04808441,0.068150036,0.072763726,0.069908544,0.078079924,0.07330993,0.066588365,0.044149034,0.043646988,0.06353305,0.07219053,0.055964787,0.05457471,0.067786545,0.04980208,0.07873808,0.088438295,0.06872468,0.07845787,0.058379166,0.06660275,0.062461536,0.072394975,0.069705285,0.07830077,0.06859629,0.08332698,0.072286405,0.06034778,0.06693372,0.05383762,0.06144633,0.05905458,0.06895756,0.090409756,0.060036335,0.0658107,0.062127754,0.064063154,0.069905676,0.072843894,0.06011448,0.08253629,0.055971727,0.057872847,0.06454445,0.064128794,0.041543037,0.053840186,0.05423397,0.047766637,0.07984505,0.07255437,0.072604,0.054224573,0.0785861,0.06249854,0.057676703,0.07956952,0.059063602,0.042453878,0.09568379,0.07768105,0.065353096,0.08603048
BC_6,12,0.06988433333333334,0.0670024,0.13536862,0.112905405,0.06868271,0.1432867,0.10022906,0.08287512,0.121394485,0.15055382,0.075545326,0.108524546,0.09246256,0.1623154,0.08654972,0.09654771,0.22469968,0.06829373,0.13337657,0.1480362,0.124058224,0.1380481,0.1379964,0.103205666,0.11370974,0.11211273,0.1505796,0.15882859,0.103144296,0.12453632,0.16653204,0.1925655,0.13192306,0.12221219,0.14664277,0.099490814,0.08075432,0.12770393,0.13947682,0.13187505,0.15252754,0.1405543,0.12377041,0.072046384,0.071070425,0.11670565,0.13758534,0.09860893,0.095276386,0.12659468,0.08456485,0.15484914,0.179942,0.12909937,0.15342587,0.10418822,0.123919465,0.113938436,0.13786533,0.13156351,0.15295495,0.12888297,0.1662338,0.13805601,0.10898488,0.124662206,0.09365654,0.11151554,0.10582861,0.12961522,0.18486588,0.108277015,0.121977046,0.11329885,0.11769799,0.13216566,0.13966076,0.108473286,0.16400634,0.09864934,0.10291787,0.118733376,0.11795507,0.06652241,0.093645066,0.094522804,0.07998948,0.15727404,0.13878177,0.13898577,0.09456031,0.15405059,0.11396031,0.10256714,0.1560969,0.105876036,0.068464376,0.19943509,0.15132381,0.12087287,0.17335059
BC_6,24,0.7113956666666666,0.4167132,1.2517886,1.0106775,0.43202665,1.3757977,0.827951,0.5921761,1.099444,1.4562151,0.5191978,0.8497052,0.7180853,1.7739176,0.65949106,0.7803572,2.2175193,0.42479455,1.227173,1.4495549,1.1199611,1.2921857,1.3277078,0.8461479,0.9931165,0.9918216,1.4342695,1.4098266,0.8545411,1.1669768,1.6063612,1.9367497,1.2492352,1.1260532,1.4045312,0.7944732,0.5806687,1.1727778,1.4033756,1.1903865,1.4703109,1.3452536,1.0988017,0.4634999,0.46654975,1.0819592,1.2702425,0.801528,0.7373795,1.11274,0.6249689,1.6635617,1.915026,1.1867278,1.4658074,0.8628258,1.124982,1.0026276,1.2255106,1.2281874,1.4446625,1.206368,1.6784937,1.3287833,0.95571846,1.1203879,0.7296899,0.9717027,0.8941013,1.1806672,1.8914671,0.9528786,1.0971472,1.0289716,1.0323328,1.2605554,1.4013531,0.95786715,1.6103644,0.80665505,0.831075,1.0199484,1.0564746,0.40795028,0.726543,0.7330673,0.5619308,1.5819347,1.3514279,1.3737545,0.74393016,1.5438596,0.9890398,0.84684914,1.4591501,0.8999518,0.4302284,2.1595762,1.4140975,1.0845151,1.7750294
BC_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BC_7,3,0.03268133333333333,0.021726575,0.021967418,0.021984845,0.021394059,0.022316141,0.021158021,0.021348353,0.023084782,0.021328788,0.022322787,0.021955986,0.021442337,0.022089751,0.022677967,0.021481633,0.022178601,0.022101471,0.02113983,0.021517945,0.021517344,0.02182932,0.022709776,0.020563278,0.02151429,0.022665694,0.023048038,0.023561861,0.021494456,0.021777166,0.021014526,0.022704761,0.022727521,0.02189541,0.021630978,0.02219071,0.02237397,0.022048853,0.022015834,0.022340873,0.02199301,0.021453144,0.022266524,0.021307183,0.021513097,0.021873519,0.021378666,0.022304088,0.021629354,0.021967724,0.021960285,0.022032086,0.021210747,0.023369487,0.0221325,0.02210044,0.020731334,0.022743678,0.022160491,0.023261966,0.022497918,0.022565363,0.021935616,0.0226155,0.022706233,0.022841014,0.021709805,0.022809625,0.021608626,0.02282943,0.021469593,0.02206833,0.022070723,0.02249778,0.02086051,0.021501375,0.022430962,0.021119058,0.02164352,0.022962157,0.021949323,0.022274658,0.022603065,0.021845479,0.022996014,0.021085175,0.022844354,0.02164256,0.022537986,0.020979114,0.021237131,0.021508837,0.02214145,0.021376237,0.023245128,0.022054842,0.022666058,0.022236435,0.021594707,0.02172996,0.022519384
