Treatments,Time,wt_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
wt_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
wt_7,3,0.21313129666666700,0.05783487,0.062568426,0.07229833,0.065457575,0.07381879,0.07059681,0.06932641,0.0750176,0.08012602,0.06937958,0.06810107,0.06934301,0.086746946,0.073002115,0.061096087,0.08403511,0.074143834,0.07113035,0.09046257,0.073905535,0.067345574,0.06507781,0.08602627,0.057912365,0.07549827,0.066992246,0.076733775,0.0651226,0.08297267,0.08449474,0.07211698,0.07188202,0.0650614,0.0756183,0.06181081,0.068015605,0.06847445,0.068799846,0.07441584,0.09376702,0.07127037,0.0802157,0.074421406,0.06818318,0.0726327,0.0727021,0.07842768,0.075139314,0.0609331,0.06061863,0.08054541,0.06556472,0.07757066,0.07506609,0.05783521,0.07563149,0.06119367,0.07257371,0.07263852,0.08036641,0.07095332,0.05731479,0.08469494,0.07650204,0.07924833,0.05241838,0.073891,0.08130235,0.0712633,0.06604139,0.05973701,0.07671002,0.079776086,0.079235,0.08052862,0.068344206,0.061142758,0.06672738,0.06990692,0.060838442,0.06819391,0.060881246,0.08837742,0.049941186,0.07511705,0.09037981,0.075566426,0.076927505,0.083258726,0.06976839,0.066578515,0.08377083,0.06769983,0.06691991,0.06508327,0.06291099,0.0616558,0.08041485,0.07129161,0.062469807
wt_7,6,1.1759543333333300,0.31726766,0.36919942,0.47870106,0.4004751,0.49621835,0.45750448,0.44222075,0.5115125,0.5719139,0.44144017,0.42964965,0.4403672,0.661342,0.48524317,0.35167515,0.61765224,0.5020146,0.4655077,0.7098129,0.49865237,0.42023382,0.39353555,0.6485747,0.3169707,0.5144334,0.41537508,0.5261846,0.39281732,0.6099017,0.6315831,0.4786333,0.47322127,0.3943007,0.51824385,0.35906783,0.42811897,0.4333539,0.4379279,0.4989942,0.75365734,0.46456444,0.5711091,0.5031676,0.42797062,0.48108748,0.48246992,0.54781914,0.5138182,0.34785044,0.34754547,0.5810813,0.39906532,0.5420988,0.51095515,0.31617862,0.51329345,0.35110044,0.47946548,0.48151284,0.57953924,0.46291044,0.3115635,0.6325747,0.5285907,0.56011117,0.26260594,0.49430934,0.5915858,0.46736667,0.40381452,0.33526435,0.53045076,0.570083,0.5644244,0.5798026,0.43056282,0.3520461,0.4116614,0.45079243,0.34895745,0.42956674,0.34851155,0.6794198,0.24074854,0.508111,0.70557714,0.51399773,0.529372,0.6086425,0.44571152,0.40872726,0.61703336,0.42299303,0.41487902,0.3937671,0.37160382,0.35695335,0.57901096,0.4663499,0.364167
wt_7,9,2.523843333333330,1.3607969,1.6356236,2.0457072,1.757364,2.0959377,1.9462948,1.8786985,2.1666293,2.3164718,1.8499699,1.8603013,1.8345946,2.6415002,2.0367897,1.5234011,2.3847303,2.1527612,2.0119023,2.7539976,2.1316807,1.8062198,1.6743375,2.5566108,1.3380542,2.1214604,1.7717336,2.103302,1.6475472,2.4605186,2.556533,2.0868964,2.0175722,1.6949612,2.1771002,1.5504286,1.8427469,1.8626186,1.8980525,2.0269847,2.858311,1.9587343,2.2778513,2.1135304,1.8022707,2.0265918,2.0400875,2.1853986,2.1911216,1.4655651,1.5254449,2.4087353,1.6986976,2.2544465,2.1420329,1.3346338,2.0699954,1.4886808,2.0018644,2.0325027,2.4144354,1.9895741,1.327191,2.5345254,2.2031932,2.2606928,1.0793383,2.0377133,2.460688,2.0224786,1.7070606,1.4094756,2.1971517,2.3518503,2.3554502,2.391418,1.8283902,1.5229287,1.7412847,1.9469322,1.5116503,1.8376601,1.4929196,2.6391864,0.99552584,2.0711412,2.698427,2.0965607,2.1273558,2.3743346,1.8605986,1.7054071,2.4305294,1.792864,1.7748992,1.6785884,1.6180905,1.5329881,2.3991098,1.9938365,1.5344892
wt_7,24,4.7021196666666700,4.252301,4.593056,4.223763,4.446434,4.1623826,4.138069,4.093224,4.287209,4.104517,3.9643312,4.3052096,3.924048,4.253098,4.120273,4.286849,3.8334644,4.3411684,4.3844795,4.223458,4.303605,4.1671367,4.041117,4.142656,3.9933767,4.0102267,4.137287,3.7705252,3.8401532,4.181651,4.2759004,4.438003,4.2481494,4.117389,4.191943,4.191054,4.212357,4.197644,4.3452044,3.8244774,4.2959285,4.123313,3.9221792,4.112207,3.963343,4.149535,4.14111,3.8075438,4.38112,3.9072547,4.610364,4.2768636,4.0256734,4.1828413,4.157589,4.02472,3.8170686,3.9620764,4.0110645,4.112207,4.2784615,4.2393456,4.2564526,4.2221665,4.149582,3.9611309,3.9807396,3.915476,4.4009347,4.3353286,3.9523492,3.8624136,4.104567,4.200874,4.295913,4.3157444,4.12445,4.3019423,3.9666715,4.2809467,4.2821336,4.175671,4.2211013,4.1498847,4.4967504,3.9085414,4.124264,3.8912735,3.8227334,3.887903,3.89221,3.7945051,4.023202,4.024718,4.1246166,4.0639653,4.298047,4.1782713,4.3313317,4.251719,3.9112415
wt_8,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
wt_8,3,0.18053903666666700,0.19270284,0.19234358,0.17585483,0.18726821,0.19269197,0.15320238,0.1893289,0.19159275,0.1807338,0.19587457,0.19175835,0.19479856,0.17957191,0.1995187,0.18293403,0.17064768,0.19337559,0.18513636,0.18431486,0.19092308,0.19031414,0.18599203,0.18724813,0.18446982,0.19673303,0.18326493,0.17722183,0.18688193,0.19191292,0.1894576,0.17843369,0.18891001,0.18285821,0.1833547,0.18344514,0.19583061,0.1949742,0.17387356,0.19437414,0.17783986,0.18863787,0.18050936,0.18723886,0.19670218,0.18449973,0.17289777,0.17034347,0.19084425,0.19477262,0.18736821,0.18139072,0.18869719,0.19666032,0.19647689,0.18786436,0.18677789,0.19232827,0.17106439,0.1841359,0.1981388,0.19955976,0.17511266,0.18420926,0.17580228,0.1884573,0.18071024,0.18577753,0.19482526,0.17972536,0.19556622,0.20404616,0.17456542,0.17053533,0.20173337,0.18876864,0.18960464,0.19226058,0.18930851,0.18910123,0.18320274,0.19046925,0.19487403,0.18483014,0.18982537,0.20359819,0.19076392,0.18572274,0.1784331,0.1825221,0.1767625,0.1792884,0.17083703,0.18051025,0.1906026,0.19912127,0.1976449,0.18908018,0.19107735,0.19275936,0.18315081
wt_8,6,1.4963126666666700,2.0451162,1.9696488,1.8231342,2.0576632,2.1169336,1.5316069,1.9706006,1.950986,1.9006445,2.0230732,2.0909183,2.1190042,1.8937768,2.1618958,1.8802996,1.7753198,2.0312955,1.928271,1.860798,1.9711989,2.0235093,1.9832071,1.9801339,1.9037901,2.1261015,1.9218013,1.8192186,1.9793218,2.1226053,2.032828,1.8816012,2.01821,1.9244938,1.9216255,2.0010962,2.12746,2.0970438,1.823288,2.0825882,1.9124359,2.0126312,1.9510087,2.0453057,2.1326852,1.9641306,1.7926617,1.747748,2.0336545,2.103969,1.9728372,1.8899337,2.027044,2.1076376,2.122227,1.9953732,1.918043,1.9991533,1.7562659,1.9899304,2.0679252,2.2109034,1.7572155,1.8798319,1.8370575,2.045204,1.9272226,1.9646646,2.0641887,1.9679518,2.037781,2.1983244,1.8427542,1.776527,2.197111,1.9755377,1.972485,2.0659301,2.045732,1.9927689,1.9280617,2.0271866,2.0266724,1.9757293,1.9833622,2.1731,2.1097784,1.9495484,1.8713093,1.9355223,1.8501848,1.9002428,1.7877004,1.9129852,1.9936855,2.1464365,2.1151574,2.0916448,2.0794673,2.1317995,1.9317048
wt_8,9,3.203511666666670,3.9070575,3.6289,3.723595,4.2175937,4.206761,3.52369,3.7477512,3.5871885,3.834779,3.7004404,4.139501,4.118725,3.8613293,4.087242,3.6465876,3.7693293,3.8250976,3.750968,3.512037,3.68764,3.9207447,3.9473102,3.8757358,3.67831,4.062007,3.8075647,3.638183,3.8888297,4.271764,3.998388,3.862929,3.9607615,3.8383694,3.8029437,4.159195,4.1060057,4.0197062,3.8278966,3.9871173,4.0424056,3.9498906,4.0819316,4.1624875,4.089695,3.935009,3.7315757,3.6502798,3.939342,4.056673,3.840108,3.755904,4.00942,3.9912214,4.05738,3.9119673,3.6416209,3.741309,3.652877,4.069741,3.7840314,4.283341,3.4633622,3.5915554,3.7915246,4.1001186,3.958348,3.8763378,3.8959212,4.211073,3.7660933,4.049219,3.8857708,3.7830489,4.133919,3.791114,3.744215,4.011041,4.0619597,3.847165,3.8376863,3.9293044,3.750228,3.970263,3.7790024,3.971874,4.272531,3.8152404,3.815714,3.9030564,3.8028948,3.906008,3.821791,3.901831,3.7878642,4.0431333,3.9810584,4.278456,4.1236644,4.2688103,3.8567674
wt_8,24,4.803394333333330,4.1018167,3.7952423,3.9619446,4.4711137,4.435665,3.8595195,3.9359872,3.751958,4.066344,3.8641183,4.364254,4.330589,4.101542,4.278871,3.8456695,4.039395,4.0088058,3.954124,3.6907322,3.8643932,4.125048,4.1717396,4.086227,3.8754218,4.260124,4.0249805,3.857682,4.1022763,4.5127096,4.215025,4.1083627,4.1745787,4.061364,4.019619,4.4226236,4.3116937,4.2189527,4.0907373,4.184894,4.3158965,4.163675,4.3490834,4.409029,4.290859,4.1639433,3.9844215,3.9035642,4.14382,4.260758,4.0461392,3.9743283,4.230609,4.181716,4.255878,4.124203,3.826745,3.9193513,3.9025881,4.3177547,3.9494562,4.4964533,3.6686606,3.7794466,4.0400033,4.333356,4.207287,4.0922666,4.0826807,4.501183,3.9371154,4.2243533,4.1543903,4.0570188,4.323431,3.9864259,3.931228,4.219058,4.2876277,4.047637,4.05914,4.1341453,3.921772,4.202219,3.9694288,4.1402907,4.51799,4.024474,4.0549116,4.13547,4.0480022,4.1537995,4.0998926,4.1432242,3.9762795,4.2314825,4.1676054,4.5322056,4.349913,4.5051513,4.0813427
