Treatments,Time,CC_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
CC_6,12,1.0032953333333300,0.005836535,0.010741126,0.005530384,0.005412539,0.0040281494,0.007984856,0.0026624198,0.0037396927,0.0050670574,0.027101943,0.0044822367,0.0051720403,0.0048279227,0.015081837,0.0084480215,0.011189977,0.010226839,0.0038650515,0.010154858,0.008181892,0.0025543156,0.011592221,0.0023308524,0.0053751403,0.008735719,0.017444756,0.0033835834,0.008347867,0.0019558931,0.011523435,0.007914577,0.008168368,0.00684315,0.0036270316,0.012325771,0.003886899,0.005287556,0.009450409,0.0050012753,0.0084632225,0.0069932705,0.003308212,0.002879871,0.006898258,0.012426345,0.012625349,0.008012752,0.004012242,0.0049251723,0.013956206,0.011155082,0.003921344,0.0062752464,0.005033232,0.0072837933,0.008431311,0.008623988,0.013364772,0.0044457554,0.0068218065,0.0037127633,0.008109265,0.0027862752,0.0044212723,0.008870393,0.0056665293,0.006510809,0.004294144,0.006520198,0.0121269915,0.015292011,0.0036558262,0.00404407,0.0035174298,0.0104169985,0.005627017,0.00676466,0.006219905,0.007952447,0.009614109,0.007032433,0.0032375243,0.0051776883,0.0043141274,0.0046652807,0.0025976936,0.010255247,0.009620945,0.0031227397,0.0028662302,0.0032229552,0.00715412,0.0041009868,0.0031964607,0.004437787,0.0053401636,0.0027864457,0.015012425,0.010870217,0.01090056
CC_6,24,3.7483586666666700,0.0033989511,0.011536879,0.00305031,0.0029224693,0.0016169932,0.0063746357,0.0007046058,0.0013925773,0.0025597028,0.071275964,0.0020019596,0.0026695468,0.0023237127,0.022689296,0.0071365717,0.012517755,0.010464208,0.0014874561,0.010317769,0.0066921334,0.0006483088,0.0134239085,0.0005397411,0.0028815677,0.007633714,0.030306676,0.0011390289,0.0069640623,0.00037955408,0.013281834,0.0062631927,0.0066771014,0.00467587,0.0013097896,0.015179094,0.0015038381,0.0027876077,0.008934332,0.002493045,0.007158897,0.004887408,0.0010888941,0.0008247154,0.004755068,0.015432411,0.01596175,0.0064185867,0.0016030164,0.0024190925,0.019449625,0.01243704,0.0015306023,0.0039337995,0.002525996,0.0053001666,0.007104532,0.007440276,0.017853674,0.0019692082,0.004648893,0.0013727867,0.006573728,0.0007716075,0.0019474773,0.007864259,0.0032047506,0.0042342744,0.0018370086,0.0042407704,0.014685811,0.023317305,0.0013307014,0.0016290729,0.0012319371,0.010856866,0.003159361,0.004572689,0.0038636,0.0063236817,0.009246116,0.004943408,0.0010429816,0.002673971,0.001854631,0.0021688656,0.0006708454,0.01050463,0.009262134,0.0009699495,0.0008168441,0.0010338902,0.0051114867,0.0016751279,0.0010162789,0.0019617085,0.0028442098,0.0007721112,0.022448609,0.011811861,0.011875993
CC_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CC_7,3,0.14619800000000000,0.038990755,0.03878034,0.03906558,0.038283996,0.039338704,0.039496675,0.038522568,0.03967961,0.038386174,0.038659472,0.037406873,0.039167665,0.03807956,0.039261434,0.039247938,0.03790073,0.039126072,0.038495813,0.03855758,0.039193932,0.03921154,0.037363287,0.03905931,0.039328244,0.038201418,0.03762643,0.039146688,0.03963688,0.03738492,0.039133,0.040860113,0.040142298,0.039044064,0.03883662,0.03959608,0.039841224,0.03869902,0.039740786,0.039397493,0.037940737,0.037972003,0.039091565,0.039593566,0.03786396,0.03790793,0.03946635,0.037764017,0.03813677,0.03725353,0.03855362,0.03995923,0.037874367,0.03940507,0.038602185,0.03957012,0.038641684,0.039750032,0.03947766,0.038801566,0.03937237,0.038768012,0.03910418,0.039618924,0.038853142,0.039642964,0.039417867,0.039233677,0.038955856,0.038279872,0.03916176,0.038085975,0.038704656,0.037833363,0.03906764,0.038616892,0.039836217,0.040335946,0.039543312,0.03825139,0.038358085,0.038323045,0.039044496,0.038396608,0.03962462,0.04045544,0.038967792,0.038828827,0.038930956,0.038935535,0.03907775,0.040258553,0.03948401,0.040516175,0.03830314,0.03970135,0.038035557,0.037685506,0.039462026,0.03922242,0.03917701
CC_7,6,0.23745633333333300,0.14943257,0.14792717,0.15008649,0.14418279,0.15208922,0.1531365,0.14604804,0.1547678,0.1449624,0.14695792,0.13773061,0.15080523,0.14275752,0.15146,0.15147126,0.14142269,0.15049605,0.14578314,0.14629011,0.15089533,0.15116985,0.13756594,0.14993043,0.1519403,0.1436344,0.13948458,0.15059526,0.15431279,0.13764906,0.15046334,0.16392954,0.15808424,0.149731,0.14821683,0.15396033,0.15593013,0.14726691,0.15520771,0.15254532,0.14166662,0.141884,0.1501019,0.15412033,0.14112072,0.14148791,0.15296698,0.14045574,0.14315358,0.1366745,0.14616707,0.15673487,0.14117225,0.15255815,0.14650449,0.15378848,0.14682655,0.15518054,0.1530627,0.14809182,0.15229645,0.14768948,0.15041676,0.15432298,0.14844187,0.15442286,0.15264429,0.15133196,0.14911947,0.1441573,0.15072632,0.14270723,0.14735593,0.14093821,0.1500042,0.14658947,0.15571034,0.15983418,0.15363082,0.14405295,0.14474663,0.14455725,0.14990632,0.14497781,0.15432541,0.16046463,0.14925379,0.14830428,0.14895475,0.14902939,0.15001264,0.15902744,0.15321186,0.16117443,0.14425725,0.15475474,0.14236699,0.13981704,0.15306894,0.15117674,0.150842
CC_7,9,0.3697333333333330,0.5374631,0.5309064,0.54197884,0.51159465,0.55117214,0.55417806,0.52220327,0.5658998,0.51574993,0.52518976,0.47935742,0.5448694,0.50567955,0.54737306,0.5490593,0.4987828,0.5433687,0.5199262,0.5231429,0.54374033,0.5471403,0.4805154,0.5396355,0.5493959,0.5097429,0.49014306,0.5430828,0.5617066,0.47998348,0.54196584,0.6128917,0.57923067,0.5374473,0.5305494,0.5593424,0.5706612,0.52693075,0.5676647,0.5536054,0.49928272,0.5001532,0.53942496,0.56275165,0.49679947,0.49924478,0.55424166,0.4944377,0.5072612,0.47487614,0.5211737,0.5731968,0.49673414,0.5530264,0.5225168,0.55884653,0.524523,0.56615,0.55486584,0.53182065,0.5515248,0.5276809,0.5442281,0.5639285,0.5330787,0.5631844,0.5533399,0.5479017,0.53514564,0.51151305,0.54396105,0.5040709,0.52799386,0.49651077,0.5402073,0.52259326,0.56689334,0.5917854,0.5587605,0.51247025,0.5146207,0.5145868,0.5407895,0.5149726,0.56329805,0.59059465,0.53639776,0.5330009,0.53459674,0.5355468,0.53923345,0.5846355,0.5570592,0.5977451,0.5110207,0.5631978,0.5027826,0.49040315,0.5567044,0.5461116,0.5445302
CC_7,12,0.5298326666666670,1.5821397,1.5685173,1.6047175,1.504961,1.6257876,1.6140797,1.5489694,1.6802825,1.5193058,1.5450076,1.4008574,1.6079407,1.4963373,1.6086996,1.627477,1.4722432,1.6034303,1.5329307,1.5494823,1.5903784,1.6175383,1.4194084,1.5841359,1.6108475,1.5068938,1.453604,1.5965582,1.6511071,1.4111204,1.5879437,1.822247,1.6915396,1.5680522,1.5539321,1.6395041,1.6843876,1.5522345,1.6800989,1.6339083,1.4671036,1.4670904,1.5732517,1.6714791,1.4606096,1.4740456,1.6227539,1.4614531,1.4971219,1.3921291,1.5306474,1.6776296,1.4582249,1.6268582,1.5320151,1.6407771,1.5419904,1.6654687,1.6259191,1.5723319,1.6209329,1.5418878,1.6174581,1.6770031,1.5725883,1.6632289,1.6278201,1.6200814,1.5678979,1.5043907,1.6004279,1.4793844,1.5596024,1.4661312,1.5889722,1.5293547,1.6508425,1.7571344,1.6474255,1.5198141,1.5166683,1.5222186,1.5992304,1.5099262,1.6682934,1.717872,1.5750601,1.5769815,1.5673566,1.575305,1.576033,1.7117461,1.6441761,1.7680719,1.494922,1.6492995,1.4779298,1.4415354,1.6465003,1.6058279,1.6014637
CC_7,24,0.8869170000000000,4.229753,4.1895933,4.2344446,4.1796885,4.2216706,4.0250535,4.279159,4.3126493,4.160468,4.1920114,4.090518,4.2256017,4.2443447,4.1691837,4.260055,4.2047486,4.2017083,4.1650505,4.266073,4.086751,4.203354,4.140896,4.128176,4.1195445,4.258411,4.2878065,4.1819277,4.169486,4.1413207,4.094413,4.409953,4.1702685,4.0807495,4.1579485,4.156178,4.2315216,4.220927,4.2271137,4.224661,4.114201,4.0573826,4.008394,4.2921505,4.0997868,4.180124,4.1149197,4.177144,4.1732364,4.1069245,4.112538,4.112028,4.1117845,4.1918883,4.095854,4.157543,4.1447105,4.208306,4.1281323,4.214339,4.181082,4.079691,4.3073645,4.3354917,4.2066298,4.23245,4.230823,4.2316036,4.1326947,4.1488314,4.176696,4.1291018,4.195687,4.2190485,4.1964097,4.075843,4.079755,4.313283,4.248471,4.2377095,4.2301416,4.186465,4.2414756,4.1173434,4.24949,4.11244,4.114779,4.2198024,4.0960064,4.151248,4.0767155,4.183662,4.1954675,4.304315,4.104025,4.132649,4.114947,4.132114,4.2225738,4.1559534,4.1429267
CC_8,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CC_8,3,0.05366766666666670,0.004646177,0.0046453453,0.0045357137,0.004379273,0.0046574813,0.004517607,0.00462564,0.004152847,0.0045608855,0.00438033,0.0046461304,0.004583348,0.004456593,0.004684172,0.0046186764,0.0043509547,0.004415754,0.0044934624,0.0044367225,0.0043777307,0.0045666653,0.0044385674,0.004544439,0.004359783,0.004537343,0.004413028,0.0042064507,0.0044346955,0.004466059,0.0044812355,0.004339703,0.004621928,0.0044912114,0.0043161544,0.0046830783,0.00465885,0.0046624993,0.0046287314,0.0044398536,0.0047260164,0.004425725,0.004203423,0.004308549,0.00455118,0.004392268,0.004745678,0.0043959343,0.0042697103,0.0045717144,0.004647502,0.004413465,0.0045766393,0.004458172,0.004526006,0.0041544773,0.004666245,0.004645666,0.0047422666,0.0045400737,0.004518528,0.004587928,0.0045547,0.004693844,0.0045453953,0.0045878924,0.0046162587,0.004625108,0.00464734,0.0043184427,0.0044426424,0.0045533082,0.0041852416,0.004542226,0.0048038857,0.004385816,0.0045762407,0.004809944,0.004329798,0.0044951835,0.0043656304,0.004737244,0.004666855,0.0043285266,0.004455691,0.004372673,0.004573808,0.004494663,0.004216791,0.0044660484,0.0047185957,0.0046678255,0.004168087,0.0048106387,0.0046370085,0.004547606,0.00462843,0.004510715,0.004737065,0.004836723,0.004674774
