Treatments,Time,AC_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
AC_5,12,0.01,0.0878715,0.076880455,0.075303935,0.06966349,0.10504703,0.0762213,0.06922082,0.06731573,0.06320219,0.08338415,0.099365264,0.086911336,0.08668074,0.08768863,0.070711434,0.0793688,0.07582129,0.092051364,0.09723314,0.069932275,0.078245044,0.0836172,0.08638467,0.08885039,0.05986503,0.07569673,0.073162906,0.056472424,0.06714333,0.10942001,0.06855847,0.07370218,0.071311355,0.09234856,0.086229384,0.088665314,0.06653003,0.08389528,0.075515434,0.06760971,0.10876587,0.08033142,0.081836864,0.08241789,0.08326083,0.09175363,0.08853663,0.09576292,0.07940647,0.07531095,0.07633232,0.07981986,0.06668021,0.0671896,0.086785614,0.07810149,0.072813176,0.08399483,0.09170241,0.09468343,0.08380164,0.08622058,0.07044144,0.06847939,0.08048433,0.0793937,0.072511606,0.06800114,0.08449794,0.08840931,0.07885016,0.08395044,0.073770076,0.065149,0.08151664,0.110222965,0.09145381,0.107430674,0.09459049,0.06662945,0.06669859,0.084573224,0.07314071,0.09978269,0.07895087,0.089105785,0.0851578,0.06927046,0.08815718,0.08091753,0.08016106,0.064957395,0.10026233,0.10513026,0.08470814,0.07201551,0.067448765,0.08345602,0.05947687,0.08824919
AC_5,24,0.01,0.6703103,0.52462006,0.5063121,0.44167003,0.8802185,0.51391137,0.4314,0.41054633,0.36962673,0.6077505,0.81652045,0.6420191,0.6488251,0.6648406,0.45405,0.5566493,0.51310074,0.71238965,0.79835767,0.4423595,0.54159755,0.6068438,0.6408237,0.67772406,0.33265024,0.51139647,0.48400372,0.2997085,0.4105294,0.9493512,0.42676598,0.49112344,0.46047187,0.7219762,0.63476217,0.6755461,0.40601915,0.6062244,0.5064629,0.4176388,0.9338974,0.5656248,0.58314526,0.59473324,0.598008,0.71657544,0.666079,0.75775206,0.55440784,0.5056341,0.5174171,0.56469095,0.4071366,0.4187088,0.64384854,0.5421305,0.47540277,0.619869,0.72029865,0.75594586,0.6151286,0.63916695,0.44861662,0.42701486,0.57003766,0.5507439,0.47119945,0.42031643,0.6226967,0.6696669,0.5482542,0.604032,0.48566243,0.3945449,0.584148,0.95262533,0.7126343,0.91025144,0.7430629,0.40542403,0.40852556,0.6188533,0.48237303,0.8179167,0.55032474,0.678543,0.6311531,0.43584213,0.6615219,0.5781817,0.5649844,0.386673,0.83147377,0.8936636,0.6316802,0.47014546,0.4126354,0.6026998,0.32930365,0.66597635
AC_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
AC_6,3,0.053190666666666664,0.023930043,0.02569054,0.023298567,0.026228193,0.024983855,0.024701545,0.02309974,0.025135454,0.023851058,0.024464358,0.025592603,0.025052559,0.024719818,0.02523164,0.026608314,0.02364244,0.02548722,0.023189316,0.023590349,0.024068108,0.023346357,0.024000036,0.024607386,0.023849748,0.024226604,0.026174584,0.02462839,0.024961885,0.023801891,0.023792652,0.026097132,0.02552108,0.024713164,0.02540848,0.021599425,0.024654735,0.027892785,0.0249592,0.022644008,0.023210274,0.027868759,0.026648296,0.024060404,0.024275575,0.023028009,0.025924403,0.027049245,0.025284262,0.023204032,0.025408199,0.024390459,0.025473937,0.022939038,0.023803024,0.024264619,0.025108425,0.025441812,0.023325527,0.024471184,0.024034668,0.022276048,0.021313153,0.023897162,0.024038032,0.022836385,0.024336528,0.024076408,0.024980718,0.024154773,0.025223065,0.025890086,0.023280002,0.024369176,0.024818692,0.024233818,0.026692418,0.020138329,0.023051918,0.02323585,0.024730727,0.024344832,0.021875294,0.024609491,0.024121543,0.025142848,0.02379336,0.025642015,0.023570271,0.023602907,0.023056883,0.023591338,0.025879318,0.023849797,0.024223166,0.022540716,0.024982238,0.024828563,0.024756547,0.023881586,0.025417676
AC_6,6,0.06734066666666667,0.056986168,0.06557051,0.054028135,0.06832814,0.06208389,0.060717825,0.053117797,0.0628275,0.056591265,0.059529703,0.06508706,0.062401075,0.060781315,0.06328759,0.070285976,0.05562005,0.0645742,0.05352839,0.055394135,0.057659946,0.05424408,0.057322484,0.060258687,0.056579534,0.058404144,0.06807987,0.060309704,0.061951995,0.05641562,0.05633852,0.06771493,0.064740956,0.06073778,0.064212546,0.04648739,0.060445823,0.077226415,0.06198964,0.051074233,0.053601474,0.07705108,0.07056789,0.05759784,0.05861636,0.052794084,0.0667809,0.07267727,0.06354518,0.05359969,0.06414625,0.059192926,0.06453808,0.0523932,0.056376237,0.05858622,0.06265853,0.06434791,0.054154508,0.059555013,0.05746917,0.04939783,0.045281045,0.056841742,0.057505943,0.051929332,0.058934342,0.057688545,0.062061016,0.05806678,0.063259244,0.06662152,0.053960618,0.059065897,0.061277375,0.058407012,0.070782945,0.0404496,0.05290229,0.05374239,0.060813256,0.05895175,0.04765696,0.06023586,0.057867184,0.062857896,0.056350656,0.06534645,0.05529953,0.055458702,0.052936923,0.055385686,0.06655455,0.056619916,0.05836343,0.05061509,0.06204541,0.06132814,0.060944542,0.056761358,0.06421985
AC_6,9,0.15255766666666667,0.13416189,0.16464595,0.1239525,0.17496096,0.15225795,0.14748338,0.12089241,0.15490164,0.13264969,0.14300533,0.16295142,0.15324585,0.14753008,0.15644382,0.18220113,0.1293561,0.16120079,0.12227919,0.12869237,0.1366337,0.12465642,0.13536292,0.1458405,0.13257253,0.13915953,0.17424624,0.14566833,0.15161651,0.1324076,0.13192196,0.17313933,0.16178584,0.14729758,0.1601215,0.0992965,0.14620793,0.20956947,0.15211314,0.11419671,0.122381255,0.20850691,0.18384221,0.13624722,0.1397542,0.119828425,0.16928308,0.19185513,0.15734695,0.12254355,0.159404,0.14194916,0.16129135,0.118508525,0.13197957,0.139799,0.15404034,0.16038294,0.12439426,0.14304116,0.13575636,0.1084625,0.09556205,0.13373299,0.13602282,0.11696811,0.14104341,0.13666104,0.15212375,0.13801664,0.1564448,0.16880855,0.12383699,0.14133428,0.14939336,0.13895573,0.18452965,0.08082567,0.12018581,0.12300262,0.14749661,0.14095238,0.10291347,0.14552955,0.1370417,0.1549685,0.13202149,0.16397901,0.12836243,0.1289525,0.12037698,0.12857948,0.16847065,0.13297598,0.13885346,0.112699,0.15190236,0.14959213,0.148002,0.1334096,0.15986472
AC_6,12,0.515524,0.30775395,0.39763063,0.27769747,0.4296404,0.3619976,0.34838024,0.26897138,0.3697241,0.3025192,0.3334992,0.39298382,0.36404097,0.34745216,0.37362725,0.4511001,0.29320464,0.38845786,0.27297282,0.29188737,0.31575724,0.27957252,0.31147355,0.3434194,0.30208817,0.3227737,0.4287964,0.34082887,0.3590729,0.30385956,0.30120102,0.42704365,0.39007452,0.34629866,0.38666818,0.20877118,0.342756,0.5402549,0.36273792,0.25052014,0.27249,0.53437567,0.4598902,0.313652,0.32367337,0.266049,0.41278884,0.48452756,0.3761521,0.27385855,0.38158384,0.33113092,0.3901013,0.2623964,0.30096978,0.3246715,0.36562037,0.3860296,0.27904132,0.33329114,0.31196448,0.23319718,0.19891378,0.306904,0.3135344,0.25804722,0.32847786,0.3154204,0.36128536,0.31962302,0.3742618,0.41207352,0.2779796,0.32833898,0.35357398,0.32094714,0.4611529,0.15986551,0.26704234,0.27505812,0.34648508,0.32732594,0.2181711,0.34113047,0.31516337,0.36966318,0.30181998,0.39656883,0.29089513,0.29285875,0.26798946,0.29109657,0.4104695,0.3047487,0.32093716,0.24637301,0.35962632,0.35427055,0.34820867,0.30570325,0.38415366
AC_6,24,3.9822286666666664,3.1536357,3.6003292,2.8602793,3.795387,3.5844266,3.583209,2.7885008,3.5943348,3.0132577,3.3053923,3.6191914,3.4937568,3.451771,3.5414083,3.8306437,2.9745092,3.6772587,2.8378186,3.0517244,3.326335,2.8525422,3.227604,3.55738,2.973367,3.3069363,3.8798351,3.288209,3.4599257,3.3028302,3.1030862,4.042229,3.6588187,3.3815522,3.7935517,2.2206173,3.325401,4.346499,3.724556,2.7175705,2.709537,4.217466,4.139916,3.1861706,3.2144837,2.7814183,3.754527,4.1687984,3.5125346,2.8586118,3.4855566,3.3757603,3.8026729,2.762186,3.0643673,3.3310196,3.4032805,3.6568592,2.8791418,3.254942,3.132768,2.330287,2.1616151,3.2095985,3.2530804,2.7423742,3.3738723,3.2587104,3.5523918,3.3337712,3.6215596,3.8283224,2.9596808,3.230642,3.5475826,3.1375039,4.038701,1.6570383,2.7873223,2.8531122,3.3432236,3.2465549,2.229133,3.3586667,3.0765462,3.5612876,3.1717033,3.6828015,3.036271,3.0899858,2.858722,2.979616,3.754107,3.2110958,3.1881392,2.6900923,3.4179363,3.570956,3.3699272,3.1703923,3.6364071
AC_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
AC_7,3,0.042061666666666664,0.059775945,0.06394176,0.059695713,0.060284164,0.062691286,0.060426615,0.062017296,0.06146612,0.061296903,0.0608098,0.060748946,0.057230618,0.062271483,0.061234962,0.05984764,0.063294336,0.06375183,0.062368065,0.06068799,0.0606481,0.062301684,0.06175406,0.061791964,0.06202501,0.06203739,0.060744774,0.059229586,0.06290148,0.059671167,0.060801413,0.06408318,0.06169779,0.06007911,0.061737213,0.059467934,0.061236646,0.059739824,0.060900483,0.060179498,0.05920615,0.063216545,0.058650848,0.0604107,0.05970436,0.060549524,0.06080814,0.060568314,0.06066348,0.062188905,0.061705716,0.05975163,0.060997922,0.060375486,0.059274398,0.060613073,0.059674133,0.061987948,0.06038068,0.060020715,0.061508432,0.06077431,0.06240096,0.061038677,0.06380071,0.06034731,0.06171538,0.06310953,0.05797124,0.060030174,0.061532885,0.062185768,0.06365375,0.05860891,0.06316815,0.06261994,0.060497623,0.06273076,0.060051296,0.061226547,0.061523154,0.060852543,0.05919121,0.060628567,0.06157819,0.059732717,0.06122783,0.06299265,0.060513895,0.059688546,0.06002761,0.060897432,0.06104641,0.061054785,0.06226593,0.060981262,0.06279207,0.061616212,0.06118215,0.06294006,0.06183378
