Treatments,Time,BT_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BT_5,12,0.01,0.0065578083,0.007483221,0.006603341,0.0063856896,0.0055870474,0.015173275,0.0065978477,0.0059173484,0.008827934,0.0076751234,0.00655534,0.0062396843,0.0064235264,0.010713702,0.004716177,0.007108789,0.0085817445,0.007213039,0.0060065193,0.005293435,0.0066764513,0.0075878873,0.0046281023,0.0091991965,0.008400834,0.0053159804,0.004810396,0.005695102,0.0057482873,0.006730798,0.0071934476,0.0076129995,0.0075922282,0.010255797,0.006478958,0.0059084212,0.0053281216,0.007267028,0.011308603,0.003647498,0.0048870146,0.009339524,0.006485624,0.0073318915,0.005453288,0.0075412854,0.0084208315,0.007241709,0.0068719136,0.008509653,0.012034113,0.0037601208,0.0067817774,0.010122469,0.0051038777,0.0049566776,0.011227323,0.005887427,0.0058415993,0.0042286855,0.0047054477,0.007462076,0.009591009,0.011064664,0.0048374706,0.010410507,0.0048441524,0.004133571,0.0063125445,0.0046435953,0.0082781175,0.0059754252,0.0067387857,0.011400292,0.009340267,0.0047630006,0.0063681626,0.0083993925,0.012354487,0.0059085935,0.00414377,0.0051524616,0.0041573523,0.0027626993,0.006862703,0.010844027,0.0077539976,0.0063446974,0.0068539437,0.007646319,0.0041168244,0.0064102,0.005080319,0.009329469,0.009112297,0.0075095235,0.0046879817,0.0070245885,0.007313164,0.0046144687
BT_5,24,0.021393333333333334,0.0042007435,0.005473586,0.004252472,0.003982597,0.003051071,0.021873206,0.0042545428,0.0034248978,0.0075777327,0.005726807,0.0042005326,0.0038158447,0.004036853,0.0110154925,0.002187941,0.004944512,0.007162717,0.0050557056,0.0035367934,0.0027523378,0.0043510646,0.005615749,0.0021072987,0.008221538,0.0068591707,0.0027687734,0.0022755556,0.0031759264,0.003237206,0.0044225724,0.005039599,0.0056469566,0.0055978866,0.010146948,0.004108581,0.0034216947,0.0027840473,0.0051532933,0.012316233,0.0013093222,0.0023430544,0.008461372,0.0041044606,0.0052502207,0.0029212688,0.0055434504,0.0068940283,0.0051183137,0.004619801,0.007023154,0.013821125,0.0013903759,0.004485637,0.009913621,0.0025553484,0.0024156477,0.012181947,0.0033868437,0.0033357446,0.0017605451,0.002175731,0.005440267,0.008908361,0.011794451,0.0022963851,0.010490949,0.0023068103,0.0016816899,0.0038951377,0.0021153458,0.0066533596,0.003494999,0.004431776,0.012518908,0.00841989,0.0022245408,0.003967593,0.006841486,0.014641621,0.0034179874,0.0016881038,0.0026008855,0.0016999587,0.00075445836,0.0046031047,0.011326437,0.0058531426,0.003936829,0.004579804,0.00570137,0.0016702993,0.00401381,0.0025309422,0.008422519,0.008059066,0.0054874453,0.0021573806,0.004820434,0.005223095,0.002094922
BT_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BT_6,3,0.07751566666666666,0.012028938,0.0102293175,0.01254958,0.0124520715,0.009259339,0.009562389,0.009570665,0.011534243,0.00992129,0.012617567,0.009996842,0.012454982,0.010187025,0.009717612,0.010783439,0.011256685,0.011244826,0.009343071,0.010481521,0.009960113,0.010341917,0.010306006,0.011626647,0.009201844,0.009605511,0.012389897,0.011792166,0.011624895,0.0087985825,0.012270768,0.010929007,0.010955544,0.008261704,0.010680164,0.011357506,0.011183077,0.008481249,0.009623749,0.01344538,0.0092805475,0.01102603,0.012121647,0.012102861,0.00997053,0.011961981,0.011066682,0.010505799,0.009959105,0.0107806185,0.011398245,0.010950923,0.009909038,0.009302938,0.011464945,0.010503305,0.008976677,0.010988438,0.013097877,0.012405827,0.0098718675,0.010843418,0.010995431,0.010183589,0.010519559,0.009961262,0.01042126,0.01004022,0.010521864,0.011354049,0.011010076,0.011570428,0.011915414,0.009397335,0.014002509,0.011263561,0.008884766,0.009373186,0.0102811195,0.009764601,0.010158693,0.0121101765,0.010893917,0.011229129,0.009042619,0.009382949,0.010927965,0.011433951,0.012237851,0.01040026,0.010124836,0.009636888,0.01032586,0.008864575,0.009939681,0.009381901,0.011185924,0.009217168,0.008811782,0.010544434,0.009184061
BT_6,6,0.17672333333333334,0.014434031,0.010440599,0.015706345,0.015467944,0.008558297,0.009124534,0.009140907,0.013270821,0.0098224245,0.015879594,0.009973462,0.015468714,0.010359729,0.009423719,0.011602733,0.012642735,0.012615082,0.008713216,0.010964316,0.009901169,0.010670636,0.010599845,0.013486119,0.00845496,0.009208039,0.015316031,0.013868661,0.0134808775,0.0077274106,0.015020037,0.011915313,0.011976623,0.006812368,0.011385153,0.012862151,0.012474522,0.0071812416,0.009243388,0.018023876,0.008596292,0.012131213,0.014657741,0.014611648,0.009920632,0.014271458,0.012215727,0.0110138925,0.0098977275,0.011593139,0.012961557,0.011965982,0.009802196,0.008634534,0.013113768,0.011007637,0.00804286,0.012047435,0.017106494,0.015347678,0.009725738,0.011732949,0.012062597,0.0103512015,0.011048291,0.009905413,0.010839603,0.010062191,0.01104809,0.012863047,0.012094658,0.013359965,0.014160414,0.008813749,0.019534988,0.012659158,0.007881965,0.008770676,0.010547412,0.009515003,0.010299087,0.014624672,0.011839847,0.01258271,0.008161956,0.008788398,0.011914295,0.013040507,0.014933793,0.010792084,0.01022915,0.0092663895,0.010642827,0.007844524,0.009860777,0.008783924,0.012480866,0.008479474,0.007750366,0.011095758,0.008419115
BT_6,9,0.316632,0.017269094,0.01063203,0.01959043,0.019156724,0.007897342,0.008689108,0.00871326,0.015225306,0.009704252,0.019920789,0.009930065,0.019144323,0.0105169555,0.009120414,0.012454835,0.014163508,0.014115321,0.008111846,0.01144544,0.009823628,0.010983374,0.010879339,0.0156004,0.0077581783,0.0088099865,0.018880095,0.016259985,0.015589033,0.006775788,0.018329876,0.012956281,0.013062151,0.0056083365,0.012112406,0.01451862,0.013875944,0.006071957,0.0088612605,0.024065072,0.007948294,0.013315685,0.01767249,0.017587792,0.0098506855,0.016973807,0.013445906,0.01152107,0.009816402,0.012433465,0.014700074,0.013043838,0.009680195,0.00799702,0.014959645,0.011509576,0.0071939896,0.013175977,0.022258935,0.018922064,0.009562743,0.012666266,0.01320059,0.010501561,0.01158396,0.009832844,0.011252439,0.010065759,0.011575469,0.014536324,0.013252963,0.015389745,0.016775982,0.008251275,0.027114252,0.014192872,0.006982957,0.008193797,0.010796758,0.009253074,0.010420077,0.01760181,0.012835063,0.014066151,0.0073549077,0.008217867,0.012956776,0.014830006,0.018160399,0.0111724,0.010312045,0.008891159,0.010948863,0.006931249,0.009763876,0.008208231,0.0138864815,0.007787156,0.006805672,0.0116507765,0.0077048563
BT_6,12,0.4280813333333333,0.020588553,0.010801952,0.02433178,0.02363748,0.0072763707,0.008258509,0.008290048,0.017410534,0.00956772,0.024890067,0.009866996,0.023590697,0.01065764,0.008809774,0.013335632,0.015822403,0.015747834,0.007539891,0.011921674,0.009728077,0.011277358,0.011142318,0.017989423,0.0071099987,0.008413587,0.023193223,0.018994216,0.017968131,0.0059330203,0.022287086,0.0140477205,0.014209658,0.004611036,0.012858669,0.016328307,0.015386559,0.0051279357,0.008479489,0.031960804,0.007337027,0.0145779485,0.021232197,0.021094263,0.009761271,0.02011322,0.01475394,0.012023753,0.009715759,0.013296343,0.016621577,0.014181686,0.009543819,0.0073918924,0.017013475,0.012005389,0.006424951,0.014371478,0.028823806,0.023230523,0.009384129,0.013639926,0.014406799,0.01063361,0.0121240895,0.009744037,0.011657017,0.010050884,0.01210048,0.016381081,0.01448257,0.017679598,0.01980145,0.0077114445,0.0373692,0.01586893,0.006179118,0.0076434263,0.011027056,0.00898069,0.0105206715,0.02109939,0.013875471,0.015682956,0.006617801,0.0076724687,0.014051718,0.016809994,0.021991229,0.011538061,0.010372809,0.008513691,0.011241864,0.006116035,0.009649703,0.0076564625,0.015402032,0.0071398667,0.0059675663,0.012205948,0.0070402413
BT_6,24,1.5851863333333334,0.039565787,0.011238517,0.054225154,0.051772226,0.005176551,0.006622831,0.006678638,0.028525485,0.008861401,0.056944992,0.009430142,0.05091256,0.0110370405,0.007532238,0.01702732,0.023787523,0.023526713,0.005550468,0.013706718,0.009181673,0.012213102,0.011988196,0.03050481,0.0049632816,0.0068817562,0.0501206,0.03365169,0.030367218,0.0034500533,0.046126742,0.018770471,0.01930832,0.0020879745,0.015946455,0.024938159,0.022386929,0.002586218,0.0069927755,0.09044685,0.005252777,0.020303817,0.042033322,0.041450165,0.009225389,0.037644852,0.020604268,0.0139100095,0.00913829,0.016828857,0.026143461,0.019216046,0.008873004,0.005305215,0.02736448,0.013844956,0.0040382254,0.01970162,0.07468701,0.049507845,0.008540698,0.01782403,0.019791586,0.010960605,0.014269418,0.009239993,0.013134559,0.009811223,0.014096406,0.025491538,0.019992003,0.02970308,0.03650872,0.005795354,0.11775591,0.023966737,0.0037531788,0.005712832,0.011720143,0.007823261,0.010705367,0.041098032,0.018350616,0.023452874,0.0042855595,0.0057510966,0.018820783,0.026610801,0.044447873,0.012789961,0.010386999,0.0070245955,0.012242407,0.0036686119,0.009038697,0.005706075,0.02242974,0.004977899,0.0034888047,0.014345181,0.004844408
BT_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BT_7,3,0.095481,0.05867712,0.06316832,0.05704281,0.059499875,0.058081217,0.052041806,0.05611922,0.06300251,0.05954907,0.057748973,0.05596828,0.05126052,0.058113664,0.054559246,0.056173246,0.062256467,0.06348653,0.05549598,0.053903874,0.055837322,0.05969679,0.057570092,0.06450593,0.05486602,0.0580093,0.055637635,0.057925772,0.059177563,0.06174875,0.056352053,0.056467425,0.05683789,0.061134666,0.057989027,0.067222424,0.05849635,0.059271183,0.052632052,0.06278273,0.059074007,0.057522204,0.05934605,0.054316103,0.058562495,0.05758017,0.058880985,0.056305252,0.058494315,0.05858934,0.066057704,0.056144714,0.055567082,0.054777343,0.058259327,0.06313407,0.059551645,0.059287276,0.0607831,0.059915535,0.058027644,0.061904486,0.060258746,0.056461263,0.067521155,0.06422454,0.053635485,0.058652822,0.05471889,0.0610271,0.056411438,0.057334,0.05867828,0.06224152,0.055199727,0.06875963,0.056930512,0.060855005,0.06135735,0.05826228,0.056239396,0.05711674,0.05491059,0.053545423,0.05787069,0.062452387,0.064398006,0.056224633,0.056503013,0.06508789,0.060405035,0.056516763,0.060627095,0.056875683,0.058134425,0.056632716,0.05188221,0.056241147,0.055577572,0.055138547,0.051671695
