Experiments,parc-_OD<--AC_OD,parc-_OD<--BA_OD,parc-_OD<--BC_OD,parc-_OD<--BL_OD,parc-_OD<--BT_OD,parc-_OD<--BV_OD,parc-_OD<--CC_OD,parc-_OD<--DF_OD,parc-_OD<--parc-_OD,parc-_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc-_pH5_1,-0.002686680306720987,-0.04935712732293684,-0.00336663407476052,0.0062592017512930484,-0.0020165711527933257,-0.026193352159436623,0.010181511221048628,-0.004414672093546908,0.2674020949783533,-0.18030459617790967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11230826956373989
parc-_pH5_2,-0.001213138995125239,-0.05009102393670573,-0.003784103364400242,0.006279064136678764,-0.005111125216859835,-0.021210232671836148,0.010951969600889993,-0.0017325404618421334,0.25850730782455733,-0.19059811090726567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09911694942295314
parc-_pH6_0,0.002563040581248384,-0.05274560023666074,-0.010229272039850128,0.0017468729599014559,-0.006225727334132662,-0.02035332172218224,0.007299630380357093,0.0021568391123867616,0.4128486067534466,0.011669964155425186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2884225051673924
parc-_pH6_1,0.0012908887409645567,-0.059171512717300125,-0.008088866747591806,0.0034686041817716903,-0.004164712109967414,-0.02327767943882423,0.012020062750772298,0.01096032863239879,0.4108350761923128,0.010538837946951393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29127362738877827
parc-_pH6_2,0.006565760281746797,-0.05480138653646344,-0.013610381948073267,0.004548145571480625,-0.007218257026018008,-0.022218982863199458,0.01450595729619912,0.008378272454213841,0.4132687234765161,0.013864731172342661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2957269459022493
parc-_pH7_0,0.014646448946517447,-0.05953989077197469,0.0026166676349290026,0.004729792117748576,-0.006789184164903734,0.007322379566891039,0.0197713188899924,0.015762046510758604,0.5516713878050772,0.21343467671829072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5922068579302491
parc-_pH7_1,0.022389947163022093,-0.06374041832983493,0.0025072824671540576,0.003338687926854779,-0.005264245051404709,0.007169370666632186,0.01990849884307903,0.014525611878413227,0.5422908261159193,0.20254829420019752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5480973412378645
parc-_pH7_2,0.02009039013120143,-0.0615917291799965,7.895828103241689e-05,0.006487974547983522,-0.0045162322688038,0.005275221290471763,0.025231131859447645,0.015019714543190985,0.5424475697136445,0.1963662809967671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5469120935714209
parc-_pH8_0,0.012951452485083238,-0.07201163620404574,0.006673637324053304,-0.01733927086967489,-0.005799560398673237,0.015090489406948503,0.025238958282153258,0.015879618692333283,0.5751124600920341,0.25305195566671707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8455353071301549
parc-_pH8_1,0.009485045557274774,-0.06808849175906052,0.004646403043652352,-0.01730527093634008,-0.008069897206581156,0.019829445888652753,0.028328069030590698,0.020254238894938114,0.5765687690165056,0.24209746464682008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8378107178569503
parc-_pH8_2,0.01431463281502542,-0.06795758487170808,0.008360935683645637,-0.016480897402633803,-0.006030529440259162,0.009496048443505298,0.02724639868444723,0.01695122240273202,0.5729766077977484,0.24978595952381905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8442380625189879
parc-_pH9_0,0.01852404460310935,-0.07323080828575336,0.005904394269151536,-0.021643364387361908,-0.005309413279528212,0.013965002618244158,0.030625340444562235,0.016323064864491647,0.5828026428527159,0.2610579490110925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003926186226973
parc-_pH9_1,0.011518136765807874,-0.07266622664892801,0.005021932276532702,-0.017534798476035177,-0.00485596581645633,0.019829380203686336,0.029182049812668028,0.018646518653663593,0.5818969534961104,0.2574593914065348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9964236708955914
parc-_pH9_2,0.003959526292493805,-0.07619925484952067,0.008049474976470948,-0.01709652264885929,-0.008075547773067066,0.020341980941593642,0.03681373899397643,0.017049892354432657,0.5765690384181622,0.26730939604746906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9996501428774356
AC_pH4_0,1.1678355867448566e-05,-0.01732493945518913,0.004187999388769916,-0.0037783991456355743,-0.0005397343935201989,0.001411708114749712,0.009792923982376637,0.005160349555637525,-0.06437962805123434,-0.04103982106661019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.00019468712741914067,-0.01593361140917177,0.004842684659297053,0.0002021834804959926,-0.0008325213655505494,0.001285191557329633,0.006124348322982376,0.004121929478386177,-0.0648423833310928,-0.041660371014605395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.0005408932187634972,-0.01642734244627797,0.0020041407207432,-0.0015387460654196516,-4.809327099634161e-05,-0.0003141118294518932,0.006039836362976095,0.008295012919799144,-0.06076965108999739,-0.0442798009628187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.0007165277781693838,-0.01975200034839952,0.0040855144336819655,-0.002804640410063059,-0.000509961049031951,0.00020298806788480748,0.007483360522791097,0.012130577976450974,-0.07114537502517519,-0.03690485438898854,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.0011641279300269882,-0.020915630884954458,0.004899574814607269,-0.0025157400504078544,-0.0003891566071821295,0.00346093024086693,0.008871734947290114,0.0039241345097189365,-0.0640660264213448,-0.040931811141579046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,-1.5922569386336878e-05,-0.01975812254392582,0.005627002931483414,-0.0030089801477025378,-0.0009521075046580779,0.004083043059901052,0.007876112519398982,0.0050241666376266815,-0.06679319372805564,-0.03857986130468223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.0013151285619191506,-0.019118900329846405,0.006911346029652203,-0.001543021399689756,-0.0010650970365690155,0.00031837514075247876,0.008028661294475846,0.005916371358477554,-0.08431715751957636,-0.02294356847748808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.00389039941456007,-0.01955959678344105,0.0032194382632556168,-0.0013981456503919935,-0.0014019974110567061,7.258571684360479e-05,0.007996873862069587,0.010634017371289111,-0.09349333519520962,-0.016458102963540867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.002477759581221188,-0.020951939936241382,0.0057899374061304585,-0.005500327266914687,-0.001177333778013354,0.003470158792384292,0.005706060308477154,0.008438649797083248,-0.08972079111182174,-0.01503003677596217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,-0.003971252642247988,-0.022818517131002053,0.004617815816208074,-0.004569017929227455,-0.0010731901487578516,0.006156301478976787,0.00881381340324879,0.007264058722750002,-0.11395528562043024,0.013037411659632044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,-0.002672958495500295,-0.023917788035519746,0.005302275344729426,-0.0041480693010532334,-0.001266158971449604,0.006534452253709667,0.010936658542765227,0.00839274656351494,-0.11822206754885287,0.012563047153146371,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,-0.003798519915536694,-0.02013286323974962,0.0026251657193769587,-0.0035541497268106615,-0.0016706232710377036,0.00312929625744405,0.009310845259739006,0.007239953036541528,-0.11164997431895006,0.01200300761377034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,-0.003714632079329178,-0.02188876047244538,0.005712760160474675,-0.005059897050909375,-0.0005516389125715136,0.0052437250672475125,0.007859655301208081,0.007781691300156325,-0.12126199209171794,0.019381225912467295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,-0.001466805324282334,-0.02106513936396526,0.007333126427686731,-0.00569527713338966,-0.00044657257021121294,0.007146326915725414,0.007061069458723071,0.005801068208301847,-0.12506747394638218,0.019901814381389514,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,-0.0032664342710505352,-0.022636005617678166,0.00830696670257527,-0.005195507957883502,-0.0010325535305816206,0.003994489121048345,0.00775732561460008,0.009688370532315712,-0.12278989241013058,0.018675379017772876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,-0.003156388581770916,-0.020327343177860197,0.005561894396239,-0.005661788692940836,-0.00031205965125042566,0.005072922254710093,0.008319195972998506,0.008114253982253699,-0.12550342350712287,0.02139487392066614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,-0.0020263092900099948,-0.021800106658559776,0.004352864701624798,-0.0034699886105954638,0.0002457434829810389,0.0015306454832139222,0.00930325289297363,0.011304232972147676,-0.1276793704732605,0.021741173121592267,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,-0.002651026619841223,-0.022934867953476695,0.004303924162750659,-0.003954184286944244,-0.0008622682742450563,0.0009008975586165523,0.009949996165283349,0.011219973839495497,-0.12572084367275238,0.02325053570549126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.002763191231566926,0.0042630610550227375,0.00277229465544224,-0.0024274170236743015,-6.364760353513412e-05,0.002280009771170823,0.006341573136008305,0.010091544864294325,-0.07342360170153173,-0.05356848826065012,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.004010128314080444,0.0034981163461571155,0.0048053720237120345,0.0013451580055381942,-0.0001250805932542548,0.0023198457920680852,0.005374415523332099,0.0065653701385726135,-0.07194810375085345,-0.054322827665702136,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,0.0003472524816575272,0.0024780879688003784,0.0017574923777061954,0.0005411590992108645,-0.0010487197728260692,0.0009114304508851905,0.006565248687630116,0.0034948629804927404,-0.07067959303117315,-0.05086508363323368,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.0008108053907104147,0.0024857454293448016,0.0050067511945962925,-0.0034905476511820498,-0.00020030070258223533,0.0021911562428526244,0.005121819247370184,0.0013681555895701696,-0.07028016913682222,-0.047889667862783314,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.0020091035573378837,0.004478829078700233,0.0033477841058503046,-0.0036936037501563205,-0.0006062872157148705,0.006536747192882972,0.006212160326540471,0.004608334932962192,-0.07656433039061401,-0.04880839306213285,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.0035290616167628257,0.0025943778098925304,0.004770349069781925,-0.0008628018038428339,-0.00031996403213428303,0.006402023324499958,0.004681791028250819,0.006389220956227058,-0.07998701593960107,-0.04663678113533103,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-3.418241506037501e-05,0.005797822543460389,0.00623387792836065,-0.0035208695673424255,-0.001514019013746925,-0.002389196617447812,0.005708711063084397,0.0018411303943266046,-0.09602665382558885,-0.022594482829065423,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,0.005345824613519337,0.006167363760911899,0.004414053274237594,-0.005826448461283808,-0.0009593219941724901,0.0033471536506777195,0.006529160737991334,0.0015594694407089907,-0.10890162103040062,-0.018173496331209717,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-4.537305430225741e-05,0.006188089073352192,0.003444679703401485,-0.0027403895913258843,-0.0013224869577780993,0.0011996512811468974,0.006931757761732392,0.0021746715806100687,-0.10348054181946365,-0.018847920316392958,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,0.0005221117935750806,0.005311147460471028,-0.0007021834717496562,-0.005504861082071843,-0.0010343507887876557,0.005367519525082212,0.010060576015840409,0.006470877763045874,-0.1416596130524641,0.014670913446208703,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,0.001984185785379099,0.005363499188552735,0.0024948824780142813,-0.0038013269914233157,-0.00019709648159535164,0.0014894772644924077,0.007837773807670761,0.0053055030496224126,-0.14217254843076932,0.015197787783716036,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,0.0015187351956315682,0.0053812119364738484,0.005024646151324977,-0.005811981056695398,-0.00085167523311532,0.0031018385485462505,0.008419616609487845,0.00658480310569639,-0.14517245551004357,0.015307397913673651,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,0.003596070340794065,0.006190924190956614,-0.00022798412357983468,-0.006202836512871408,-0.0008571309758269247,0.0025438196795142197,0.006877507360085198,0.006959585838991663,-0.14735811604753782,0.02198029791045448,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,0.006165392091092859,0.006289061903953552,0.0005199564831412365,-0.006531811999561992,-0.0004877957183381771,0.004547746602607809,0.0033829203571962285,0.008142952789431035,-0.1521596127845671,0.02363332793602477,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,0.0039851532746916244,0.006404083400316863,0.003935527827428735,-0.005533050444463025,-0.0005694770699609853,0.0019353750186121967,0.008495990993536037,0.0042771833713935795,-0.1518325141104667,0.02240386539989191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,0.0027543548316411345,0.0070075807558453605,0.00398610164937766,-0.007768130354259326,-0.0007257761514705148,0.003095443164524824,0.007773115367669127,0.005518770042968835,-0.154666547825479,0.02652722607650187,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,0.0029114080414823864,0.006738296695377514,0.004279358863182691,-0.007137412700964053,-0.0011992239887299754,0.004888598624130954,0.008022674568321392,0.006205960269207541,-0.1561024843480276,0.024894961636999374,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,0.004394651301529098,0.007648093250134717,0.0022523560796094996,-0.005994375335133593,-0.0015673105823604955,0.0029189852754706903,0.005690362860003242,0.006098774172689604,-0.15420755450168383,0.026268155140721276,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,0.0007433674387309884,-0.014852720648860155,0.002125330363278804,-0.0027892768868933546,0.000552223013794941,0.0008345995082155498,0.007301320598015319,0.01038698066997787,-0.061505025785578336,-0.0492946608558945,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,0.00014814682547812895,-0.011537984437916593,0.0016336188222403117,-0.0038746021947135083,0.0004766034399685648,0.0026340365377457244,0.006665087413528691,0.008294566377349523,-0.06020500330659358,-0.05073233197159742,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,0.0013954520193131083,-0.014592526927590369,0.0017302416653736778,-0.0014576088442750585,0.0013492673732664283,0.002814940813442934,0.006135890572939229,0.007102540243902932,-0.06272050177921418,-0.04825555747617845,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,0.0013296909557412504,-0.021095829137965393,0.0021252108737826354,-0.0008845972447939526,-0.00026327070820590616,0.004126611755270023,0.007865548222123278,0.008401379287242893,-0.06456896754548602,-0.04353363884855871,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,0.0038633267921598076,-0.015979905933465644,0.0021287107119417727,-0.0016764323526750429,-0.0004275985353666803,0.002463580232275568,0.005291744413907113,0.007541182718199236,-0.059706934733397284,-0.04999553580808898,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,0.0014484076120931182,-0.016617751528063544,0.002177536932994492,-0.0021364731333501944,-0.0007635009782793724,0.0034863460841386205,0.007117229189885699,0.006290222212024355,-0.0645735167760564,-0.04292636216172705,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,0.007567282131184701,-0.021931806823805616,0.003857325731736163,-0.00428946428000927,-0.00025496702560264017,0.00280508752912283,0.009329003387981136,0.008257132255188798,-0.09369001496907162,-0.018147440664470195,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,0.004672108008323803,-0.021973620165625343,0.00809160440998233,0.0008643258265827006,-7.16872318931233e-05,0.0018236142234957732,0.008256133175252575,0.009223385318789799,-0.10224278092060399,-0.015140945613384247,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,0.0028238738773633605,-0.016578729617530884,0.010156327641528587,-0.0038662819450964087,-0.00040534808745850613,0.002631270436813001,0.007264540809328141,0.008344488850106366,-0.10159406836994962,-0.015273936394116155,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,0.005798407391361568,-0.023145138855375676,0.002710385882984037,-0.004966010956660559,-0.001388523884765478,0.00661593705739664,0.008422111817028214,0.008648679991779118,-0.12429458174611561,0.015100870911517867,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,0.008993971317034699,-0.021941311118071502,0.0025752141132302916,-0.0032246671179714417,-0.0023603318566861355,0.0035438615213269765,0.009755621074658376,0.010495416194848393,-0.12905686264452726,0.014721226125307704,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
