Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--parc-_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BC_pH7_0,-0.026094596837748486,0.003582180479703388,-0.0028346560530000094,-0.016613255688596677,0.019198060007360965,-0.0005951036450088672,-0.11763349027544988,0.023756753230852114,0.009608671371217655,0.042454521161828025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,-0.03539020305114759,0.014166492569746206,-0.0022058518459696515,-0.019333649138191144,0.020370657111811658,-0.0030785642636676686,-0.11864802348027614,0.03328818342218216,0.005211618241206134,0.04044842439278475,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BC_pH7_2,-0.028407895184709157,0.004290338964252126,-0.0024164890733790463,-0.01717979287688175,0.021101432907111622,-0.0004400232421112759,-0.12705349788909942,0.027113777279610864,0.014167184493929636,0.043654051206894626,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BC_pH8_0,-0.03420077515538256,0.022944028395552034,-0.003909345389566507,-0.01575936339213513,0.01590238821571288,-0.002653722917944517,-0.08848685992476735,0.01857342276793054,0.007530277865716133,0.014889035935857862,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BC_pH8_1,-0.03234447164886185,-0.0037710996182716405,-0.003751436680170667,-0.012832620421060079,0.022004778725449408,-0.0054539766792288955,-0.10035094554040011,0.04102712584289966,0.0044500865655667755,0.025851646055892595,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BC_pH8_2,-0.04036874589500139,0.007581997062889454,-0.003894793514121811,-0.01808093089903907,0.021976046450233655,-0.004889371658513402,-0.0772584142851765,0.03360082916530741,0.009041482757615005,0.007120987352834122,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BC_pH9_0,-0.02962926803318703,0.009857393433441122,-0.0038429875526091325,-0.005949793785365056,0.011477927475378076,-0.005760112130083144,-0.06468412705919825,0.020055917304353382,0.0034180189307738574,-0.00011388225055745131,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BC_pH9_1,-0.03319082504026996,0.008514014632522087,-0.0038074223004767437,-0.01975558838098431,0.02192627436400432,-0.006106715356505921,-0.06827768815144815,0.025818240099039894,0.004616394106642869,0.0050924025612640285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BC_pH9_2,-0.032459330309445596,0.012660687236601242,-0.0040256290297712325,-0.012691204764313348,0.01558158972735881,-0.0035085450699957814,-0.07505732373516683,0.03120498669566587,0.006428913740319727,-0.003305058206897229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BL_pH4_0,-0.011213918042004759,-0.003296509166045682,0.012080812996111651,0.010433642687680931,0.007731392879808402,-0.0010401192496773666,-0.05141496550747313,0.014383139080347737,0.004966278039931278,-0.04780067049877962,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BL_pH4_1,-0.01106942552951691,-0.0017018366179368262,0.010620257412285906,0.008183501011934942,0.008768151773281559,0.001758915221713403,-0.059265071493371006,0.013224598795742443,0.004241202346697124,-0.039931209584313405,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BL_pH4_2,-0.016913260605398807,-0.004436037103625258,0.015568354834964415,0.009883046235241322,0.014453228056410573,-0.001701779189094415,-0.06569192992710589,0.021528454593524496,0.006547039980473725,-0.04440803353887296,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BL_pH5_0,-0.010615653813988699,-0.0024060205541267675,0.012302940475055946,0.009699982072672121,0.010767646839477767,0.0024483421878666494,-0.05677896737910646,0.01331069904592131,0.00306398368597476,-0.046963869223229426,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BL_pH5_1,-0.010369767318732796,-0.010415944563397006,0.013906632914137011,0.00979965807789046,0.00954550469289129,0.0008344920507490468,-0.0645295400927653,0.020919560976680775,0.006459949263169066,-0.041321462596078294,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BL_pH5_2,-0.00659252153557685,-0.008931512950777846,0.012993004626250302,0.008891756532956725,0.014685183881437813,-0.0009346176646447383,-0.0659437011444496,0.01458750765365751,0.0023474755778949215,-0.03627349174713069,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BL_pH6_0,-0.008773501310295062,-0.009554162024034432,0.017800978825012546,0.012047249880497874,0.019209607943143376,0.00594023364712484,-0.13960631807962362,0.014780301924329246,0.009049238014115913,0.013935454419064939,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BL_pH6_1,-0.026626683959899387,-0.0013981513371286182,0.019965014853312268,0.013234940389900099,0.016210985808916712,0.01279664863265403,-0.16424634331634835,0.029277077342747995,0.0074773506046799205,0.028138244803589965,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BL_pH6_2,-0.015674724146045503,-0.021994779763095405,0.01593208679671237,0.013195146166759986,0.019150492411471255,-0.0005666662469182336,-0.14108944823499772,0.031373663879526045,0.0030081226597742524,0.031495190227971134,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BL_pH7_0,-0.02895850001631872,-0.0015140871379686444,0.013412024632460719,0.01676032304277886,0.018130188645673513,0.0014458085974151996,-0.1631821828014622,0.03601923516657933,0.004348633014698227,0.03836764019266095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BL_pH7_1,-0.030651008000182316,0.009542702476332042,0.02012327922584043,0.018039690209147717,0.02214808592213439,-0.001722088720720342,-0.1909920413885266,0.03538877768118096,0.004928245857843887,0.048023440073466976,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BL_pH7_2,-0.026650870544734695,0.0023511069333282016,0.01695711065731619,0.019206491671502582,0.023485639515059557,-0.003487359314559675,-0.18211682306476057,0.032100894014077744,0.003533671919924572,0.0494492216076722,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BL_pH8_0,-0.02947509954516452,0.014719988821712124,0.013179672958592521,0.016826383332195487,0.016443591531285127,1.5124273638280327e-05,-0.1601145335952448,0.03456319562574524,0.008973726437467595,0.01969703405994274,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BL_pH8_1,-0.032085295174594804,0.009211534883007,0.011356912763313513,0.018347099229045528,0.022689504925941077,0.0036887307620465585,-0.1559101764307074,0.03406118410032081,0.0057527556065874895,0.017716833280561412,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BL_pH8_2,-0.04630767047486227,0.014835348483225652,0.014068719702165413,0.019077186796652233,0.02646900060207016,-0.00045646076647402797,-0.16891174024487235,0.043311332335958824,0.007002824304179975,0.025740543116774896,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BL_pH9_0,-0.041799430572275954,0.02218864762345734,0.01404811106601973,0.019986052535798236,0.027198582105136114,-0.005453383699565637,-0.16332920782126328,0.04830215158563552,0.004053236064602338,0.009634327902154915,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BL_pH9_1,-0.02730288434966022,0.009157957753530987,0.015612834697872724,0.01990452620970165,0.016678774081342652,-0.0036999765613480754,-0.15018376611370554,0.03376527793715587,0.004239360333379844,0.01665697949401953,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BL_pH9_2,-0.025793699329192548,0.0195383191455925,0.010797634020690684,0.016918801791642017,0.02502365593575751,-0.0066816415203451805,-0.1392605857527815,0.029497271691772926,0.007095636330423474,-0.0023063082125483344,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BT_pH4_0,-0.007983940519625322,-0.00041204759790359645,0.006811898367773011,-0.010136259588635649,-0.005644857122805781,0.0010722436559508029,-0.038751821902216134,0.010434801087198454,0.002486186433057097,-0.023047117163356313,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BT_pH4_1,-0.01430706946260255,0.0024748030125730388,0.012181158974645253,-0.009032188488534933,-0.006513296680160518,-0.0004892452848751251,-0.032696446066155384,0.011554725368902008,0.0023875356188205916,-0.030730890815156394,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BT_pH4_2,-0.010077103170232202,-0.00255290611444608,0.007212046013294678,-0.006967798142552212,-0.005644857122805782,-0.001155563150583158,-0.03092308816419024,0.008866097578657386,0.003795559126883744,-0.02772330082882115,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BT_pH5_0,-0.013757070396854741,-0.0053113259717255164,0.01110096084632222,-0.012333378326603332,-0.007177883153173913,0.0017706302859132068,-0.032737466068938376,0.013594315245231286,0.006491264922989776,-0.026810960800781762,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BT_pH5_1,-0.010769047865077208,-0.0005297399017170237,0.008619716235780683,-0.008423629363684956,-0.005687867911815969,0.0010447618350103178,-0.03469628783712244,0.011287209984097307,0.004114236793905981,-0.03013026611909837,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BT_pH5_2,-0.008623627165494408,-0.012767315785623278,0.01149180714648379,-0.009625778325742273,-0.007476261330606499,0.000587564989387908,-0.029470286983996636,0.005845230039836759,0.003649350561849449,-0.018781597554967132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BT_pH6_0,-0.011428599587297474,-0.009868985177017746,0.014491332297152637,-0.015715813439278657,-0.014340722253748581,0.0032949981532747973,-0.06436457930866671,0.019523585461049705,0.004535476496422906,0.008702392690086169,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BT_pH6_1,-0.020293655496637298,0.0018720978408363533,0.017289705552545415,-0.018661711889460843,-0.0116555453936124,0.0023099191251980226,-0.09180606442432766,0.022453050276001345,0.0038902707974952837,0.029431016977633468,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BT_pH6_2,-0.019912411150239083,0.0019534196447500074,0.014545371861743699,-0.01753399721974426,-0.01276963970947849,0.0021790341338466693,-0.08802289400178856,0.01975923777891971,0.0052919019516759905,0.02933906000795895,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BT_pH7_0,-0.03012984954043413,0.010863651932703087,0.015260870133567113,-0.021110070597522127,-0.015146771666958284,0.0028437649177225385,-0.0918621199228801,0.026816042025735523,0.0066540553329674425,0.030639513779593546,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BT_pH7_1,-0.0241051677850318,0.0024579020038894973,0.015061268892908547,-0.01732219514598989,-0.013235115425094318,0.00031495052374615873,-0.08875910302092645,0.024909798087774902,0.00524130539158764,0.03026544250558009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BT_pH7_2,-0.027778993023397484,0.00663019392963337,0.016700291360485488,-0.016308170199070295,-0.012776883830640306,0.003967345763787466,-0.09146135841718994,0.022849543564649216,0.005133447178194056,0.02787366981213183,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BT_pH8_0,-0.0220262383551681,0.010834446349788618,0.00837726725498214,-0.0163610730708435,-0.014961465873512561,0.0019828041865611857,-0.0655905465904684,0.01747615846385167,0.005681012947233798,0.009416717742266052,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BT_pH8_1,-0.03195513612357899,0.010952284779986771,0.015058224144108266,-0.021348459374706225,-0.012296805929028149,-0.0010690860916941385,-0.06161761751762875,0.024861864507117346,0.008991490160317524,0.003252324762187248,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BT_pH8_2,-0.031104728806480443,0.009944164088380563,0.013769073438041074,-0.019568384789112638,-0.01266312933162503,0.0010585352748065536,-0.06404972519340886,0.02585257916326594,0.007191909251471414,0.004398790280051205,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BT_pH9_0,-0.027550834850408136,0.012871276725326545,0.011776216377342196,-0.018114343686940395,-0.01000425028736177,-0.0014395641783535808,-0.061687232878707025,0.020906514052159916,0.00508324891834965,0.002988053145109796,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BT_pH9_1,-0.023322133624359323,0.011612564806988383,0.01332679598050637,-0.01791056691289312,-0.009656408445950114,-0.0008837582316735521,-0.04989583832566099,0.021478702838168193,0.0030282059266312934,-0.012948477908806957,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BT_pH9_2,-0.021384853706188988,0.011338747136355576,0.008911373387090861,-0.012221421662859779,-0.009590761975952142,6.219754936983444e-05,-0.05452923767349641,0.016886066627263534,0.0018813915876671672,-0.006524417923014288,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BV_pH4_0,-0.013019233777835646,-0.0021898163004737837,0.008065389099014598,-0.003644292642787586,0.011917986076871827,0.00012843942958051577,-0.03960877562690851,0.012798681322120777,0.003501098037889713,-0.0431203919602558,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BV_pH4_1,-0.017096912567908667,-0.008969278081178504,0.009904977072981875,-0.009076416381209602,0.013476823874060876,0.00010091663358490098,-0.038037452792708315,0.014154103781683776,0.004764935881223367,-0.03439261382486186,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BV_pH4_2,-0.021058778262940114,-0.0075161418604725245,0.009859323642500068,-0.0018979946680306263,0.014298796933852947,0.0001376135782946067,-0.04575437696144471,0.016038160018278687,0.005555403499924779,-0.034832922544978245,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BV_pH5_0,-0.01939965307044433,-0.004084817365257314,0.008752146984410026,-0.008993914635325582,0.016070801923051478,-0.0007220495235093917,-0.04110949387399318,0.0156306948444968,0.004912204064084622,-0.036226836010995925,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BV_pH5_1,-0.012917255636142645,-0.007502848215036741,0.006454215425107142,-0.005167023676305849,0.011691550319589189,8.029836290718316e-05,-0.048436977994911694,0.018386757573639244,0.004943498051320404,-0.032703130965566506,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BV_pH5_2,-0.011124992736858196,-0.005774593463612965,0.007891586917331038,-0.008460592591183506,0.015949478311281972,-0.0002608681690838683,-0.04987327871950464,0.01895937546257577,0.005845333225670796,-0.038322364686299924,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BV_pH6_0,-0.018748695022507533,-0.010603913826989412,0.01827632658335421,-0.01624698369682807,0.015840218501347723,-0.0037324722791495547,-0.08279708029044301,0.02180465015258802,0.0034394148099438663,0.007597618473228066,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BV_pH6_1,-0.020957814273626908,-0.004237951306302261,0.013410358708655546,-0.011948117882357508,0.021131265300083094,-0.004056871011853218,-0.10795439649211319,0.019041311828945966,0.0058743814773776605,0.024526917572821612,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BV_pH6_2,-0.016559204247618177,0.004810331187656392,0.017335094676919932,-0.009783580343684423,0.01440874930764751,-0.003339991453508646,-0.11737781235523034,0.02852096437901745,0.004509135849024777,0.01230539666670982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BV_pH7_0,-0.02499321780653427,0.0014392531015302817,0.015360424651906054,-0.012203983099544014,0.022595842859869743,0.008368840641747028,-0.1538116091453349,0.032120007778032006,0.0046610676833306955,0.04129245666179644,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BV_pH7_1,-0.03105007016019004,-0.005902261228867519,0.012292286262989205,-0.007952228367693074,0.022706801962188404,0.005322821065783501,-0.13453370668277473,0.030329992087841352,0.0067155575941559706,0.0368998909164625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BV_pH7_2,-0.03206229654495078,0.006054846834209142,0.011735814149370014,-0.013748529388711019,0.01649196894080176,0.006696838034802803,-0.1460187903102285,0.03479388823196211,0.009200756321559943,0.04168458707741988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BV_pH8_0,-0.029490521491363487,0.01196883788367774,0.009664444206181266,-0.013038882609132841,0.01576889942288804,0.003857799658916241,-0.11432293742439588,0.02914768913649427,0.004637377964757868,0.016636377044842054,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BV_pH8_1,-0.027969910963438448,0.00414026687093808,0.009822934687481789,-0.007803790779359153,0.01561085725608079,0.004478509764834912,-0.12115745631147826,0.028395708910918433,0.007073391849610386,0.022238572980226627,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BV_pH8_2,-0.02713934639974943,0.0032192987394924076,0.011823458070967994,-0.016276141293853033,0.03312488496576882,0.003604356044619951,-0.14236685994992274,0.03556386093143374,0.008318182538749405,0.02495739020731138,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BV_pH9_0,-0.04448156826997823,0.00926881597549452,0.009911213610220054,-0.018855743827298283,0.02250071436845009,0.0030367259816873964,-0.08759748086687585,0.029924619478861925,0.0038654011768369883,0.007256388585690571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BV_pH9_1,-0.04368554656596288,0.007483743381858599,0.010986394205069899,-0.01953618781018557,0.03250606349385951,0.0028912321192657827,-0.09122380071947268,0.028086226126280325,0.010690595360027384,-0.003369636216160396,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BV_pH9_2,-0.034172035350828724,0.005625200276060599,0.009270361852022293,-0.0155386000847363,0.021922700532165395,0.0031385662030104697,-0.09808909663080194,0.043701611650176345,0.004789238358220166,-0.00581886312985064,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
CC_pH4_0,-0.02724681873036466,-0.01255064198200631,0.012762449523029122,-0.013238128238236127,0.021020435860137573,-0.0028075739198728756,0.10804358525080204,0.03209285382636945,0.010381663978282035,-0.193628742231623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0032572508755295392
CC_pH4_1,-0.025374292980818808,-0.0021695401998358256,0.010228905095820029,-0.014524924496705042,0.021528897632480313,-0.004700327061835435,0.10547710046941494,0.019611181584085625,0.01035181197935067,-0.1855997286854393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.004437627208196163
CC_pH4_2,-0.03439908703040007,-0.003882260736503195,0.017038400470704325,-0.017725425500564447,0.02987682612815305,-0.006728490862246279,0.10593365768760278,0.025829929839009832,0.016503574039645332,-0.19761804069888425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0011803763326671925
CC_pH5_0,-0.02960961330636485,-0.054031695562627394,0.02345664065574174,-0.021908730935690034,0.026503750082388845,0.004476078382551509,0.12795137590516112,0.038929357466429636,0.01333916730227192,-0.140473430215624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08114687964645667
CC_pH5_1,-0.0368241275434949,-0.04534849443736121,0.02883119722585316,-0.027161511245953007,0.03576258665355653,0.007968439204395628,0.1631369022913682,0.05283260762985067,0.01611665950733763,-0.08313221107095316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11230826956373989
CC_pH5_2,-0.04148003562120722,-0.039129881474604514,0.026232012265422575,-0.02757021919889983,0.03179320322369914,0.002703066167178684,0.14352126536192375,0.04592492890868173,0.011772665444194622,-0.1085823432894667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09911694942295314
CC_pH6_0,-0.03681701932973025,0.01793617440478714,0.038621829685998026,-0.04195201376918702,0.056561619580986544,0.027057003033367666,0.40056270583370784,0.09697091422843467,0.029954958913199933,0.3169997432973722,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2884225051673924
CC_pH6_1,-0.04582663102510751,0.029483268388607736,0.044665986010349226,-0.042472394865775566,0.06247304243961875,0.013658056270847423,0.41431476439896003,0.08600048182496764,0.02997872944921256,0.3142326334798101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29127362738877827
CC_pH6_2,-0.033593520558155746,0.033363170812169655,0.04005471421294316,-0.04160639770384677,0.06873422093173163,0.016092995090065922,0.40032733421914435,0.09224809795855948,0.02642952542640674,0.3054138544846691,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2957269459022493
CC_pH7_0,-0.133727166333499,0.05552609585782351,0.02226318668948648,-0.08041378154712933,0.0726311818715792,-0.026639204862142864,0.2561560240892046,0.07958397522502902,0.03353278026430179,0.10126657944987529,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5922068579302491
CC_pH7_1,-0.11569750005505858,0.0430769437315631,0.02521786856303072,-0.07155466565001838,0.06384602963236041,-0.013333722648980181,0.28653660143432,0.07453171047012565,0.023194542766508203,0.14303039721638452,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5480973412378645
CC_pH7_2,-0.12137549807317555,0.04592862532352624,0.029148756742639382,-0.07451002327401356,0.06787226801981093,-0.026211164357677192,0.28980964297175654,0.08717368532194877,0.02267925504939225,0.14044653646298683,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5469120935714209
CC_pH8_0,-0.12444100408895832,0.0326576202653308,0.01929935910951589,-0.07303056087537221,0.04074001699959374,-0.011535456307110906,0.1421621292387135,0.05433016333577181,0.01814751590531238,-0.10501486818093564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8455353071301549
CC_pH8_1,-0.13525113267090136,0.026360774091900442,0.018241858079918138,-0.06026630991740838,0.03585981287932753,-0.015167789560256772,0.14502797912522822,0.063410756539189,0.015980550656246987,-0.09154442310449666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8378107178569503
CC_pH8_2,-0.15511884745868407,0.03362701892954015,0.021074641567411952,-0.05632820306750744,0.049611136363515544,-0.014247592240167055,0.14547130335628505,0.05519885412154152,0.017886511981487274,-0.10229198189371302,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8442380625189879
CC_pH9_0,-0.11134190918574027,0.011172949598049339,0.01632605013655215,-0.051404636462583475,0.0345382293885189,-0.006909268927790792,0.12586668090064726,0.032929784793346,0.011390065775840015,-0.12773886287468483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.003926186226973
CC_pH9_1,-0.13155154915779588,0.02322780634732107,0.016591876704023095,-0.044952371903219386,0.03473641393574602,-0.0015427190659102067,0.11723017971800716,0.06519609638565706,0.011072264562320449,-0.15517891435484077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9964236708955914
CC_pH9_2,-0.13524789158264985,0.0396407920440011,0.01508693370897242,-0.05182529562810923,0.04051998974471959,-0.005663073572593379,0.12433666870777457,0.05855779129809336,0.015288795148548872,-0.16586562653224024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9996501428774356
DF_pH4_0,-0.015734355505454642,0.0005666209560940452,0.01003969444255547,-0.003050783036944823,0.009038966517773984,-0.00042851900337668883,-0.03896461697933062,-0.007290509922996812,0.002858618275242169,-0.022206029825256744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
DF_pH4_1,-0.012257064989889446,-0.01018528641738079,0.011766131751482254,-0.004180757511589352,0.011816697416968804,0.0010004416601124993,-0.03772384981118628,-0.009113137403746016,0.0033751508715036123,-0.019669239751630176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004845233155374915
DF_pH4_2,-0.013307909283726273,-0.000802474229333356,0.008585581201958754,-0.0048985015721384265,0.008171758897217883,0.001503977883485673,-0.039242129478522625,-0.011543307378078287,0.003002648946080032,-0.016640558430479596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001874459798070219
DF_pH5_0,-0.014062477099587738,-0.009035840928655767,0.01036011853336316,-0.003393206358482332,0.006350894310693865,0.0006611961241730539,-0.025127426154162417,-0.011681904290681302,0.0032604363636599613,-0.022502704348779566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05114127579932972
