Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--parc-_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc-_pH4_2,-0.013203589073078626,3.606132383498763e-05,0.006879595131005928,-0.006820625583944922,0.006547550197549002,-0.0003624856607664543,-0.03730666342829152,0.01042036792065989,-0.004506495372776914,-0.026854629338283663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0011803763326671925
parc-_pH5_0,-0.0060951429741133165,-0.002531733432804923,0.011486187737597076,-0.010825303468002898,0.006169743862650963,0.00040052019009042655,-0.04667684007800466,0.010736761916752744,-0.01060367451302464,-0.017231433478325765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08114687964645667
parc-_pH5_1,-0.013492126703950698,-0.009344373668199808,0.012444495973379715,-0.01072787505776986,0.010401130009989214,0.001219739040218132,-0.04935400785250669,0.018328463883118946,-0.015342842608528293,-0.009303519460575086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11230826956373989
parc-_pH5_2,-0.011102891158636502,-0.0042652622331946135,0.010608662336599082,-0.011395658872839389,0.016116692691575736,0.0002155723238525828,-0.04664430819826363,0.016848850097689456,-0.016734361085311875,-0.018818212564953644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09911694942295314
parc-_pH6_0,-0.01749227033097945,0.0017568438201535348,0.015672941124977788,-0.014058259568814915,0.008075649826382487,0.001722792104271282,-0.10932669387006647,0.020936123776279958,-0.021957695344361757,0.04949965216351026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2884225051673924
parc-_pH6_1,-0.016557424846408972,0.008332271385917684,0.01318437689692592,-0.015596133364445493,0.01676922615602329,0.002317706266337116,-0.11698687762072633,0.021429379413299178,-0.014924169559051972,0.03686072901316472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29127362738877827
parc-_pH6_2,-0.01839105066165085,-0.0004433071893720838,0.017002007263287416,-0.018508967972643998,0.022995210645123106,0.004216858415014069,-0.11942351663378878,0.021540460873840615,-0.02435848909354283,0.05019988077738242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2957269459022493
parc-_pH7_0,-0.029517814545973155,0.008417274196652452,0.012003139063979137,-0.015620099343663162,0.02335322939922386,-0.0016794122831450535,-0.06500874525270142,0.02108930355940095,-0.030915888688304343,0.012708097231047957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5922068579302491
parc-_pH7_1,-0.024334115067334926,0.00989479166420136,0.01893794350629753,-0.02035372562681163,0.02186637607129777,-0.0019123960671055577,-0.10136647847531692,0.021763375284069256,-0.018002121945660886,0.028335436568190545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5480973412378645
parc-_pH7_2,-0.01841183808207025,0.008308957583858103,0.011261100157204532,-0.019515784509156062,0.01696906027789025,0.0015624310843565543,-0.08286546705148953,0.02162681484341864,-0.020821816743169304,0.01671562836677565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5469120935714209
parc-_pH8_0,-0.021945599698684298,0.022891640523549816,0.009966278968520625,-0.023957816187454305,0.013875417729394268,-0.0019289437861627213,-0.049614242322479754,0.02024831088624247,-0.013646845683030295,-0.02105911691075838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8455353071301549
parc-_pH8_1,-0.018046241300585474,0.0041793472156859916,0.013489735864467271,-0.010072358804957375,0.013229281063110604,-0.0014330881576904136,-0.05515644623624648,0.01346446700849692,-0.00873936685045128,-0.01608624646531256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8378107178569503
parc-_pH8_2,-0.022472464280334586,0.007778841812902576,0.012799402060311127,-0.018624211262769835,0.02297313348855823,-0.0003221551339020546,-0.05381200236187358,0.015177240258325701,-0.013487145203044233,-0.015181555769547982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8442380625189879
parc-_pH9_0,-0.017903472191613656,0.00329972830803498,0.0101469614260587,-0.008340675168690961,0.013096887943557586,0.0001682892792007843,-0.04226157274330035,0.014547831614845956,-0.012228110727307428,-0.025696784404268418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003926186226973
parc-_pH9_1,-0.0159388851774249,0.006151275071821619,0.009699037577450758,-0.019666339008178078,0.022230441405275917,0.0016165574307998878,-0.044827566716981966,0.011220137971939275,-0.014395218160428595,-0.021260357057756706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9964236708955914
parc-_pH9_2,-0.024488696047945104,0.017588905799506317,0.010352864042329398,-0.015168354299182642,0.010785812453225093,-0.0007561028748750681,-0.044575038169935834,0.025862034536523578,-0.010595652765098391,-0.03417668676919953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9996501428774356
AC_pH4_0,0.010357256002076291,-0.004732220699281795,0.010983618157308387,-0.008977663395825128,0.010923236563255122,-0.0033645753954213266,-0.055467147546941827,0.02198887556275029,0.004327914493927812,-0.0512102072307354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.010378719910007456,-0.00274893550414835,0.009769285541513692,-0.0028502147072804692,0.010466206906079922,-0.00025409296246083594,-0.06571628320223208,0.015725542355085845,0.006180385962007162,-0.046121530366008696,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.013356414856794088,-0.00742346761484995,0.008882234318121135,-0.006839705783590351,0.015889388975059694,-0.002468734647390311,-0.06329607521123051,0.019707423283759018,0.004489911036140729,-0.047468305338558794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.012095197785807692,-0.00447490821177464,0.011223622205080058,-0.01213203743039428,0.013756454461254175,-0.0015962153366442936,-0.06811689962359631,0.024032250951631404,0.008335249728482699,-0.04829363123220189,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
