Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--parc-_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
7comm11parcaTc_3,0.11153164871198973,0.08707981370875369,0.29765114441837953,0.08334484284500712,-0.018143957045091228,0.024408755189050797,0.04070339957819037,-0.11644183806103209,0.06214711612009485,0.15134482805657645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_4,0.065548167594749,0.09349681319749874,0.29534957156719077,0.07737399551855484,-0.007024046445022461,0.022848495824829385,0.023261311930482798,-0.05394896438264329,0.04445777990409861,0.1622626288121809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
8comm11parcaTc_1,0.12111171428114176,0.057750273672458885,0.24920127224824995,0.08712093776820792,-0.02213135575470717,0.009917995233250706,0.04246442454664603,-0.09621571801278908,-0.007981143396185797,0.1258551845472792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_2,0.09277404748389258,0.01035000784889511,0.2828410180496133,0.08965151119815266,-0.025176273517958484,0.01354860355510659,0.05013441914287599,-0.06166740021303944,-0.003309985289107195,0.11794763687512147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_3,0.11087230282309264,0.0203341690386119,0.28739985643359633,0.08560473365142296,-0.024304374885623866,0.004838589787807152,0.04276440364187178,-0.0635666664009509,-0.032280063996820346,0.13543063504054498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_4,0.11814248553598702,0.03364205670745473,0.26644675319123534,0.08066681830293458,-0.020145676204043884,0.009889120202025637,0.04220112099109784,-0.08245946514217752,-0.005723762682274629,0.12443413423131341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
parc-_pH4_0,-0.008471821818662725,-0.016785868025668286,-0.04310139370515295,-0.01387970806787843,0.0021485871351931405,-0.0018479821733806436,-0.0008919238542085108,0.017701958186276578,0.00190545221871656,-0.03512761336953744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0032572508755295392
parc-_pH4_1,-0.01213689333232849,-0.02164198238402605,-0.03703375916280176,-0.013230247494319211,-0.001059568038453226,0.0006206076495025472,0.0003026946326312814,0.011388912876339063,0.004056154013327929,-0.029616232169387136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.004437627208196163
parc-_pH4_2,-0.009443678164287752,-0.018196704590126223,-0.04029170284452645,-0.015485778595118422,0.0020052724801327875,-0.0025457525803990974,-0.0026309100911021243,0.015155466569830542,0.005292017356209134,-0.032208543980251185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0011803763326671925
parc-_pH5_0,-0.009724887246670928,-0.027012229422512257,-0.04205898980731549,-0.010469590270000953,0.0018040126610709272,0.002716768633412278,0.0005470741054286127,0.017302037816008798,0.0020090426391233575,-0.03346355315297843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08114687964645667
