Experiments,Time,AC_OD true,AC_OD pred,AC_OD stdv,BA_OD true,BA_OD pred,BA_OD stdv,BC_OD true,BC_OD pred,BC_OD stdv,BL_OD true,BL_OD pred,BL_OD stdv,BT_OD true,BT_OD pred,BT_OD stdv,BV_OD true,BV_OD pred,BV_OD stdv,CC_OD true,CC_OD pred,CC_OD stdv,DF_OD true,DF_OD pred,DF_OD stdv,wt_OD true,wt_OD pred,wt_OD stdv,delarc_OD true,delarc_OD pred,delarc_OD stdv,parc-_OD true,parc-_OD pred,parc-_OD stdv,parc+_OD true,parc+_OD pred,parc+_OD stdv,pH true,pH pred,pH stdv
6comm11parc,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,5.93,5.93,0.0
6comm11parc,3.0,0.019002968570394976,0.015321948594093322,0.009544443221747875,0.014892443370342375,0.010247935023655494,0.012180920254588126,0.0598057373999066,0.024775077098204545,0.01257403332803666,0.0080069383336255,0.0055344633794426916,0.020237391036500532,0.040727396302287625,0.032012315307280874,0.022929183266807145,0.016920205113431324,0.014066895908991494,0.013140750486175218,0.01685552737141215,0.027759862535208468,0.016699575496912006,0.02447206790638585,0.015057150041166291,0.011942512574718513,0.0,0.0,0.03183812426691632,0.0,0.0,0.028128261972099756,0.0,0.0,0.03858689278967141,0.24564169788221318,0.3049753584478031,0.05035835516363629,6.433177741,6.252595567934921,0.16772766519367568
6comm11parc,6.0,0.11446733293614528,0.10234297016811372,0.06992771396303178,0.0865228280356265,0.04835179203044547,0.031092348751915026,0.2513472052557638,0.17042965257565187,0.07484426652633899,0.03031065040560415,0.039531239964822926,0.02667751035953561,0.2615776768502814,0.2696033507572168,0.07162675717769232,0.09504062010021512,0.03941253121304512,0.016399715934097767,0.1450235769893783,0.1029588885097305,0.027360872908957303,0.11799292695426325,0.10241095210629138,0.028004367598335703,0.0,0.0,0.20698839905218605,0.0,0.0,0.20128139199222128,0.0,0.0,0.2438423342746496,1.5921931392227222,2.0868831864035786,0.3578158460685051,5.82349142775,5.995071308138529,0.19174960046930245
6comm11parc,9.0,0.26129451348071364,0.0937913628653288,0.519576779008627,0.18699508740506837,0.16891774160306197,0.15292249034557576,0.48884297450297537,0.3754971636167783,0.18933798844453226,0.05608783469709535,0.09417651061594486,0.03451841056834658,0.4315093243277722,0.7036168054997025,0.28047383950455684,0.5368520422221623,0.09546344587523263,0.06027023532843821,0.33885385418548614,0.1749504369586309,0.05952570130031805,0.29906748852150666,0.2181493317676884,0.07276705067057948,0.0,0.0,0.3205746930374938,0.0,0.0,0.32216072387313305,0.0,0.0,0.4817753593456939,2.0514627564072194,2.054619265507312,0.632859224457999,5.34878962925,5.5652126870528855,0.2245504042228461
6comm11parc,12.0,0.14134516402984437,0.052931353923286316,0.9231938351496309,0.08388446927960483,0.04594291036061929,0.04650355671733592,0.44410123982902816,0.35175826717631103,0.18427190592773787,0.02998835422106505,0.40477198175233625,0.3615368734236454,0.34605753370420367,0.46424677300350664,0.27508212515057445,0.517209627969609,0.10696130287265779,0.12854493272407852,0.2554610891516638,0.15192020250119764,0.18255999420307079,0.30306558243843007,0.3077838986498823,0.22512180356987846,0.0,0.0,0.22449279600836172,0.0,0.0,0.2053120572591509,0.0,0.0,0.3894753208431681,1.455261939376551,1.3476390434708287,0.42885408472270214,5.40065453325,5.855609075919946,0.22839311857402322
6comm11parc,24.0,0.20454614099179474,1.307432183359464,0.9361854433559577,0.14213381411954468,0.8288099824769795,1.1522034128393728,0.4661719996722156,0.6662870354890525,0.683234087469846,0.06691034983738656,0.11523746082910771,0.9801069389143984,0.473023310965066,1.1426844980440736,1.137576091541916,0.37140898760516916,0.057896657747233904,1.226525886154443,0.4543099214803734,0.4759897883699536,0.723379392398258,0.4811967927816527,0.303640770795722,0.25576871434205195,0.0,0.0,0.20629272815460867,0.0,0.0,0.30020382070691387,0.0,0.0,0.46944117330193524,1.304561376546797,2.239919040022433,0.7890186023302973,5.31845635125,6.049273307802855,0.3098566881062634
6comm11wtaTc,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93,5.93,0.0
6comm11wtaTc,3.0,0.013644007442155074,0.011873130556166171,0.009541019970695177,0.009861787036925699,0.008913248326083024,0.012091147067844867,0.03841452697594155,0.02584119462821893,0.012560147052249542,0.01657688819499865,0.0170678171411256,0.02023187377967437,0.035689323870812674,0.02792547914124076,0.022884453023077952,0.009357139714245226,0.009928034953395524,0.013087044302423793,0.014685471367963525,0.03167713770958782,0.016427227823585275,0.033259769643662326,0.02293766154053571,0.011933491490896037,0.24621848125329493,0.22312243429078243,0.03457808365299072,0.0,0.0,0.028128261972099756,0.0,0.0,0.03858689278967141,0.0,0.0,0.04755673713661286,6.460119166,6.321866700241695,0.16747590871423854
6comm11wtaTc,6.0,0.2295853135124026,0.1086154179181258,0.07006993349508446,0.10790818315556075,0.05244827140914435,0.030985981523233636,0.1499329469918991,0.1901789410170968,0.07499211646646552,0.03409089592853902,0.04186604795032739,0.026447412132441995,0.1536390407103592,0.26294620475578745,0.07182267963696458,0.0047177722874869,0.03237186960929632,0.01636292138761282,0.140396427558645,0.10886420301803948,0.026942762584512434,0.12086792860957835,0.1175014674755929,0.027820478781827827,1.5917673027455288,1.6138777247063893,0.23181749747380984,0.0,0.0,0.20128139199222128,0.0,0.0,0.2438423342746496,0.0,0.0,0.33342158596017807,5.8464431935,6.113372346819152,0.1755286614333094
6comm11wtaTc,9.0,0.3704429010625567,0.2811934374779463,0.5141957281188965,0.2781877543258799,0.217738019371129,0.15082388625414692,0.3667796348299449,0.4651686998562458,0.19101706656657294,0.07536260271749873,0.08787575610085328,0.0343679685793817,0.354215584947558,0.7533180986986558,0.2799578163913071,0.02377794935978255,0.08237134996407212,0.06060962678641161,0.3492386162892418,0.20742252526215715,0.05929959689174593,0.3433018365515226,0.257581598298944,0.0720642487719064,2.303286936916015,2.9408662997508133,0.8137331997443217,0.0,0.0,0.32216072387313305,0.0,0.0,0.4817753593456939,0.0,0.0,0.522444335200335,5.443265229750001,5.793979152208964,0.1951963088455201
