Experiments,Time,AC_OD true,AC_OD pred,AC_OD stdv,BA_OD true,BA_OD pred,BA_OD stdv,BC_OD true,BC_OD pred,BC_OD stdv,BL_OD true,BL_OD pred,BL_OD stdv,BT_OD true,BT_OD pred,BT_OD stdv,BV_OD true,BV_OD pred,BV_OD stdv,CC_OD true,CC_OD pred,CC_OD stdv,DF_OD true,DF_OD pred,DF_OD stdv,wt_OD true,wt_OD pred,wt_OD stdv,delarc_OD true,delarc_OD pred,delarc_OD stdv,parc-_OD true,parc-_OD pred,parc-_OD stdv,parc+_OD true,parc+_OD pred,parc+_OD stdv,pH true,pH pred,pH stdv
5comm11delarcaTc,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,5.32,0.0
5comm11delarcaTc,3.0,0.008698786352034275,0.003859374742756287,0.00900822926668326,0.002560759083242275,0.006599639749502142,0.012255707571258148,0.018137843966652325,0.024220849613191646,0.011450722759286658,0.013004063257751474,0.011631541764184832,0.021035037956128516,0.013216750016794725,0.013484890106783795,0.024426048099466236,0.001656214456706625,0.0036017143833041187,0.00976226524611314,0.02518232306581995,0.011024888267397882,0.01648544223406911,0.027056454249149525,0.014641035121749512,0.012389744448675204,0.0,0.0,0.03796635146680762,0.1021474843018484,0.18772980554812294,0.033806259239891216,0.0,0.0,0.03939986816269619,0.0,0.0,0.05491125435555849,5.37488318675,5.540232017626027,0.21257962252948182
5comm11delarcaTc,6.0,0.03243533174330395,0.017670765322178605,0.06632464227541289,0.000300346783500175,0.017443862050692944,0.031707573814216385,0.3374499719198367,0.03532354956466378,0.05767487740518161,0.01905730818838095,0.04466704600868622,0.0275114348359704,0.00455981025859365,0.07762328813874832,0.07634433248812177,0.000819127591364125,0.005360545992161725,0.019543738459450694,0.00690797602050415,0.03549429337148369,0.02774927680525432,0.0256922416784304,0.0741734890004904,0.030551754699913447,0.0,0.0,0.24682968890014542,0.4505132058160858,0.7538135097668968,0.2519481606747528,0.0,0.0,0.2489797733979995,0.0,0.0,0.3849843075167087,5.40661550875,5.434027168205142,0.23162040641079354
5comm11delarcaTc,9.0,0.0399818753571122,0.05779627601015568,0.4958162347867489,0.003159283193969675,0.06326096125227454,0.15229436463613816,0.03886475450406203,0.060785990855912096,0.1680709702592504,0.04610509356893633,0.05435031064059337,0.03530013812497258,0.028597173827163876,0.12065317949063678,0.2969696481966287,0.002823483154308175,0.0,0.11107802372570186,0.029156182575008925,0.09918123006855449,0.06353996617322168,0.07325318614181692,0.13630727571118448,0.08838570239506993,0.0,0.0,0.3822791620884733,0.9935465879276215,0.7840521752270834,0.40047143706745914,0.0,0.0,0.49192573617476704,0.0,0.0,0.6032388995568821,5.2977122755,5.125144381555001,0.22648947843849668
5comm11delarcaTc,12.0,0.015094923448242975,0.31663374894084784,0.8437343641183377,0.002255618790364375,0.00963399592938502,0.0446392711756218,0.0213276031511974,0.0775161590241479,0.15663963610700596,0.03968852819178058,0.20143403716996638,0.34526583645592634,0.017887813492834727,0.05913339464930501,0.2564220938146146,0.0022059593207972,0.0,0.10355160579440263,0.010464353496851226,0.03253305220992118,0.11527495642937718,0.041882093842113124,0.08743359888539015,0.17941649210958646,0.0,0.0,0.26770334594982476,0.5489031132658181,0.6671314104674819,0.2639478084383651,0.0,0.0,0.39768105655690694,0.0,0.0,0.39702052146883543,5.32769242775,5.225209070815405,0.21929253583252428
5comm11delarcaTc,24.0,0.017447387178540472,0.29726086139049135,0.8661740113552809,0.008342019523964074,0.2228243823918253,1.0899652903641164,0.0509052727819955,0.03932749679996073,0.5170706727269591,0.16768374034902037,0.26229479335726796,0.8855582081014812,0.05678705320270795,0.18933807773766292,0.9852764684761762,0.01493753710811305,0.0,0.78767716168648,0.05248366688880795,0.0,0.4241153070968886,0.05769672174246882,0.09789237347259006,0.17896105244140675,0.0,0.0,0.38828978753226745,0.6918397619743816,0.8154090196253956,0.3803211609298637,0.0,0.0,0.47933168495983386,0.0,0.0,0.7361278383074106,5.241501218750001,5.196499003212675,0.2096495800993666
5comm11parc,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,5.32,5.32,0.0
5comm11parc,3.0,0.0214524277803817,0.010360824793299039,0.0085367384553353,0.00199521280335945,0.01160056399638454,0.011956641157567501,0.011248106340877875,0.029893743068636174,0.013289926913133087,0.008009865943396324,0.0,0.018267961895942687,0.0242343397302507,0.021798000715399512,0.022693672105654174,0.0018381230884718,0.010076777242720126,0.009039298866808413,0.024225809764289324,0.007882191312596203,0.01736348708082736,0.01434896036879125,0.01792973041062835,0.011170858379309805,0.0,0.0,0.038511895933167076,0.0,0.0,0.030387235393533704,0.0,0.0,0.03905024227410773,0.13542947593018126,0.19946407959650542,0.0493035553978198,5.36531987225,5.46324432685719,0.21587836140810943
5comm11parc,6.0,0.057951519641011674,0.02279679375562072,0.06334874268998704,0.0126086573429864,0.027045248509054477,0.03107018148088885,0.048646043344282575,0.12441005007110167,0.07658044610247698,0.042478978519470474,0.0,0.023286513305435578,0.0772890000284294,0.08194132049183625,0.07426228329611403,0.0209883309208616,0.031657698313467826,0.018658997417339673,0.04220279050362425,0.059184793867041674,0.03131794216479361,0.03536360939482732,0.05982852658386718,0.029156316155997904,0.0,0.0,0.25037642346141675,0.0,0.0,0.21744624836303647,0.0,0.0,0.24677038086512684,0.6395333215545058,0.9003025156094075,0.3652721041476662,5.27916004375,5.167915204770836,0.26486891998459905
5comm11parc,9.0,0.07762537167909722,0.0,0.4921330231380463,0.0047130199755559005,0.017379358910136096,0.1566637550864682,0.0388834400689302,0.10962761393554939,0.2000685252312823,0.0569520198376278,0.0,0.02941504168360432,0.026518272928821675,0.0,0.3309829086710769,0.004305841531561025,0.09107903066902008,0.1270999165732226,0.03742871302714997,0.07117803022050859,0.07918904636524123,0.07817333040395175,0.08071498384488307,0.08804773542943015,0.0,0.0,0.3877721914006057,0.0,0.0,0.3480333680265892,0.0,0.0,0.48756049383640626,1.038322839547304,0.42798621248642615,0.6759907089189897,5.15386269275,5.254859248120824,0.36136639553606525
5comm11parc,12.0,0.0300991743408934,0.0,0.7775739998829961,0.0021318768232118,0.0,0.04376574680361119,0.025016095400918575,0.029032628726320644,0.20223458021175272,0.05466328872518621,0.0,0.29149339640293187,0.018200990418822997,0.0,0.2262740175858165,0.007205693786857325,0.013778779421541905,0.14466364653846833,0.0155156849193182,0.055547629190618786,0.1738769846600592,0.047197762834789776,0.2282448494215472,0.18937365162142034,0.0,0.0,0.27155001736718537,0.0,0.0,0.2218006153118447,0.0,0.0,0.39415212107419517,0.6334667102500013,0.08731245765271947,0.5413877696882409,5.1796873972499995,5.426098818177541,0.707451791857481
