Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--parc+_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
8comm11parc_3,0.20995141868277092,0.32467667798714145,-0.010437395284357276,0.044622330748192655,-0.07454905168436789,0.012450169706312216,0.008297428338909925,-0.08133390461621079,-0.7418843364577902,0.09144662898681737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_4,0.13135314876942528,0.2608171566907802,-0.01022183077652818,0.03855613446915927,-0.052666801646675754,0.02250383343385614,0.0039702863367679355,-0.04663233495762813,-0.6333563693556123,0.06891674344387393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
parc+_pH4_0,-0.03308465035956191,-0.05085968979431883,0.001306895919792028,-0.010065879395798496,0.015336903847915972,-0.006723793737752282,-0.0019191174954175962,0.013049080149149116,-0.037135391417566846,-0.04792826268417032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0032572508755295392
parc+_pH4_1,-0.028833433144280444,-0.07649614925050865,0.003890514287125805,-0.012817154925154603,0.01617350177353491,-0.00577531257968234,-0.00022988530766705008,0.013673781133864232,-0.03806173010121869,-0.029548037116132356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.004437627208196163
parc+_pH4_2,-0.04383562105586348,-0.06246008995434512,0.005193805759367736,-0.01089919139671585,0.016217905945428043,-0.0059617984967063305,-0.0014124616802386638,0.019898958414307104,-0.05365313608685267,-0.021112269674144365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0011803763326671925
parc+_pH5_0,-0.03454180688070862,-0.06018713433619428,0.004465519433598155,-0.015652812967967725,0.0141448492054706,-0.005861741275243137,-0.0027315498993772534,0.00918206901168046,-0.04338297366933978,-0.02345831739270817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08114687964645667
parc+_pH5_1,-0.03738025815104661,-0.05261595460545757,0.006056762427577506,-0.012229086931632908,0.01640287049357658,-0.007683923485000499,-0.0022862088234852206,0.009826853012909064,-0.06219935809302587,-0.01591560135959931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11230826956373989
parc+_pH5_2,-0.043106021974235784,-0.05636095582143118,-0.0003878788131734594,-0.014331760021817425,0.019080729776102562,-0.0038649944556148146,-0.0024077648029703176,0.011692581516083168,-0.044519024305855456,-0.023818814094461824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09911694942295314
parc+_pH6_0,-0.042331482380142685,-0.07781114343958705,0.00515109284416489,-0.01163726295385024,0.017468479382603062,-0.010473338674106027,-0.008156482793552721,0.01686827359397126,-0.07029655875233205,0.023194517664125426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2884225051673924
parc+_pH6_1,-0.05263280851847451,-0.074966978845389,0.0023091317859032868,-0.017976442032048234,0.02240631316667018,-0.01003591494310809,-0.010653882879439903,0.015410157033120802,-0.07553508150512757,0.043651601766114656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29127362738877827
parc+_pH6_2,-0.050493549103646174,-0.07539530397676257,0.0051328084172438,-0.017104982116624062,0.014877823877917685,-0.009871688459230508,-0.006222319912327372,0.013752286140199589,-0.06834507606032751,0.03564610264790447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2957269459022493
parc+_pH7_0,-0.05242614530512821,-0.07805513677308742,0.0025670779650302017,-0.014709506157137774,0.021943448134900432,-0.015537131330727231,-0.005539757904151211,0.018273498387602366,-0.06561279151831631,0.031072541503640628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5922068579302491
parc+_pH7_1,-0.04847804139570698,-0.06627154134213925,0.002562664930263291,-0.011808872780884088,0.014762232659141653,-0.010346822711112707,-0.00634915416331395,0.012531771233062382,-0.07305052793058367,0.028424392917557904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5480973412378645
