Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--parc+_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
AC_pH7_0,-0.23757142771602316,-0.049066805624119615,0.009287430869982303,0.027888261678264192,0.014838519931325444,0.06366632196890273,0.10685712544085538,-0.009868628207756122,-0.007849446991863459,0.08941477009702635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,-0.24183713970138979,-0.05541830936608756,0.00816813662000325,0.03090164144563934,0.021589300110936165,0.05895735023543238,0.10461226713155275,-0.011518003684671027,-0.011310416617957151,0.10978357383576424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,-0.2413584127155658,-0.05097206968976104,0.006190739433564569,0.02582363267874588,0.015258259358613383,0.06780436775039721,0.10516382738542943,-0.01629369617318329,-0.009707294791612928,0.11081261801087988,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,-0.22391337175732068,-0.06661428327550704,0.007375266309017723,0.03148449499160052,0.0201215426388966,0.06606473129566595,0.10647648089443859,-0.002325736259150759,-0.00036849023126390567,0.2721139987963048,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,-0.2238927298954324,-0.0810028242740942,0.025016588631045562,0.03403856946317398,0.004525402913113001,0.07851323537609498,0.11232518558430929,-0.010909268883583343,-0.0024103185882711014,0.3022880378835227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,-0.22507601857023396,-0.06855681057857431,0.015056834360179695,0.03789746346114122,0.008576912987653326,0.0618286740925649,0.09652701655969671,0.006293944826592563,0.00380276955016282,0.3046676124243633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,-0.21520429542855082,-0.08332840101874392,0.02094049227707413,0.0454336299682441,0.002457739752919776,0.09197424489923797,0.11026775238549578,-0.018064010211307074,0.00012955297108577175,0.37995677332596284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,-0.20950538427447501,-0.0808997664106605,0.030224536547194366,0.04239361988623506,0.009654286187142135,0.07343035393354036,0.10088572327290542,-0.018504500840993022,0.004236012911019117,0.3957899915977665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,-0.20956138273296146,-0.0878728280580886,0.017226277955038394,0.03906709598782269,0.01884121010403918,0.06512873879674337,0.09588780340293176,0.006492324438270037,0.008169473684190411,0.4019710497898252,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,0.0234567250813479,0.016429748899586823,-0.0027190419683313853,0.014907155969868538,-0.0006495365581434693,0.0016354927112874793,0.028511339428470197,-0.03532884331744001,-0.03145647171560837,-0.37864339674377556,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,0.024251967470121125,0.013873801464619844,-0.005731600298667734,0.015311583065144395,0.002310202054517429,0.00885063388020448,0.025546665394111833,-0.0324472934509749,-0.03422221474997375,-0.3800467246527905,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,0.023712112560220388,0.01809766312494226,-0.007365915114464963,0.012010454784916797,0.0010609372591842783,0.007128766058417766,0.02640449329886747,-0.03697931312024593,-0.03217205920216182,-0.37322126231763664,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,0.039828987934667145,0.027218318042223882,-0.004553888274113771,0.0068132908609898225,0.002893305922979895,-0.009398371203114158,0.022849609361880494,-0.04501915606386636,-0.052646378005004456,-0.31111283221727487,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,0.023279806637893554,0.01965387936681509,0.0017146040069992135,0.012283929860138383,0.008288893025854355,0.008575386102108852,0.028503847119762837,-0.04911356992209733,-0.04211395496259564,-0.35643951374875454,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,0.031576801418610245,0.02421484155499417,-0.003972886777280467,0.017343951705033365,0.0001301179380844505,0.0021430770672209902,0.02840666863824363,-0.04163872127623661,-0.051182673032517015,-0.33978340220840064,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,0.06856131427556926,0.06855432283295239,-0.028710106557801995,0.01982671635711323,-0.007461397043712757,0.0029703832336741925,0.029080075221541136,-0.04867476504377047,-0.0676617605506402,-0.11642937692935046,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,0.07516982869771514,0.04868893043664486,-0.02880404055928407,0.021324355224066453,-0.010231966953724617,0.010069260866097775,0.030130875289602118,-0.044224128461564365,-0.06700750116582797,-0.10532796117922531,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,0.07742840373969596,0.05093901519218217,-0.024308087427331065,0.02190420194002598,-0.009264420434508638,0.010936341128595496,0.03037994882172864,-0.056768512976882235,-0.06760995140380184,-0.1088712161261102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,0.054817887964941886,-0.07370786712869354,-0.01590600447162338,0.03448211907530609,-0.01291403496718925,0.018908288665925675,0.05874128847423456,-0.0460575719623138,-0.05764067271805327,0.12963400614812326,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,0.05534403458642569,-0.07224690285875746,-0.016074880188250013,0.03178350449256275,-0.01491715860350625,0.019064243076288175,0.06063514043698493,-0.04466376672215436,-0.06110228652863399,0.1390501799936528,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,0.05348580937103733,-0.07112349760435195,-0.01558308860934947,0.03167276809882859,-0.01685367172421969,0.01933430477004984,0.05596122427155143,-0.04316854207816977,-0.06102888020970254,0.14293423585755666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,0.04134040655649228,-0.06971285821141104,-0.011374378653000233,0.02158167749805295,-0.012349245545008911,0.009599459995718112,0.04698466859838886,-0.0242141152108493,-0.05326784217811148,0.30791388839078343,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,0.03282756580849706,-0.053096049970582766,-0.011105934898166558,0.026172044401907398,-0.008191393338467754,0.010873402434846633,0.046177042877382564,-0.020670273716197063,-0.051817616676182864,0.34250350381936073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,0.032270746872476906,-0.05440026249250641,-0.004027122889199985,0.02245917886576574,-0.006836260421930439,0.010477272077747027,0.050679467843602534,-0.025359418141129235,-0.048231648606774605,0.3417852913620679,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,0.028700761239489784,-0.013947190099760247,0.004524648817175106,0.024054203452137515,0.0029177285965694146,0.015176195097358328,0.04729559857236304,-0.0167817022084542,-0.04019963674652187,0.4575579429320668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,0.03409675697998507,-0.008184922473586109,-0.00865302758048409,0.0260000509938792,-0.0014117606283853858,0.012541623900280048,0.047292474273430266,-0.009042280433780482,-0.037930839291733236,0.4836211545093227,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,0.04278095743740382,-0.0013797506414677794,0.0014873383113223736,0.02970954630847859,-0.0026832297946447893,0.014801635936550482,0.040374058735273444,-0.02040558443364243,-0.03908023518388688,0.4912038408025451,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,0.02793755871932142,-0.05283103659263123,-0.03118394729721806,0.010767464595644378,0.005380281265825036,0.015366037942307153,0.03158582356232016,-0.002278639210145108,0.0013264131562217465,-0.3661148379629721,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,0.018985978309065097,-0.04056564688682556,-0.03154958544218022,0.015394763068660444,-0.001757441662737859,0.013991511066484712,0.02786381852367651,0.013693711820018033,-4.471678124821246e-06,-0.37611776819857584,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,0.0277904670920385,-0.044871636919839246,-0.030697440135738135,0.013731378432687217,0.0015924064734059843,0.007827381428493109,0.030895678501414208,0.006447744736366952,-0.0005794354511991786,-0.3722561166273511,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,0.027501910031651686,-0.06364330605806216,-0.041139533825866555,0.012561802082573592,0.0032225714154217556,0.010450956576058393,0.03373446012320727,0.008981277867341823,-0.005892599723909211,-0.3407314071172606,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,0.0343593056888684,-0.06275149533606095,-0.035323813282277274,0.016317919606909804,-0.001450592400101215,0.007880353825571751,0.03237234977519384,0.007873179299513932,-0.002309144042108371,-0.35924857326175863,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,0.020209659171169226,-0.05713715969301436,-0.03641457130403624,0.010497653260827067,0.004060547820737831,0.007013673004086899,0.03020935425939767,0.015509564615786077,-0.0045162662766549885,-0.3484886363480726,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,0.04198341776171457,-0.08166536222495462,-0.008402708454624468,0.010967221090003204,-0.004271710331187303,0.015890167276172536,0.04616731762238172,0.010236340717453026,-0.027076933209014976,-0.14951334819440604,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,0.04223469022823416,-0.07786003102669899,-0.008354167515492955,0.01918166231121058,-0.007229543309658766,0.019311795730305753,0.03590465103073614,0.013766012167477096,-0.03043800036868322,-0.11229530172503513,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,0.034993633001070966,-0.0846903009728893,-0.007522628449875378,0.018065137616966084,-0.006025163000854467,0.02165913752968545,0.040739275342582364,0.02322007006196225,-0.029419189782246297,-0.11693994444997413,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,0.07391213395997234,-0.06464075683818561,-0.08887155551787308,0.03426326066741477,0.00890489481065584,0.03637990601522768,0.07325101152791279,0.022790051648474252,-0.009310431063337172,0.1670944452115699,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,0.0714225867892737,-0.058939050397957146,-0.08802349853936745,0.03636057512834669,0.005869421775898204,0.03992756486505919,0.06864180903152928,0.024501830300559167,-0.007001955279999453,0.17108268928997541,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BC_pH7_2,0.06675964254885913,-0.0631285934044939,-0.08658209419282882,0.034524681462055964,0.009676223040112975,0.04584680511656663,0.07566882650651362,0.015284113166448867,-0.013851494076459305,0.17772530733081315,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
