Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--parc+_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
7comm11parc_4,0.0999097977335686,-0.07389970718680515,0.030946674698396858,0.09486306830916715,-0.03382110717827858,0.03961980431462113,0.051037676629164926,0.15355036314252918,-0.411659328589297,0.10663787930555967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
8comm11parc_1,0.07783757873527382,-0.059531458386260526,0.006901664432624111,0.06079678611586924,-0.03592390355532584,0.040445031330961244,0.03383516710251568,0.13710031186109006,-0.37545329412850337,-0.00986924823049618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_2,0.06385779509401841,-0.036779577814690455,0.006146502230802313,0.0367008750918119,-0.04222241832834223,0.021059016310002485,0.02148821933923856,0.1251686083169087,-0.32311772626541235,0.003837341303410729,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_3,0.08286952949250521,-0.04986436125214981,0.010849834324225144,0.05822027587372324,-0.0370061369224087,0.0328925444331506,0.039020815099711,0.14334274704851535,-0.39722362922585536,-0.0069629835936686315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_4,0.10214817647700726,-0.05608250222776246,0.010048275701701647,0.06746378326221651,-0.03018949360789164,0.03768528741662917,0.028384169850336465,0.1521244229181953,-0.42892447945216433,-0.006519005060519861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
parc+_pH4_0,-0.023246009412990966,0.0008025301798530249,-0.0036632612671541136,-0.010564281240753504,0.013280616932265135,-0.0094964505634878,-0.005285770392612271,-0.03511884566720413,-0.02721153710523377,-0.023358357953636548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0032572508755295392
parc+_pH4_1,-0.02832732272374889,0.007284143936374912,-0.000434717952233293,-0.011843286270032758,0.012808702565405679,-0.01154404377807742,-0.005694349719130476,-0.026309784809532374,-0.031676826217900154,-0.0281238814410956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.004437627208196163
parc+_pH4_2,-0.02135648689516213,0.008198778101283572,-0.0006627087926735051,-0.012485511144218236,0.011601509302854536,-0.0074152776453158134,-0.004173595688265303,-0.04021352708987568,-0.03667047938089008,-0.02068405529241199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0011803763326671925
parc+_pH5_0,-0.021500794391917148,0.0007033831593782994,0.002237166602002538,-0.01622521579913471,0.012384817655319758,-0.01171958584824334,-0.003026040175362773,-0.046767064222823035,-0.03019587806709435,-0.009752143576093343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08114687964645667
parc+_pH5_1,-0.027909564166937188,0.008790817685101341,-0.00024440367422673957,-0.017740451301569524,0.006201338925115441,-0.00451627377420664,-0.006953360880522626,-0.04621613020482271,-0.031737190335989,-0.003536149025287319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11230826956373989
parc+_pH5_2,-0.028089493155155496,0.011605816548285273,-0.004795696090744889,-0.013387319696662217,0.011666393200664415,-0.006796695309812609,-0.0066392108020575154,-0.05267294243787942,-0.032231975487716814,-0.002520241491172625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09911694942295314
parc+_pH6_0,-0.04954248694621999,0.01683340924913469,-0.002213718295097352,-0.0181734126838653,0.01617397835397202,-0.011051323015404785,-0.013857423433143161,-0.06045663424808045,-0.03257272749005452,0.030998971642035505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2884225051673924
parc+_pH6_1,-0.035469759173043396,0.019540952802028343,-0.009084397936644761,-0.028435099210752098,0.014115428056405938,-0.009827951626933139,-0.01404884734231493,-0.06132003597267294,-0.044917737661820396,0.045586081876055055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29127362738877827
