Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--parc+_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
AC_pH6_2,-9.195682147274875e-05,-0.053213937659950354,-0.053667008309908545,-0.005899885769771494,-0.004874775042028529,0.0005576874931221416,0.004308939381786015,0.032600958199928635,0.002951655849490477,-0.006836875784008397,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.00886545100937719,-0.04729240408572166,-0.10290354425654463,-0.012816980265728806,-0.0023147970357018936,0.0011418376085550893,-0.0045887487333105955,0.040887150540947916,0.007874286936029148,0.02698255121222009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.007704622965791953,-0.03805733896144058,-0.10870185518232375,-0.015249032938609953,-0.004078303481573641,0.0018261992494049296,-0.002557005522691684,0.03717134647071362,0.003977292481323947,0.03379887781389381,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.009873385649660362,-0.054815338940724094,-0.12194837296462581,-0.011296004337137159,-0.00015127790524907536,-0.0025258254033067966,0.004250112731495631,0.040192412790720874,0.008846935495410277,0.04340877492304729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.006743238101834836,-0.04513527746919705,-0.10750897718350524,-0.022567741140399288,-0.0013793132664716727,0.004557692172086757,-2.0701841491721495e-05,0.043798924341149965,0.001872688957854458,0.03547426898194396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.0070463785399561335,-0.04430461149338795,-0.11892921996181427,-0.016736576346599537,-0.0010096640917270077,0.00128198330655046,-0.0009155915078261622,0.049338213875889776,0.009756933823227882,0.030306955616435274,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.006465997676486554,-0.037615410499274735,-0.10439578879948543,-0.02743444042523269,-0.002186891013837377,-0.004479880366960296,-0.0027818671128024214,0.03820596627567125,0.014032934881422831,0.036024181089647445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.007703211398228354,-0.034168638562702615,-0.1029506770019298,-0.019075665971183257,-0.0029665327023552794,-0.0005947007659984681,-0.0021352190038432237,0.04099081190221983,0.0029216731647434472,0.02611053890508155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.0067369276155596165,-0.037729716650817695,-0.11040199893648209,-0.019151678352576234,-0.0020227740219105825,-0.005450741404100605,0.002911130813476831,0.04588477044811716,0.00668975837528706,0.028369124003726508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.007866570185060089,-0.046241614023304504,-0.09844149596665215,-0.018743536775202848,-0.004010921360357946,0.008386729741873947,0.003331855869163638,0.036623351428171864,0.004779132413475411,0.022284730578894196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.012632761204048345,0.0010994272646696675,-0.04156558770200481,-0.008557079554252002,0.0010156184451087674,-0.004346865703878195,-0.002464200334380501,0.008245654060788773,0.008419387523570784,-0.03337878988488862,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.013968926373383279,0.0013350188213845965,-0.04362062599833894,-0.01201988745804714,0.0032290821992184814,-0.0003800990254334779,-0.003510431786594184,0.015036727960990821,0.007720760601046293,-0.037986816289308285,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
