Experiments,BV_OD<--AC_OD,BV_OD<--BA_OD,BV_OD<--BC_OD,BV_OD<--BL_OD,BV_OD<--BT_OD,BV_OD<--BV_OD,BV_OD<--CC_OD,BV_OD<--DF_OD,BV_OD<--parc+_OD,BV_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc+_pH7_1,-0.01862207600887378,-2.39191520149305e-05,-0.010599789835472146,-0.011211855898651738,0.00801760399268697,-0.048786360405830904,-0.007554984572141068,0.01865110268735367,-0.017306788109202425,0.017265597818945735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5480973412378645
parc+_pH7_2,-0.016441498073222843,0.004125216199166101,-0.01238892470203016,-0.017050181502557316,0.0068051518119223746,-0.044143008037429786,-0.012039654082416194,0.020342710253823063,-0.02065273829411877,0.021271456726624265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5469120935714209
parc+_pH8_0,-0.017795955800734786,-0.0006985148016120426,-0.007384571738176696,-0.004024513265441942,0.0012860043812543149,-0.036317379407625146,-0.004088964436972595,0.019429470651742557,-0.009779942288346914,-0.010797101047456913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8455353071301549
parc+_pH8_1,-0.011747996183314723,-0.007765864609214277,-0.0058265089205182755,-0.007588142907732856,0.002743237994044373,-0.036628145360104426,-0.0010515736916061977,0.020911113197874764,-0.017508840790706807,-0.005708747564045631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8378107178569503
parc+_pH8_2,-0.01919230550770526,0.0007067462036629087,-0.007559875477429319,-0.00514883448774724,0.0007391596909450448,-0.032066292814788934,-0.005279378744611598,0.015286290165360854,-0.009060766719605613,-0.008596210048493483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8442380625189879
parc+_pH9_0,-0.008737182528711855,-0.0033416444860884663,-0.009184870568468518,-0.007240894503041128,0.002430504142185269,-0.028237106371873422,-0.006076240757601741,0.018290721820667384,-0.008262362913431031,-0.019812392668960534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.003926186226973
parc+_pH9_1,-0.011507141214147533,-0.008493114309790342,-0.004987291743695412,-0.0100326827954015,-0.0018075710093683518,-0.0268105713205169,-0.0022347856709814583,0.01967440409646572,-0.008303054557586816,-0.015669660310301446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9964236708955914
parc+_pH9_2,-0.013284492235549764,-0.012253918789489116,-0.004314654815294173,-0.005495526382051731,-0.0004973409235801385,-0.02730468092162324,-0.0016999609181252513,0.018707486763191613,-0.004007018734093594,-0.020021362375953918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9996501428774356
AC_pH4_0,0.01827731556137618,-0.010544655875748266,-0.00893889021006939,-0.0028655671164312425,0.0011670964705231394,-0.056210961515367364,0.002057963834832543,0.025112793601887378,0.002108079765963813,-0.040334643102858385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.020888360641572783,-0.016507206810233384,-0.007280354439483386,-0.001964927281293532,-0.002837889275068174,-0.04576400276880873,-0.00046256264752667797,0.032258751339724535,-0.00671319130241223,-0.04178844608771413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.022193883181671075,-0.01624278672080001,-0.007116474474415831,-0.007520027501184653,0.001693952466239749,-0.057806469749902244,-0.0005119449163422636,0.04059382616056372,-0.0031229335587957636,-0.04233249365433079,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.02021801882099522,-0.013981342910100584,-0.008285646803029203,-0.006783604335606744,-0.002839455483886211,-0.04452907483538855,-0.0007411240656738702,0.025513047301412926,-0.0022347547709132016,-0.036507532018763215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.01305522540098299,-0.013688744975496894,-0.012317299181190521,-0.006630073360207934,0.00029274248922972614,-0.03362973248140644,-0.0005623695813119405,0.0239720441405054,-0.0010222262111694912,-0.03964103475132066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.01946550790018037,-0.009585297986176676,-0.00915802205609077,-0.009436512431129813,0.0021117914589526875,-0.05336639154378488,-0.007080677629893891,0.036545705073310626,-0.0042917010536336385,-0.035375870249598575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.013618813894851051,-0.0243528007849565,-0.005282198206481077,-0.0011777921166756878,1.0366195245929205e-05,-0.07704653758353192,0.001889048094010871,0.037498031077177627,-0.0036969169091595256,-0.011631482191302856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.012306489490134562,-0.02704134505586293,-0.00920075900508496,0.004844058095072599,-0.002450713599708094,-0.0928794676620189,0.005637449788577529,0.0382265750521227,-0.007041507656888469,0.007427752473108146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.013756139145192242,-0.027590519507699036,-0.006522458958965927,-0.0020285071606707325,0.0007946377713233238,-0.09249361393892244,-0.0006002607937578265,0.04227172512804037,0.004012683583018574,-0.0017712934096546285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.029776143967781367,-0.021706314495076297,-0.015468498478522115,-0.00739466606153418,-0.004609925633539324,-0.13025036035389032,0.006240937755564632,0.057527542193622716,-0.012126253588206095,0.027839926081993017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.03050674685439013,-0.02399822349498129,-0.01623279363969746,-0.0022516841840241903,0.0054889271056036545,-0.15383642570905226,0.005744708706422344,0.05305059822397713,0.003911146921227163,0.02744553060432815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.030111062806909485,-0.021035591945781012,-0.008992230518640058,-0.0033045807687322737,0.0005452813125093989,-0.15166561416249072,-0.0014070157599432962,0.05542021868547992,-0.0035528883252940752,0.03370989022938454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.038714040534408835,-0.0031993545984606376,-0.007379580704981218,-0.007043030940239197,0.009209453729993624,-0.18193435617196166,0.00012609980190577698,0.047725516056398964,0.0004916337509032174,0.033118110419372494,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.040831691344147124,-0.011907030282461126,-0.008838281816114549,-0.007588812751371574,0.0019521315132632207,-0.17846304629747145,0.004598165027918695,0.054989076795299414,0.0037932723051989866,0.030461365951468117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.040881388090226956,-0.01174815976506342,-0.007615837235732571,-0.006986773297312145,0.0032673718172894868,-0.16220769244367664,0.0016824450017884382,0.05212614707628507,-0.0030998306559479744,0.023529473276525402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.04125296748283763,-0.008344757627776783,-0.01013608682718452,-0.014587369227538935,0.001651889665214266,-0.16338286173023772,-0.0028428584523499017,0.05634785802144072,0.006692806283902863,0.023176942374557256,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.04554347375812736,-0.0031152647628408417,-0.009278777871361893,-0.01297950178202566,0.003499412734830836,-0.17492461538711643,0.001950207761610332,0.05335647634028093,0.00017335254172592146,0.025603768210453178,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.04103544261225538,-0.009079729127495188,-0.0055133475225580784,-0.014121904338750501,0.007603730290075356,-0.1740563453713675,-0.002867926110149076,0.053800427144717264,-0.0015676658624864145,0.034595850127465695,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.01025195574549877,-0.007694585426993994,-0.00939717652397635,-0.006542559294434992,-0.0021438481444088007,-0.02496029530570883,-0.0027989341043259787,0.025230611055360543,-0.003809671496729487,-0.027803053848607387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.018726785191861182,-0.007694585426993994,-0.010135776898216294,-0.004374201475521145,0.0004893878592259214,-0.02368023179714446,-0.005407089205134821,0.0264155828928494,0.0002944196703965246,-0.027352189392499306,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.014411128663417438,-0.008656408605368244,-0.011690549089006432,-0.0005841961768253344,-0.0013471837137299385,-0.026993712566833458,-0.0029967652129657234,0.029756211199716706,-0.004761656489142258,-0.028486079446485513,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.030245191104831582,-0.0045496043303738486,-0.009111795244819443,-0.006297205549300364,0.006015644250437617,-0.04488158861276409,-4.8894039152757686e-05,0.03909755288825734,-0.0029540918771501475,-0.017196296598843263,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.011127351926153767,-0.006732762248619745,-0.008048983482724944,-0.004238627963173001,-0.0018953398343823525,-0.03009270691150881,-0.0010690189021356077,0.02029885881074259,-0.0046519521231074695,-0.02261358425426094,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.01987935437132483,-0.00625185065943262,-0.009392649877978406,-0.004131592242047191,-0.0017954090462349672,-0.029190573558494772,-0.003231264355227999,0.02307041997778351,0.0010364029216377631,-0.020405597624004533,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.02976963729597628,-0.014681442146715913,-0.005600562146459909,-0.00815135524243764,-0.0006905968487262729,-0.06027487821289864,-0.003544388029967313,0.04576955026137116,-0.0002656440602858424,0.007037484886772604,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.021943759077188114,-0.017390253323575723,-0.010968122292390983,-0.005976843572748097,-3.319731650307139e-05,-0.058056103732517884,-0.003636152225991954,0.029560341484156327,-0.0029121790437594696,0.02118480026519493,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.023357562875051217,-0.0198036915258221,-0.0067786474882260625,-0.002189945580194825,-0.0008781937193935338,-0.057535769372733074,-0.002384253031493204,0.02867311890844418,-0.0036972301133462913,0.01778070596249207,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.045566730019838915,-0.01894824066887731,-0.016038033214357234,-0.013447928711488519,0.00349923402901091,-0.04696402723900974,-0.00986151958856246,0.045029761429633136,0.007533799713558476,0.02459221530503229,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.026190196153829275,-0.016698239821454748,-0.010310031558670425,-0.010000673286697787,-0.003071484942313122,-0.06322648347719856,-0.0073572628232448,0.04232215855149147,-0.005272198104016159,0.02963294271582171,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.0352524314723585,-0.015303062576314674,-0.006888791380612099,-0.010144054748968262,0.00013382924093014646,-0.04799717447902685,-0.004545545683687796,0.028349291513188057,-0.003677152905451214,0.025153623656977132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.026330699234310046,-0.015163825193177098,-0.009150536602929882,-0.01201243161568013,0.0015465527005574637,-0.04897064051347906,-0.006139637265435378,0.03838464907087062,-0.003712766744277399,0.011377866562536877,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.0154717498726171,-0.013252199784569114,-0.008233209338808513,-0.005415955661269634,-0.001782453996736718,-0.048940574927862905,-0.00484748076364074,0.021642750176479635,0.001135313882209037,0.004994091451491999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.027056907770507364,-0.013495228847731714,-0.017246156689386977,-0.008348954072950976,0.0008527392481008293,-0.04669467173233305,-0.0058649243284826695,0.036860298709538955,0.0063977718260139205,0.004424564822414971,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.019822072346856737,-0.0076945854269939926,-0.01386993701691213,-0.005927691659282733,-0.0041528263643545935,-0.034793456785745275,-0.007175223593721572,0.031861133550739155,-0.0020590350554203197,-0.006537774350575132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.02095308784881364,-0.009618231783742494,-0.012700735633666423,-0.008699455925303955,-0.001344294527788525,-0.041866668772316824,-0.00782710604997271,0.034018038873884666,0.001695458976875828,-0.0028753861444799785,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.03176571616518271,-0.006251850659432618,-0.01355754623958922,-0.00946872680245534,0.010267640176512624,-0.03831026353103959,-0.003483844516272454,0.03127698112076715,0.0009281140893859704,-0.009806256308017867,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.013952955155349946,-0.013589886008235425,-0.0007540079918892495,-0.006480956473185316,-0.004104034286802229,-0.047248629265181384,0.0005135291725721043,0.03409820747359291,-9.724566065098872e-05,-0.018555490296819934,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.013190424447555256,-0.009811093917359476,-0.0005026719945928325,-0.006386578291978523,-0.00012072706959493712,-0.03960227340257363,-0.0008186087737102869,0.024520545729395486,0.0002363807679680383,-0.024496017312226087,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.007566386650356907,-0.01699166315121819,-0.0006283399932410416,-0.003630277378403621,-0.0005565713556564364,-0.03403906494824459,0.0009137916791698208,0.0236072759512488,-0.0033587641645546834,-0.027921468717167563,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.020379904951171382,-0.00864901511039099,-0.0008027490406580594,-0.003751640848653472,-0.0016950660648391291,-0.028375668627331443,0.0022590404558602874,0.025723526711049292,-0.0014150216632887078,-0.03308496985786959,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.01023509941306775,-0.008890736489354269,-0.0006283399932410405,-0.009410740238735858,0.0003327182295691713,-0.0323791959128626,0.0015083773470605196,0.025075852407304488,-0.003217927288345021,-0.032326377182389086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,-0.02304615333068954,-0.010103547986920761,-0.0015861058478122173,-0.002558673163471015,0.00023138326997666355,-0.037550814826770314,0.001287707146662084,0.030780816645482958,0.0021152445163739775,-0.029741324798163514,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,-0.016221969973538884,-0.018997045441571138,-0.004031210102788781,-0.004022359183948973,-0.000603432203845484,-0.05906273819425185,0.005209232584127911,0.03630426999788893,-0.0015351893538204213,-0.007211026584567583,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,-0.01593051108126731,-0.008242690455897346,-0.004380591244477294,-0.0047375279766223985,0.00384432247961345,-0.07931866979833853,-0.0017875910918835711,0.02810140861522244,-0.0038180888816714276,0.01609847123491699,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,-0.020044782835504284,-0.019069265983998777,-0.006821973228260226,-0.00047590428639365285,0.0020808686554917824,-0.07059356325022552,0.0001578231649878234,0.03250260881391232,-0.004533150850835701,0.016625871593942458,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,-0.020706572563023024,-0.019221218432016348,0.00034994449466466896,-0.00914538845865299,-0.0032143676544175194,-0.10408859817918552,-0.003483007588302312,0.05857180555998955,-0.002574893111039116,0.03334082722623388,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,-0.010684472809181264,-0.01512871445278111,-0.00031807594649169797,-0.003850035771079685,-0.0027766781417733937,-0.08850088617278504,-0.007468705132765615,0.035362979114136626,-0.004865073317904836,0.028058193963749894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
