Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--parc+_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc+_pH5_0,-0.005292520204700691,-0.0015887568305934907,0.0020095674505295306,-0.0032135862663752674,0.0014717343295721896,0.00011121159348555903,-0.026952621638977332,0.004495446653024334,-0.02439203720863746,-0.009777503397983863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08114687964645667
parc+_pH5_1,-0.004999800577921712,-0.004769228242651519,0.007031650212390912,-0.005799654101669463,0.0029909574379132172,-0.0012210837666593165,-0.03012724308904422,0.005262395933108486,-0.0259411201436761,-0.005555941164949098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11230826956373989
parc+_pH5_2,-0.008437914104130041,-0.0058205682587931335,0.0053909809152474205,-0.0022186782891335695,0.004082541805995709,0.0003623211282588867,-0.031095119495066294,0.007942720305620005,-0.023273287293572056,-0.010062064554481567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09911694942295314
parc+_pH6_0,-0.008335466843867757,0.0037481454088676563,0.007850429835101671,-0.004567043202746984,0.004928885593949614,0.0001844750435860921,-0.07200334516910674,0.014239056406178228,-0.04703661962098482,0.03786241506165622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2884225051673924
parc+_pH6_1,-0.010825487939519401,-0.0004461600104063421,0.008131336101796477,-0.004856955472926568,0.008528535295703,-0.000515732668826114,-0.05694424469955267,0.002214021579281467,-0.04855764242405396,0.040143262699307146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29127362738877827
parc+_pH6_2,-0.005973490060145116,0.0018651320466407276,0.004425270706111485,-0.011195773709788108,0.006184844215218301,-0.0005682092414075582,-0.0635310314690856,0.005900379125555249,-0.03806267211082108,0.037826484941431995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2957269459022493
parc+_pH7_0,-0.016573014016890816,0.006494039228266996,0.004429034874774514,-0.011439452526746725,0.009189398317071407,0.000781606854162301,-0.04901857562120194,0.011588164501438809,-0.03268365622710679,0.014103386776177618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5922068579302491
parc+_pH7_1,-0.0095367669844595,0.004764299143470176,0.00772118281871688,-0.006031358253777675,0.008436356923370825,-0.004073301049496007,-0.0440867562442208,0.0035390808953620163,-0.03550976971812223,0.011647966870754633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5480973412378645
parc+_pH7_2,-0.013987557738260159,0.0026575679015165754,0.005191904027622353,-0.007816729237244507,0.008680016951352036,-0.0023609474884427125,-0.047839145631448414,0.01245328769669868,-0.03629330372832634,0.01618584190242236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5469120935714209
parc+_pH8_0,-0.010408673297573367,0.002834597688633947,0.0036332119125670388,-0.0061701075362203565,0.006355735145752195,-0.0013473802092788811,-0.035523398887649514,0.015633202824873203,-0.027538000117258536,-0.010598254963026745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8455353071301549
parc+_pH8_1,-0.00669931691210798,0.0066136543505379685,0.0054226822896010175,-0.004941628412141099,0.00551403155413699,-0.0002510804021933481,-0.03039896063901403,0.01634514851303285,-0.03180683655593463,-0.022926761625972368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8378107178569503
parc+_pH8_2,-0.007821495705284178,0.0030506673057401627,0.003429460835936681,-0.005210021252683161,0.008609545318733739,-0.0034284068699723673,-0.028775234647378658,0.011160010654003483,-0.029560253708420893,-0.014583339544782494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8442380625189879
parc+_pH9_0,-0.008470882137974159,-0.001945599172284584,0.004102836713275831,-0.0024518105816905907,0.006406501865206774,-0.0006474144272405007,-0.020348866250284984,0.005653747828150897,-0.02763348420879439,-0.01779409746841892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.003926186226973
parc+_pH9_1,-0.009716261693316958,0.003647625617500717,0.0030904765955536906,-0.0033883130134326283,0.005214264053223734,-0.0011407191135272704,-0.024978349870981895,0.004731273229395889,-0.019828445015414416,-0.02076061862905551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9964236708955914
parc+_pH9_2,-0.00667520414956886,-0.0009952893450289322,0.0031809473788851628,-0.0072106646756520095,0.007306129755047352,-0.002010623128153383,-0.03378383974220766,0.014357901425708251,-0.022441342539032516,-0.01485708061403231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9996501428774356
AC_pH4_0,0.016305621002355344,-0.005215404360534867,0.00728538720190282,-0.004740262297994416,0.007325575622304786,0.00029082097953347415,-0.049413804247995595,0.014615762934655597,0.008440443806694415,-0.05802320519786167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.012357215461847574,-0.009551592904406239,0.004462037625034219,-0.00041596986717827957,0.008006020316236612,-0.001512423524248373,-0.046287875527455266,0.017134223148307724,0.008196064637690459,-0.05551676650617635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.012368588740734949,-0.0064079859066228165,0.0056878645028716505,-0.0025250840283241923,0.007548960388395126,-0.006027658719508705,-0.05021204617562826,0.013832144668103074,0.01038231942701437,-0.04777617024470363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.011186753354318764,-0.010927918755257018,0.006708682705698859,-0.0026727876439184427,0.01138266114042262,-0.002046407570799246,-0.05065619827622708,0.013074650449536578,0.008299151351624777,-0.04747765470397375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
