Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--parc+_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc+_pH5_1,-0.03282773391060208,0.0303427915720512,-0.004882187114461608,-0.04410622375612349,0.0037039445304190336,-0.008311985720596883,-0.012039180220631152,-0.007213518554749696,-0.05469595251240483,-0.0006122546971006233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11230826956373989
parc+_pH5_2,-0.02983801429726831,0.032779874039975836,-0.006992251372126781,-0.052874046818798655,0.010133751880620484,-0.0179989916211723,-0.00852178361914728,-0.007851139050705927,-0.040748502661514543,-0.00873119628097376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09911694942295314
parc+_pH6_0,-0.03454588512444626,0.04425628774434976,-0.00909205761616645,-0.07469844615451343,0.016645306060090664,-0.0266000286894648,-0.02369778527554287,-0.015386849157917111,-0.060156959693312,0.0526341175713131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2884225051673924
parc+_pH6_1,-0.043954928237135,0.040187399775275724,-0.009136752772914324,-0.06907307657453676,0.01426495918518175,-0.02310599433460637,-0.019684678155361957,-0.009361900185923214,-0.05313748739052402,0.04236015845211628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29127362738877827
parc+_pH6_2,-0.0413785641628277,0.04502235064971382,-0.010387592796722179,-0.06656335593768113,0.011717714574592919,-0.02376767456895955,-0.0165458801449479,-0.007067690612343343,-0.05448344742798287,0.03281185487285256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2957269459022493
parc+_pH7_0,-0.05047203627293526,0.06373005638830365,-0.01234365452364411,-0.04901576555657971,0.013740375301517225,-0.020212533162177904,-0.017141207751372588,-0.0029717256829304563,-0.07468325136472352,0.018727442823431417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5922068579302491
parc+_pH7_1,-0.02709070378104629,0.03272794543603516,-0.006104493275203781,-0.06493618692433381,0.010979620943493818,-0.01855360551372819,-0.011403045993217306,-0.007677470699114646,-0.04419111613953568,0.0056067699874224886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5480973412378645
parc+_pH7_2,-0.05998804440640885,0.064398060562494,-0.01049900811732463,-0.0628904084796491,0.017050642935235217,-0.022092500612058717,-0.018615576669411816,-0.004884980573602344,-0.048772250211433235,0.015651780137711242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5469120935714209
parc+_pH8_0,-0.03019950508787904,0.037253602620862095,-0.004261439015845889,-0.06826479555796022,0.01545945127170695,-0.013517226377987992,-0.019002641041398694,-0.0037652515166479612,-0.035269082110051225,-0.009075413539843714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8455353071301549
parc+_pH8_1,-0.021813371186347113,0.04750493292656281,-0.007940243848639986,-0.07146561583706543,0.009875001248944066,-0.022930008445501974,-0.008895421055267038,-0.0004361885620038157,-0.04451621204290701,-0.010025172998885746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8378107178569503
parc+_pH8_2,-0.04045523837937609,0.0425563820415055,-0.009730568303038242,-0.04410468610206052,0.018251623261476987,-0.02437690209313903,-0.016385037981216675,-0.002531222361342416,-0.04309934875158511,-0.010767301828802927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8442380625189879
parc+_pH9_0,-0.03317455470642965,0.03733175238270474,-0.004530011078180826,-0.047021673658214844,0.0065294296590044446,-0.013449096647698593,-0.003815034553813547,-0.004837976315909107,-0.03534890762368298,-0.03232622725889087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.003926186226973
parc+_pH9_1,-0.024696503386063415,0.030389813759728615,-0.007712421619292834,-0.049008761927809404,0.019317825428493647,-0.018631615595811085,-0.014937660347913268,-0.008633807602378987,-0.035254295912530764,-0.021474872597533726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9964236708955914
