Experiments,parc+_OD<--AC_OD,parc+_OD<--BA_OD,parc+_OD<--BC_OD,parc+_OD<--BL_OD,parc+_OD<--BT_OD,parc+_OD<--BV_OD,parc+_OD<--CC_OD,parc+_OD<--DF_OD,parc+_OD<--parc+_OD,parc+_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc+_pH9_0,0.034374429773053404,-0.06818311259960354,0.027453591452668548,-0.04339886911375367,-0.010959485186182932,0.03181732882786056,0.0444939530478871,0.004616233550983924,0.6198293301139187,0.17591158202646867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.003926186226973
parc+_pH9_1,0.02909054241264644,-0.0712339042564449,0.030244535238522538,-0.03950204262428957,-0.009539190067545222,0.03360594516862992,0.04253167381915062,0.005182447595440829,0.6304573440486969,0.16694093664217255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9964236708955914
parc+_pH9_2,0.02946888351893942,-0.07105440140580352,0.029126851477700732,-0.03749200511885725,-0.010932191351185673,0.03429523654282094,0.045967121908198225,0.005473587885498997,0.6170073773825296,0.17513372943453168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9996501428774356
AC_pH4_0,-0.004128919901407284,-0.012467886792576828,0.004429237910586853,-0.00299426892205425,0.0005783333062477744,0.002371509716562603,0.006122538588293222,0.007770094123223555,-0.06831435129856285,-0.04181139528265466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,-0.006410838530763336,-0.015714078239448693,0.008056308395512723,-0.004623021698840285,-7.993354259625667e-05,0.00484580560060947,0.005980744063854218,0.006570460009186165,-0.0637399417647849,-0.04333061349294757,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,-0.005649990572229677,-0.012498091962998326,0.004030673905559208,-0.0028871349779808005,0.00035769591836825714,0.002035551625101463,0.005637008682217287,0.007624017000198365,-0.06502377653899401,-0.04207106220171504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,-0.008055254742503164,-0.015603118140412413,0.0099569223659194,-0.0007987592450302588,0.0007435964161287188,0.002281561077612897,0.006541777868633686,0.005745923624414466,-0.07396665265216776,-0.035291105727462656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,-0.005894839637305425,-0.01206460012203973,0.009026803814846537,-0.004776344488820304,0.0010983635647141415,0.0029486245321838755,0.005510601934207523,0.008251445043994035,-0.06769585535902045,-0.0448493080942527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,-0.006307996044988217,-0.01532612440702708,0.006437741916464723,-0.0028936643736517946,0.0006012452847283816,0.0027649652844537855,0.006445818658432236,0.0087641764594161,-0.07098696375022763,-0.037944307528112245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,-0.007241040597791256,-0.018851471591902817,0.009548240785041583,-0.0049449262897605486,0.0006965270460299835,0.004255468108407829,0.008218518605698708,0.011128665254167891,-0.1089553120003446,-0.002299778208784435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,-0.007609507266594018,-0.020898897197583446,0.006281930512708166,-0.004739081402835637,0.00021581397756286437,0.004375357328225737,0.010005011705924634,0.012330962338525318,-0.10850360509170137,9.690737270790554e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,-0.007554071976438813,-0.01924706591698138,0.007373381503250284,-0.0033663649759862733,0.00010693668347338066,0.004770246680987919,0.007977498381034188,0.009172158847036569,-0.10663556950247809,-0.0010422574858302651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,-0.00885531106396862,-0.018300670241208183,0.00949906783097464,-0.007291763091216915,-0.00040494051802417646,0.004268155421899713,0.00779116809692072,0.009456230170376922,-0.11666784946523288,0.01206080389249584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,-0.008564004415403243,-0.0152765713210987,0.008176783062517642,-0.007606339461129645,0.00047260282480198347,0.00365950311007707,0.009679960297501605,0.007806371181555419,-0.11824038428132949,0.011446969880034099,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,-0.008403746812887816,-0.017313559042370835,0.008882161568364372,-0.008670055394911249,0.0009264335959501875,0.005938236290669961,0.0074294192829857724,0.009982642218794514,-0.1179897730327819,0.010773132722014966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,-0.008943073130820111,-0.01600276501120432,0.009430561992137328,-0.00801565823023734,0.0005406062628911891,0.003267424866233184,0.00775390862122826,0.007712636377824393,-0.1204978324699661,0.016309083154344043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,-0.008854291173427002,-0.017792653804240013,0.007751779331137304,-0.009577690163708252,0.0010349960398414867,0.00550180987333474,0.008326052185957847,0.007063754416354327,-0.11777467820631425,0.015875814361092838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,-0.00886778011918068,-0.017928571590910786,0.009110037337826645,-0.008992570016695105,0.001266388611301131,0.006209974625836248,0.007031833940873975,0.008205259170221248,-0.12129972246516009,0.016820042899445352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,-0.008973425639712295,-0.013424811696876647,0.008328366256926368,-0.009245576210643935,-6.011074813811667e-05,0.0048504915849670125,0.007633821611171182,0.004397492794239004,-0.11809115239783476,0.016139796917205268,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,-0.009305151733367342,-0.014250491538449471,0.008618655381319316,-0.008792401456638524,1.9266053062417654e-05,0.0055994105792563885,0.006641694409367832,0.005955635565130607,-0.12041277248736312,0.017481046779000243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,-0.0090140361500823,-0.017508464886442476,0.009514072461296683,-0.008271311751526334,0.0009282424900194879,0.004367425538923431,0.007760824324644131,0.008046771487140138,-0.1251112740681223,0.020842642636726732,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,0.0021458143578923275,0.018879062057189328,0.008908133613674539,-0.0015646528031515042,0.0017738218540730686,0.002871820343577344,0.007798520394641421,0.008283473496203836,-0.10469198449474314,-0.05284911809732085,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,0.0013842815128357502,0.019074255736625717,0.007517757240844809,-0.004339100349208585,0.0009231695532798766,0.003271094518511193,0.007370669848245124,0.009844333380460741,-0.10262945811709633,-0.050862112479365396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,0.0005813235368417667,0.019203544158650478,0.007997399507009463,-0.0033455044160718506,0.002031881838389065,0.002129914099755495,0.006926962545384533,0.008191061013418694,-0.09998519221239768,-0.052176499225847106,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.0016477901002635114,0.018887877895132358,0.009978052850650706,-0.0016206586166568446,0.0008609133084183142,0.003851682145310486,0.007032356544033341,0.009441019043974253,-0.1244039199436488,-0.030824639942982925,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,0.0011830661251493117,0.020933586908099436,0.009288448037012764,-0.003918089205804079,0.00093215263084225,0.004644051880940146,0.00647755091281041,0.008518967145810958,-0.11214876965174207,-0.04435607406108276,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,0.0014115199543859643,0.019681674368355582,0.008207704036132149,-0.003354333613229835,0.0013411856442689886,0.0038350255916947914,0.008628137804891753,0.008562175589411157,-0.11804250748261161,-0.03871569117126258,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,0.0003877191245555879,0.01506327454486619,0.009036546783602753,-0.005503695432258689,0.0008523036086041009,0.005066327455898989,0.0076337683459986785,0.012683376141864322,-0.14952950947310606,-0.004135220377989438,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,0.0016521886768548386,0.01536728689204092,0.01057482541579267,-0.006178795189961146,0.0009768883236076515,0.004422655021366866,0.008272294674230659,0.01283715986039328,-0.15361643741960113,-0.0027531755326882634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,0.0013245859612589282,0.016358833170455434,0.010580920379446898,-0.004823882035587146,0.00019901533165703683,0.004771420767773754,0.008573726457746133,0.014904911187679873,-0.15455909331855566,-0.005775547179838885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,0.0029031343304592636,0.01651380973017734,0.010569193515440693,-0.007921300329591919,0.0007647312043801612,0.005519020071496135,0.00851409763421701,0.0085525318785854,-0.16581638955227704,0.011956062423794168,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,0.001852839514613151,0.016107368291072222,0.010263082187460817,-0.008352634404664456,0.0009536113395639082,0.005405478629729023,0.007955202453810236,0.008273265970789869,-0.16440924953507338,0.013505926397831549,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,0.004185267353187438,0.01610160270786804,0.010030229933883835,-0.008412794111215552,-0.00067153751850128,0.00541187619385512,0.009200864427763484,0.009099254669702572,-0.16546019037132678,0.01207031743681949,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,0.003501800914173539,0.01668165919249473,0.009830234802287558,-0.008672265961118366,0.0005221750198499028,0.005079857784768808,0.008047938392214153,0.008916972179127777,-0.16848432193955648,0.01613084033779476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,0.003099414907071901,0.016722237147066908,0.009420490488409995,-0.0076980966977451175,0.0008191100896700579,0.005443538155244744,0.008091361027048981,0.007202227018449617,-0.16703933153139508,0.01549394011821436,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,0.002226672227615895,0.016920980166481886,0.00964756255564482,-0.007377586928398716,0.0002749194042838138,0.0055501298833152525,0.00896762563482575,0.008862392205906955,-0.16971556944691615,0.016197765019276868,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,0.003368996271620626,0.016621497623298478,0.01040704990858617,-0.007942497412795606,7.614667324916059e-05,0.006322759623112887,0.0077367621465869564,0.008467172776227414,-0.170025365397982,0.01652236851013225,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,0.0031142007851082364,0.01667605100442534,0.010067065108729444,-0.00740824375787507,0.00018946373592252213,0.006549216670834499,0.007455691380993181,0.007763881955457772,-0.16980021350409674,0.016947777342537176,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,0.0035446280079043427,0.016666936624957166,0.00988294115209061,-0.008193893503883611,0.0006325436351091986,0.004554564373000808,0.008924966075498125,0.00714506574622963,-0.17075595227272614,0.01915309088385624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,0.0034945999944339624,-0.008209941014647486,-0.003321873600716176,-0.004062060313704222,0.0005515795444016869,0.003462250885432181,0.004335210177561511,0.008869491371771567,-0.06709712532227455,-0.04646724032643048,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,0.0020194580989039462,-0.008841391610710517,-0.003006940027293951,-0.00298384038326533,0.00010761696359385653,0.002135398451076902,0.005298980796790641,0.006583571736903296,-0.06350962667847458,-0.04624833639225234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,0.00333717932195767,-0.011085072843276936,-0.004248435853616051,-0.0029673065747255877,-0.0001363946481243426,0.004981943100042964,0.005463490669170152,0.005797137472292654,-0.062436550123536064,-0.047151099564912535,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,0.003884880847257116,-0.013763493864756561,-0.007990401879600855,-0.002935420261776966,0.0006300184908120533,0.003775956862322663,0.006142637579013473,0.006438803586946882,-0.07060962154975405,-0.03401846902687912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,0.0018507498097808468,-0.012725617986010468,-0.004521329338135927,-0.003657049849305464,0.0004927198507863536,0.0035487314475619283,0.006697792035082112,0.0086589803757227,-0.06723640382613824,-0.04155368060521458,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,0.001929632839949235,-0.012995975526130717,-0.005892790416660517,-0.003266038512406143,0.0005890047307247698,0.002107484965868619,0.00801615853510473,0.006387918593119021,-0.06616659660378228,-0.03915390651025202,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,0.002485528803713943,-0.018248060674447085,-0.006855273687321207,-0.0010117063282624537,0.0008580381925339293,0.0038564496535969804,0.0069839645306701255,0.010767521229775057,-0.1000246989597445,-0.007256871053706045,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,0.002992198530422604,-0.017714451115740378,-0.005887161985687588,-0.0018896467303452281,0.0005933517606362072,0.004993128138391867,0.007785218179873799,0.011124856277652412,-0.10705800810099945,-0.0033845929104996757,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,0.004288748251679151,-0.016257918311849886,-0.005669555651104969,-0.0032049115698622637,0.00014711096720851087,0.006170166688768758,0.007963168183746545,0.007776206824118679,-0.10457167974794689,-0.005086443163454532,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,0.0027190093971464963,-0.013832559920847419,-0.006164600512255794,-0.005004350486332956,0.0006322778016328805,0.0033731745896132103,0.00850114508977403,0.009532322238968766,-0.11980898039820402,0.011607453000286354,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,0.00501976067767195,-0.017060977743695614,-0.006175295451413031,-0.005746858150738737,0.0007073457215143286,0.005977175561306269,0.008250573146278445,0.00775327660629283,-0.11842122653418263,0.0112511171222381,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
