Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--wt_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
wt_pH8_1,-0.01840304291604654,-0.022819867449934066,-0.05023224376789901,-0.010373476068286794,0.0004899706270383746,-0.0034496798771231074,-0.005091966978557731,0.030268914362658626,-0.014146315431141336,0.013111688144828963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8378107178569503
wt_pH8_2,-0.011813744475012237,-0.018680208417708462,-0.04341071542190468,-0.018115863842160806,0.001559553274317928,-0.005344065181587055,-0.006114914355718571,0.01879936583178199,-0.010663436635032943,0.013138008637596732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8442380625189879
wt_pH9_0,-0.020602498895124256,-0.023152818041651146,-0.04163778194428786,-0.01913972594005906,0.0009655776474138962,8.571042152850572e-05,-0.006081043209718619,0.025223839146935424,-0.007189298353117446,0.010882019813617938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.003926186226973
wt_pH9_1,-0.012632043826515258,-0.02159506568118282,-0.03641336184642885,-0.013812773172622144,0.0013588690207056375,-0.0032686731624214558,-0.00596248359945805,0.02215873639544715,-0.01812978803463604,0.007650564552649208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9964236708955914
wt_pH9_2,-0.009943065497538319,-0.02097192471927923,-0.04453111449823432,-0.014413923791245275,0.002896610430401304,-0.0013482675409835318,-0.009360371018233504,0.013218739442527295,-0.0061630533732797785,0.00997034863933273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9996501428774356
AC_pH4_0,0.0026582277469013055,-0.0262525772837841,-0.04112527910781943,-0.013605053944756154,-0.0005981113194771434,0.0030711270803990567,0.0008150774548235147,0.020605420339042724,0.004199167637397414,-0.030414018676332807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.004349827222202135,-0.024776073333037944,-0.04295432748354001,-0.009247108024099598,0.0013468712244344796,0.00016898806652297077,7.957010651412215e-05,0.02152917276420023,0.004970794475596885,-0.03611373433438332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.003866513086401899,-0.02005943814373535,-0.043327797337070754,-0.008555725445242031,-0.0017949564625387622,-0.0009657149583749159,0.0020809409022331245,0.01684460116307373,0.00479237222477146,-0.033526814322432756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.003383198950601661,-0.03029868526951127,-0.04203911786979955,-0.007922653241649919,-0.0007060018230391585,0.001948610944268494,-0.00186040480337713,0.021005821699357552,0.004684757420226285,-0.02884154558181762,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.003624856018501779,-0.027262547918311928,-0.03953261471474949,-0.008882528877128726,-0.0008365334019712776,0.0006607784509010939,0.0001091223760791451,0.018930059846328652,0.008988340505115365,-0.03644495241667914,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.003383198950601661,-0.023292917628651082,-0.04225176677917657,-0.009413748783585817,-0.0035238796812684632,0.0017488763756726103,0.0012897240629662645,0.014521864859954171,0.0036942109805734266,-0.02680158250519763,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.0010532412451246522,-0.037540247043513726,-0.042338710505029443,-0.011034144772135688,0.0008534243540919333,0.0015594208321493607,-0.0013672525597655252,0.017120738385812097,0.0027246044576168067,-0.011677094338380774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.0010954727362031524,-0.04737835990831905,-0.05779919042697419,-0.01206800607073566,-0.0017251629220402752,0.004143172554347825,-0.0020442300986336613,0.02913374978401091,0.0045454643164639895,0.0014510699944651644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.0011636141525662468,-0.04103701735158329,-0.05844561046232349,-0.009680051599507746,-0.001990224696371867,0.0021181725694433507,-0.001259187466424444,0.02490486018359661,0.0053963380614700535,-0.001816913461231668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.010519120233214418,-0.04392970709373122,-0.11213967876103913,-0.01438381444014933,-0.0021398523871017545,0.0051886260736247755,-0.0026561747394178215,0.04259223265816336,0.010730634780357714,0.025572594477106702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.010924388571925785,-0.05404970235636701,-0.11712624738073865,-0.020836714336081693,0.0007277797146335908,-0.0038806625293648814,0.003042508091615595,0.053251086677546085,0.00963551191856032,0.03766603240014419,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.01095220392164977,-0.05577869310651136,-0.12366076473470618,-0.014352294674710084,-0.0006779405490859688,0.007770021684143854,0.0015438487785665914,0.05646904168893461,0.006540267569539339,0.030548289610963796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.00694075902519019,-0.057994123379821357,-0.10700625877665439,-0.013532264075525425,-3.377038499583382e-05,0.004554170778264169,-0.005732014475633268,0.04743219330906869,0.003635129586833976,0.041090158666281594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.007046378539956134,-0.0421376971349768,-0.1072260029371018,-0.017756471141524937,-0.002956814084040082,0.0026303954357686245,-0.007342235596607562,0.038654985353350636,0.009498412068123407,0.03894302972470938,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.006336299802946008,-0.04014582939284004,-0.09852384667033735,-0.019062144121398093,-0.002389806878307592,0.0033370261396402905,0.003690467792684618,0.039307972163609824,0.004091298249752626,0.02271254280501086,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.007396768707296123,-0.05943663091277301,-0.09961093009652004,-0.018793220353191312,0.0029235305135016858,0.002627202196289663,-0.0013093979883453109,0.04303175975123177,0.00899179375204055,0.033533103478991466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.007326335142488064,-0.04067573858667975,-0.0979671194890271,-0.014035094249183713,-0.004050811626341032,-0.0006840181334511094,-0.005985781918077365,0.040140617899596685,0.006603090701543767,0.028682500162850254,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.007578012982140419,-0.042451400831341746,-0.10310315335574355,-0.012972027435898781,0.001436988959169907,-0.006384188534448974,-0.008801753209984818,0.04426322799337946,0.00697354181467191,0.03281473147966292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.012064331538327365,0.0013350188213845959,-0.04667523222287064,-0.011260706910296627,0.0026369481242221327,-0.0008334817445796472,-0.004091772935960603,0.01678755645842656,0.007478805576329644,-0.033958822982790675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.015383981126158136,0.0013350188213845959,-0.04294759201938691,-0.011709388483153737,0.005156353499902331,-0.002701968176533348,-0.005196641419568787,0.022716667401077955,0.011629984994297442,-0.043544473053644527,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.01281075891431259,0.0014920798591945479,-0.03641877671784681,-0.01598541015516157,-0.0006821408576291537,-0.0012423323402586204,-0.0024913864080672674,0.01695712875250889,0.004034088469393876,-0.03349851148284,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.01261831616253957,0.0010994272646696669,-0.05448399533720121,-0.010832544529567596,-0.0001724730480624283,0.00023202673248622709,-0.003910868159778739,0.025980917336824148,0.00673654769425807,-0.03267674245426189,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.01698748843825382,0.001335018821384597,-0.03734695776487173,-0.014487095897936305,-0.0003132570194809331,-0.00010306202199148178,-0.0031828352954724574,0.014407907000378424,0.004952793856677803,-0.028921042594896716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.016006404733204325,0.0012564883024796193,-0.05629909261575213,-0.013698361117554746,0.001279243472153725,0.0008966068405172092,0.0024672902877564025,0.02117234142578166,0.008479140352295793,-0.030193271568935857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.025299660249248793,0.002212606979453046,-0.08673789603554685,-0.01721230530382499,0.0027729173182793284,0.006628541910777919,-0.008616282967445642,0.03432917381272368,0.010538908285291299,0.000737976895078368,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.018006895584580695,0.0018795077956241114,-0.08997410092826774,-0.020617366426664854,0.0006060036012659895,0.0020893400032883096,-0.005434290096163749,0.028351818642214584,0.008678587195665942,0.011781376443155434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.020205966057660785,0.001927190552587095,-0.08753143258878716,-0.01842290546745062,0.002048183890140574,0.00045401504830173695,-0.007022835309414761,0.0333253583214853,0.009084256019281306,0.0056981162370547,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.027737513472852495,0.0028251843348793353,-0.11130786262128664,-0.020075635275115137,0.00328655425135208,-0.005420437814748807,-0.0086219024301871,0.040718045534323094,0.013524678746319335,0.032162869146660625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.025205976898255558,0.0032454655546209077,-0.10117620705748381,-0.022369257938926634,0.002275243856660697,-0.0008129001716556765,-0.005701958057673081,0.03283954414336577,0.009150051095563431,0.02710997602861861,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.024363816390218944,0.0026152347611344386,-0.10827932309035374,-0.020356280789103197,0.003575320935443691,0.002159361452188181,-0.01037669106670048,0.024701437305497086,0.009166346082220906,0.04051239144542944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.02830834514906873,0.0016083953950716092,-0.10647322928290004,-0.020482999024831736,0.0033114812328763617,0.0009506610473212985,-0.012696856197131717,0.04041788307383009,0.011210231172001883,0.029816758378368363,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.02313782098500625,0.0014505238377529647,-0.11218461064702791,-0.022677138084950657,0.004207844220749708,0.0023719194482849973,-0.009885399139121818,0.02974655050298442,0.013274133080697576,0.03618797841117434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.0281418832099956,0.0012647452173025723,-0.10835386344272158,-0.020458049221855144,0.0029733712631075273,-0.0009567961096763604,-0.012602775313931959,0.03172450949964316,0.01618713851208272,0.03771758345158204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.03859659942271916,0.004317104881224425,-0.09120231719768564,-0.023035593758458685,-7.479012012481845e-05,-0.0020850469576923734,-0.009704931391322096,0.034196243959924454,0.018229019466949544,0.027310890971642476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.030221049004922743,0.0037275541411793756,-0.08490821461800648,-0.024223306098062065,0.002334182278617568,-0.003343034689517125,-0.01328056354237639,0.02923768416694972,0.0161487333751891,0.0238819946364864,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.03288179965446824,0.0038636578684267788,-0.08916780544849842,-0.021991403183859327,0.00421284323801165,0.003054834325676378,-0.014175334004280357,0.03785743612958037,0.007713977911550065,0.020867573463398476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.01966052029605793,-0.03796785739938849,0.05500805381847464,-0.019017750233735725,5.0977486307205575e-05,0.001850202448018219,0.0034690122695072824,0.032525183126006434,0.009036534746056018,-0.10593985583471217,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.02047658525731253,-0.03530078943170931,0.05500424708199242,-0.021604125535358565,0.0010878450779811184,0.0062323496847049055,1.2691822712835984e-05,0.030147432064556553,0.006740259001760379,-0.10248934377308776,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.017570085676143998,-0.028554330918452015,0.05512623147796029,-0.01995051740790191,-0.0016640687685297907,0.0023005405214169762,-0.0032660147126602106,0.025985325995994655,0.007690461475564088,-0.10074356128988059,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.016594513904141343,-0.03804285062396008,0.05600717856670204,-0.024122151713008466,-0.0011709072359878097,0.008154784873451877,-0.0037201292019175434,0.024993210713500556,0.009562417602409487,-0.09571305878784343,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.015519112414963869,-0.04258630502969026,0.05457651199530001,-0.022432146235976537,0.0027732909940507097,0.0031080885344873304,0.000619553162351898,0.03085509538326574,0.004262302127545295,-0.09630329841828866,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,-0.007020785172024498,-0.04547015009690886,0.05529560256911361,-0.022268777368185312,-0.0022671735383894137,0.0027752733829876654,-0.003903348321176094,0.028111228667523556,0.0015176827379542858,-0.08741557262999854,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,0.00576592671968367,-0.06339482752849228,0.12524942205651945,-0.03500936480481988,0.0026183108823454888,0.02354038644096125,0.003819886852541699,0.032478288609696475,0.01038240051949802,0.025143335390350095,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,-0.0022979670163729925,-0.05848573186799234,0.14208057519696324,-0.0393346934101504,-0.0006248055155510503,0.00984954327182925,0.004707850698867568,0.05633881680829371,0.008880511117370237,0.058378362783595254,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,0.003901307456519293,-0.06191374616130539,0.13922199699703763,-0.03250291661885769,-0.0039145458424868825,0.015007430817122044,0.0008159630988603063,0.058004651680264786,0.013716620388238326,0.040758750493759696,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,-0.04211210038350976,-0.07499757215218698,0.159132425373663,-0.06472266834067261,-0.0012085489944919329,0.013250812408716782,-0.019760581959524882,0.06444377008339633,0.014032754485049974,0.11831316318200981,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,-0.05487490420270223,-0.05904972048557323,0.1560738123985736,-0.05625410371500511,-0.004755465441747854,0.009587976151834363,-0.027399344909126346,0.06845134227334157,0.0165714338146474,0.11806229999693842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
