Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--wt_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
wt_pH5_2,0.04282959961534842,-0.09663343880163586,0.009488029330968853,0.013278813244693955,-0.011621891211556356,0.003649721523827832,0.04373488928636779,0.016939582895163598,0.03425056271416984,-0.2605025838485554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09911694942295314
wt_pH6_0,0.06433625380873034,-0.12345632062172114,-0.014253112551472763,0.02034456060065523,-0.02461374620785532,0.006030295521992699,0.061133949791445666,0.019768480138610236,0.008230922393824744,-0.066648966246487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2884225051673924
wt_pH6_1,0.058928451110487404,-0.11264939346067285,-0.01739375902744738,0.019121440316995853,-0.02255170893248009,0.00636805392801762,0.060984611473167714,0.018224005601166382,0.00977565958772016,-0.06260930488452963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29127362738877827
wt_pH6_2,0.06154266773844546,-0.11980264658999185,-0.013362593669444322,0.024361437818278434,-0.020031976890952694,0.0010138139412131013,0.06469687829603968,0.022488286279789774,0.0038120901212096163,-0.05507757232807902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2957269459022493
wt_pH7_0,0.09601622697046919,-0.12993436858948812,0.017408563847775036,0.01441574214998147,-0.015036734788800065,0.03297648340058714,0.07872048649531992,0.021128439088554492,-0.028960055111219057,0.33480051402002586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5922068579302491
wt_pH7_1,0.08429080209978249,-0.11574912637553136,0.005011429377710035,0.02410013524329534,-0.017399117612968328,0.03615124724238464,0.09006542984396221,0.029323148364606106,-0.04762075311463811,0.28938221671335074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5480973412378645
wt_pH7_2,0.1002679559102525,-0.1359811372965898,0.002230421215619734,0.01797761012516591,-0.02130809995953156,0.041787162551089475,0.08040529207528933,0.02714565847797885,-0.024300810037099784,0.2878364733622774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5469120935714209
wt_pH8_0,0.09082343189612675,-0.14314221028319524,0.013530423285682557,0.005442828118963085,-0.028100458085536958,0.04795477426165472,0.07309200517104372,0.019593406254020725,-0.059477141333500974,0.5211665269157484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8455353071301549
wt_pH8_1,0.09859056686496606,-0.14947871528241954,0.013913368263646314,0.00557112310324674,-0.030645779943012662,0.04748910152879744,0.07678910120916754,0.025154477808948427,-0.05699977574950974,0.5051883897379689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8378107178569503
wt_pH8_2,0.10550221882760527,-0.15047671520596614,0.019706385296809924,0.005770599961118853,-0.032206801409306735,0.047969165934330725,0.07752221110560323,0.021995080074538348,-0.060332465391282175,0.5045417442990711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8442380625189879
wt_pH9_0,0.10230142477413882,-0.14362520681127267,0.015424584191616469,0.0043200983803557075,-0.02245948661037763,0.06029029905067193,0.07677198315606172,0.017190160956233737,-0.08101852340461767,0.6126429032153734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.003926186226973
wt_pH9_1,0.10197824548929928,-0.1475668816146968,0.01966824941984985,0.009052225127006345,-0.025847990994706093,0.05320029329589526,0.07248516436585266,0.018478002872156077,-0.08264068624166689,0.6170901049786935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9964236708955914
wt_pH9_2,0.10663954551129232,-0.15248885966270515,0.018357344430911793,0.008113361333051463,-0.01959465562244472,0.05746969260599302,0.0727874282925673,0.014374755176351135,-0.08430658604463806,0.6170991137656181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9996501428774356
AC_pH4_0,-0.08101037933045756,-0.05084301402873318,-0.0009313525874977525,0.014463028847037452,-0.003755567705501682,0.017711602233188312,0.034346217157562135,0.012370117216816407,0.00106589174222039,-0.2908314571821172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,-0.08482112330587013,-0.031819123969129906,-0.0028793481178581728,0.014410208174553902,2.5135171802152243e-05,0.013143083164873332,0.037979384262276726,0.000794217302261482,-0.0012804586723770806,-0.2912029306606755,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,-0.08396385316939461,-0.05200580111502307,0.001118215240700091,0.012045642709278537,-0.0016255147706555283,0.023109143126917923,0.03664437060608811,0.01052089226472637,0.003265928887640654,-0.29359161066296313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,-0.08708020285338812,-0.043022703287880056,0.005052174092472891,0.01948926479920098,-0.0025252480294717444,0.021959877674994254,0.04033181126998817,-0.000967104127225672,-0.0010191566942502615,-0.275956387170793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,-0.08658518965072606,-0.03826468220709458,0.002634924307627524,0.014990976422053316,-0.0006022399169919306,0.016958613735826123,0.04107264543357103,-0.002536282887601339,-0.0010167394157337072,-0.2773291131149492,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,-0.08577348125045715,-0.05252336392422085,0.0034059467474403587,0.013395867386589884,-0.004169158501469577,0.01709844535216689,0.04294200997556681,0.013014261676403484,-0.0018900015107963387,-0.2734905611585987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,-0.0871679173766271,-0.013110117765710404,-0.004755235153209905,0.016878176512115685,0.012297465969686923,0.01846513886814532,0.04338875783850318,-0.004572056846126266,-0.0039445612765848645,-0.15531730825486395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,-0.08281819975408528,-0.019859589320486003,-0.0009201092151520018,0.014164194403945101,0.020766545667758457,0.022929598613763626,0.05428410293534398,-0.00941599687723362,0.0025102321487729955,-0.10421738100197653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,-0.08923539857420586,-0.039441257697408624,-0.005373805252754168,0.009351096173505418,0.0249311752827919,0.0260875353006565,0.05691628742396183,0.010490414401435328,-0.005041116899608267,-0.10389321769061292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,-0.23844629843678805,-0.05738338204019744,0.007948333987885199,0.02487811502960064,0.01505012047760512,0.062396122387245935,0.10613315175084963,-0.005872441706774028,-3.6917531295958155e-05,0.09494031616041193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,-0.2360203018727834,-0.06488380925243964,0.002834881078451863,0.02875172505803081,0.009292550270810081,0.05424297282148317,0.10605421721125428,0.011842717213313217,0.0009084996200450061,0.10291594593583243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,-0.2428308528969469,-0.042600774773922934,0.008484303926968055,0.029891487574609715,0.01541105546381162,0.057554468740911614,0.0819609133032677,-0.00791045108000221,0.003870525325284053,0.11090229402660676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,-0.23111186446702997,-0.07753602067008614,0.018634985439155406,0.033999028541147704,0.0027575549410413123,0.06582285526492025,0.11026682853374788,-0.002908478980155093,0.015081696319191363,0.2774190451528715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,-0.22203854049677438,-0.08409676938439192,0.02181672553977242,0.03630996744917786,0.004834792870704244,0.07517663896083833,0.11337670686533272,-0.0063035209533637,0.005097198717134145,0.2963296747790731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,-0.22091151372327103,-0.08420161967287243,0.009673913404669445,0.03176675977671275,0.007026077167981348,0.07852987594335625,0.1065512281939711,-0.0024949299503603793,0.011788808773879124,0.30530079686447326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,-0.21445699073617222,-0.07979293273680885,0.015094426752918442,0.03711460233463542,0.0068728012923637135,0.07010470067839258,0.10004597834675859,-0.010037504884859782,0.014598495970763571,0.3970308988330804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,-0.21037472534924745,-0.09909451679043146,0.02222334213797813,0.037809687612335316,0.003587574187018298,0.07913728561657281,0.10971754828063043,-0.0008510827289327282,0.012015415210600771,0.395545343203551,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,-0.20934510053742836,-0.10114445800285625,0.02313716994517525,0.04026052911563411,0.005907020730816788,0.06060708208414523,0.10602466241092136,0.0060071786776509,0.015579223955131097,0.4103274526779095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,0.02584587670133814,0.014772146253482166,-0.006382254813190385,0.012405487528151793,0.00400977104497344,-0.001756035868564378,0.022452206770363043,-0.030357970309484273,-0.020935339072476265,-0.3818997175724286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,0.023173617151282407,0.006607668359318506,-0.0010533866626412955,0.012572334789387563,0.006084633509264044,0.0074986249678160736,0.025796983865616106,-0.03782282561711642,-0.02272401381769906,-0.3804256177904166,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,0.033878092166522274,0.01609695069491864,-0.008454519984028913,0.010424790657732793,-0.0017459236093513334,0.008719902663775106,0.023714851545088966,-0.035296060830840595,-0.021226538055292943,-0.3854246690853134,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,0.04580786217975876,0.022582743532307773,-0.005631974375118381,0.00959520857781172,-0.004060520316757588,-0.011310348082333796,0.01806211405150268,-0.04822110760876019,-0.025363420887809737,-0.32257667413629276,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,0.027274493017922275,0.011659173171805301,-0.009509577814327633,0.01646694800128107,0.00298157000752247,0.002246180884540079,0.021659523122336547,-0.04140826595056315,-0.023860485296210533,-0.35086525278165936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,0.037082355745622644,0.017743585874205044,-0.011550250604100847,0.019693041018655752,0.007754976388228979,-0.003448008351513867,0.022766756219384458,-0.049349621391004836,-0.028392525901613033,-0.3430515350952095,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,0.07489479057004919,0.059874008045248395,-0.031173430510351204,0.02155322959403628,-0.012038040997703442,0.002831818722188476,0.031183987276871553,-0.051246431214815875,-0.037739183191695946,-0.1360743436233505,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,0.07419001520732825,0.05523434090387563,-0.02878638337730714,0.021853519734805045,-0.009040302764624355,0.007826189117749101,0.029605288715304236,-0.05469675904625785,-0.037758869473700954,-0.12662838794776926,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,0.07581830428994221,0.04665675308069455,-0.028080478660438377,0.018652822495154712,-0.005851896150928479,0.011298140392679233,0.026658318603168363,-0.05609125345297482,-0.040809794425478454,-0.121474194843322,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,0.06473432022187371,-0.06783694110972725,-0.02251156063669403,0.029082677668041512,-0.017194190763099026,0.01916607605374378,0.06341447513631504,-0.0494992594833931,-0.058057288436785995,0.13107012904775533,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,0.062206482216715805,-0.06961888907072336,-0.019827675202294535,0.034696476273238665,-0.006556181676037935,0.018003771528601643,0.05842135179625906,-0.05233295819519654,-0.0652462467810382,0.13913697534443245,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,0.06298457423872922,-0.06729381434457457,-0.020088263949298347,0.024896065674560215,-0.02638713953044752,0.02020274988254128,0.05786107107753989,-0.043219235762953764,-0.05989930479746798,0.1485849585295047,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,0.04301723437869678,-0.05701822745735228,-0.02109370304028626,0.02573181079295665,-0.006256790381410853,0.01233234575504194,0.045557261618745064,-0.033514634723896576,-0.058761435006947596,0.30851879818041045,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,0.04487857842898885,-0.04732980626756731,-0.01811575522889261,0.01873682902397022,0.003914594334428733,0.010990365060127289,0.04586086418641648,-0.029711346947790488,-0.06037749705755195,0.34683646408517094,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,0.05418637979694684,-0.04707471138919177,-0.02032432501568743,0.021003684692246748,-0.014995091670071303,0.01131798292226765,0.04796012515688073,-0.030596668576092837,-0.053327955861130476,0.3526788232888541,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,0.03668028984056865,-0.004553059039880403,-0.005351655552892578,0.02926965098990048,0.0013770909931348834,0.013874028501627233,0.04692142234791232,-0.01927230006488769,-0.047380166802069426,0.4597442470158896,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,0.039379312188728983,0.0006853687439275925,-0.006221367861751636,0.031839602651965365,-0.004829534053316585,0.00964734903820182,0.04640425461222942,-0.017478559196157307,-0.04977357377014729,0.49068737677015056,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,0.04518828618299703,0.004712224126509997,-0.012260043134345954,0.032788294457385084,-0.005478080424439646,0.012939190300100534,0.05015725213548412,-0.016410171136907924,-0.05044486877225018,0.49762749261830164,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,0.034684888726181314,-0.061511771443259464,-0.02537737878606371,0.0166695177798038,-0.0004208180818544805,0.011831053043513192,0.03421369130115794,0.004202026041305581,-0.0014101752379666243,-0.3709149167071219,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,0.021692301707099314,-0.044464774179555785,-0.02637357842015182,0.01132418743375203,0.0059279921885741745,0.0127475744874581,0.03329762482043841,0.0020325509936589244,-0.0020663585546223996,-0.37217165287017173,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,0.028261697827635907,-0.0668902736481117,-0.027031255063155422,0.017036865231297584,0.003813126168173287,0.008862475368153785,0.03276991658722577,0.012549917864734706,-0.000117862550136836,-0.36736318140655105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,0.03576520841325756,-0.06898035259512456,-0.033533823972810864,0.004468901269947704,-0.0013167964432226568,0.008810746895716242,0.03414168387894396,0.01068926718086004,-0.0012458843511083853,-0.3417418201794119,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,0.028071871004674738,-0.06484499738430198,-0.03313997823421073,0.01708730485776196,-0.0014827241035907169,0.017055780580672236,0.02909265332085931,0.013176345911038957,-0.005356031632779738,-0.3599297361577983,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,0.03345377989194315,-0.05694790494668742,-0.03195627235847972,0.009698835034733235,-0.00430210636037847,0.008088563133193099,0.0333320265757325,0.008197770335752029,-0.0022006201047612274,-0.35440925455773653,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,0.05451712200742053,-0.09825033833961122,0.0019731908388759766,0.007280976913221505,-0.003291407010477527,0.02440522439615882,0.042286184147486236,0.01708585270316056,-0.01889619230252245,-0.1707852128593494,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,0.035113873465553586,-0.07413470512337011,0.0046081761060201626,0.014874633449413206,-0.0073475129788984446,0.02243429232226765,0.04475103051280197,0.011601064979382188,-0.02212970267900307,-0.1335383853607851,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,0.042207736250660995,-0.09577223050691512,0.005457159664643852,0.01624670601652368,-0.0028043731042872305,0.024734848820320933,0.043205521852587865,0.017853475630931228,-0.01678538087350519,-0.13825243848173516,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,0.0739508787704551,-0.06279021544300992,-0.08421934679636489,0.031547387052813305,0.013058249370559405,0.04141461873669986,0.06776782811173927,0.014205319189830971,-0.010332235679354356,0.1711814760189989,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,0.07602864377200602,-0.06837417513051113,-0.08101282784958248,0.034155364523277346,0.01583996516692897,0.03115038427402793,0.06719976812844042,0.029042562346743482,-0.009892441413324819,0.17171572792951184,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BC_pH7_2,0.07375619040721137,-0.07425019180564128,-0.08121654327472914,0.029417835797952565,0.014819309934973714,0.047618130219533386,0.07139362165056495,0.02078705472466738,-0.013654684062399294,0.17526369240782835,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BC_pH8_0,0.0948976853919094,-0.0797492913100059,-0.07167099431319081,0.023947536989884527,0.013267646065062805,0.03809009284509913,0.07101487809063299,0.012466591373085964,0.006134236203911517,0.3512588515983004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
