Experiments,BT_OD<--AC_OD,BT_OD<--BA_OD,BT_OD<--BC_OD,BT_OD<--BL_OD,BT_OD<--BT_OD,BT_OD<--BV_OD,BT_OD<--CC_OD,BT_OD<--DF_OD,BT_OD<--wt_OD,BT_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
wt_pH8_1,-0.05174847687473116,-0.009602083778818665,0.0017108649027574316,-0.024126563028472915,-0.05946738716073173,-0.0052144899259766835,-0.0024590638650419288,0.04152801440056898,-0.02692927804168152,0.023845182310627846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8378107178569503
wt_pH8_2,-0.02291612750344464,-0.003998363501108857,-0.0023486898446698555,-0.017249909493181368,-0.07308609738783992,-0.006549305980620177,0.00018730572303352156,0.0380168865862019,-0.04652226713850446,0.022003285720053566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8442380625189879
wt_pH9_0,-0.05014146766807559,-0.008986976025828528,0.002637339772089668,-0.020033749403108075,-0.07275388968075908,-0.0026913347070955714,-0.004628771822089735,0.04153782639632244,-0.027442622726337747,0.030040364803381927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.003926186226973
wt_pH9_1,-0.024264853554575343,-0.010502250267030753,6.531526739506613e-05,-0.01804670796365194,-0.061626937476837125,-0.0004651874660149888,-0.0019879193365087977,0.025204000363085902,-0.03659585117585147,0.015757110548489116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9964236708955914
wt_pH9_2,-0.03054560090698626,-0.012995858288208102,0.00012604379317844748,-0.023192964228194043,-0.04401448263685502,-0.0017702534740142856,-0.004127717918878341,0.04344783609145847,-0.060380903569090615,0.020990620129539263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9996501428774356
AC_pH4_0,0.010504082623545243,-0.026826729315697493,0.0030863287569145147,-0.013420218868262095,-0.07399532222674915,-0.0028829501648231053,0.004340811805475665,0.028938528993774373,0.023558295097445017,-0.0657661071423765,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.01050408262354524,-0.016982142612662007,0.0017730837967246769,-0.017818693873755957,-0.06677919714347173,-0.0031754312870781068,0.0028048750559758885,0.03425041974886603,0.014932191817737786,-0.07197246943964909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.01125437423951276,-0.030453700496734154,0.0023384386426566735,-0.018048312669295973,-0.07869725689069246,0.001953726313279375,0.006108221847604475,0.0390746707116942,0.017321387411135696,-0.06331483038284047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.012254709270580309,-0.030923263751496764,0.008395911401299676,-0.02422900425999061,-0.09049010105026156,-0.000881497163487518,0.008510409589532924,0.042025109833592304,0.025618842381012183,-0.06274439754227742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.010840015058689144,-0.028388185939427622,0.006166827217068359,-0.02208040328777355,-0.07619607705197741,0.003212207950570661,0.005979855921443391,0.030794455735012893,0.024710117501166206,-0.06750209361395756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.007467438755556941,-0.025176239571048194,0.007530270340326041,-0.01945090870069259,-0.07724956041971302,-0.0049186447768917564,0.003282100912385984,0.05225662547487603,0.016582921272467657,-0.07278728377782617,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.015773036494122254,-0.029181697233175125,0.006110177356952233,-0.01796645701316226,-0.14805934324577125,0.001688208224089896,-0.0003374296376157711,0.049057570177980736,0.02386855534034903,-0.013415900715829236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.015364751757487005,-0.038560748248482525,0.007561380265726016,-0.018033678890408383,-0.17227478813299024,-0.0020136664127526085,0.006838700627584173,0.05672863832958366,0.027110732172251396,0.004815399728350991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.01448798946995774,-0.042213072926210966,0.00981156640058464,-0.015781960184078504,-0.15557796533017057,-0.00024938856818429943,0.004205507219809554,0.04663990227039903,0.02722595142079112,-0.0010118087308238378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.02360731218982003,-0.02908979430632747,0.006975178097212769,-0.04256118341834973,-0.2397034228536423,-0.006929245037836552,0.00027431065439368144,0.06797622684308367,0.04024290964979193,0.06674442675956727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.02134551770661189,-0.03640726939127172,0.007019292211322034,-0.034853118639034425,-0.24343574187819567,-0.004649295331505329,0.002750421626817271,0.0770991523999154,0.03198645199770513,0.06668130795430877,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.02308457713209741,-0.03546435716460743,0.008699418831535657,-0.03226671636671475,-0.23855802853186817,-0.002764661101745847,-0.0019966314664191524,0.06832188962148908,0.025041656920119476,0.0734395715740064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.02856740290784966,-0.029123588030671946,-0.0006244036674742496,-0.047011692235651215,-0.2652295150445856,-0.006650853647607499,0.001999692865849833,0.07412918185794969,0.0445784700020095,0.08690202599431833,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.03934146353772479,-0.032910783398167595,0.006165010592616772,-0.056648349360684316,-0.26104489140981896,-0.0026924064532732185,-0.0006595331159136864,0.07927733460603201,0.03661703577568836,0.08009184032658358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.021428979860375764,-0.03099353167532093,0.009086983863507276,-0.044379657639757444,-0.25975831330025007,-0.0034863097500056036,0.0012011492884029514,0.05928407096972122,0.04524668518777775,0.08990666417688455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.03136901999013904,-0.024354487222659846,0.008608578214138421,-0.04986274407629895,-0.2780462268531404,-0.002060162129649972,0.0012557906843721875,0.07697524985298512,0.038626834500338075,0.08502486587421078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.026329725824458448,-0.02434718118494619,0.004134569226602174,-0.03936849900744046,-0.2703620731073391,-0.007730961166241245,-0.003612198537296576,0.07411157415471159,0.04080057801476316,0.08758118515611506,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.026462109684134306,-0.023462770123480133,0.005089680951331623,-0.03130323849780405,-0.26028851161791894,-0.0044173204580969785,0.0020226861884736487,0.06508827380572811,0.026419410251242958,0.08192640033813761,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.0332842982025898,-0.003322313278913498,0.000980109301314729,-0.018438080227731368,-0.05704038138906271,-0.004056295386070144,0.0016716492929212418,0.03119922932460095,0.020786998381676226,-0.05095989887764595,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.030318828426787393,-0.004429751064466392,0.004156356097360994,-0.024063840116495674,-0.05462789403234164,0.0006845435957707774,0.004432096670422217,0.027790412345860646,0.01822549294518388,-0.054311869495507814,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.03592867782784869,-0.0038760321846474767,0.004074359337758758,-0.018497874569552746,-0.04426320620002629,-0.0006313668948638687,-0.0012332843679367848,0.020959024278689987,0.014275519198778534,-0.047341742228676126,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.03451025826613541,-0.004552562563963559,0.006662331802325079,-0.021759261351240712,-0.07060591148131568,-0.0067593424131526915,-0.006841554347952098,0.04930439978473537,0.012204914854272551,-0.03560603688794958,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.030413267192957193,-0.004502011380441811,0.0014510432424266703,-0.01790837146787216,-0.07132079227098628,-0.0011005381768083456,0.0012374389019754258,0.03260367636508106,0.018157623463067353,-0.040668082535266874,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.034793336160642944,-0.0037596714812452394,0.001511399212657759,-0.016276755845984033,-0.0682674651734693,-0.0027089409935085675,-0.0013435765716206774,0.040142430357796986,0.023175621702052326,-0.05014298610753664,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.045490715351846574,-0.005190684730591979,0.005621836598274175,-0.027334588122675602,-0.13012818023440956,0.00402301153046605,-0.0029535575607872516,0.05376013834940513,0.02802421706181992,0.007205241398845358,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.04765827766822084,-0.006479102664667624,0.002116031262861645,-0.031519020459128785,-0.1246370131813962,-0.007116450610489625,0.0004092254021974344,0.054724275700788444,0.025087834799905177,0.022609216356649996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.046212131765306655,-0.0066316824228219344,0.0033168511479364144,-0.03138899638519987,-0.128694786241521,-0.004269919398281239,-0.007862979593565283,0.05303387139923871,0.028527645889831633,0.027718846308188917,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.07135857145646182,-0.014930128754804959,0.0007219933094861712,-0.030852005352144652,-0.1112389379346986,-0.0012864949056149832,-0.011133012693658793,0.056187427083192305,0.027664516609486028,0.04376193271140041,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.0693535353474157,-0.014910674796480198,0.005237059301251302,-0.036767174442015264,-0.14544532778713365,-0.0048463327040814816,0.0015061019166656164,0.06884565276478458,0.03390783576841427,0.04936311370085762,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.06173950987888257,-0.012777940279439737,0.0022665446715267445,-0.024237199125649492,-0.14736529232731654,-9.728606182919923e-05,-0.010227766539901496,0.06410233858324911,0.029785267978339743,0.04782756191840315,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.07425133888083309,-0.013892098749461382,0.0017775788431501234,-0.0334049621457234,-0.10870870109161605,-0.0033179276815170186,-0.0016946202008377624,0.043849888444959136,0.03389915648726342,0.04327974391311568,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.07716174288207422,-0.008874147050082683,0.00215453230532939,-0.04167369540477091,-0.12355044620050847,-0.0013741623784374946,-0.00816244566590404,0.06162505449362747,0.030010305057968138,0.054543466663352504,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.065664638538197,-0.010100266530137993,0.001230699747152951,-0.032448838530918185,-0.11599865502434906,0.005589052532273141,-0.0029451518299301043,0.04896178880726675,0.024489175863564014,0.034423552441775154,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.058167137961186784,-0.00859597010133059,0.0038873488844736763,-0.03177146783503502,-0.11747490774678152,-0.00471484639722368,-0.0003347732171254324,0.04389343738353446,0.024793667420339973,0.036021368115249544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.0689299420526494,-0.010568246911077394,-0.0015037844176201724,-0.029477472325139076,-0.10013195042579393,-0.004656083303827631,-0.005827333504010154,0.0440502826154799,0.02622728478487419,0.038353964478263385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.07958967418288408,-0.008807645477354525,0.0025920546795848904,-0.037986854697456184,-0.1239345637660312,-0.0036309166248563863,0.0025677796461335985,0.059965360432701266,0.023210140263418784,0.053151038665243476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.012373062145855764,-0.01851078514738575,-0.0026493835704320154,-0.010093785015785176,-0.0612639663749091,0.0011764477586130736,-0.000150870514588188,0.023884606365438394,0.010650931639677803,-0.0431334131213067,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.02291497741542433,-0.014816085070209657,-0.0026493835704320154,-0.011128287948870465,-0.04966814853858365,-0.0019076333589770878,-0.001743626179295067,0.03260422779287657,0.008725307111263925,-0.04896467417012901,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.027974610253966047,-0.01688939995537309,-0.003612795777861839,-0.01516743425786009,-0.04926943935028723,-0.004235491933827491,-0.00039009898334093837,0.03724175240844487,0.018098655106580777,-0.050264418096403064,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.022120996116174626,-0.015717219265947196,-0.0034644520549994453,-0.015671346760557398,-0.052548019235710716,-0.0010431249717088506,-0.0007133859679426837,0.030688673065691858,0.01264664473457505,-0.044520054872593154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.028123358173862748,-0.017716567075365907,-0.0033399969805032017,-0.012834654770103161,-0.04768865632318444,-0.004603481056452124,-0.0006444135885280768,0.03546696915210266,0.012814968598237182,-0.045794090020227364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,-0.019788470847289207,-0.0271456225398604,-0.0040169280965853,-0.018147313904381637,-0.04973537880745109,-0.0005188448563137132,0.0016560597069885416,0.03546447793446967,0.018328437698276148,-0.048559696542747006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,-0.025781086981296532,-0.03263451424204623,-0.008866680881170473,-0.023054834333977293,-0.08915114204743473,0.006777554625118884,0.0010209347540512668,0.05259157498225408,0.017032393790862486,-0.01039748004435197,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,-0.03158215717392286,-0.03478758231129336,-0.008501860133736674,-0.020578568321450254,-0.10452868550327485,0.0036064139287918795,0.0022632681523733172,0.042899284187461376,0.02588214319806709,0.012864465285497513,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,-0.023151151371674374,-0.03199336369218224,-0.0073782417489944565,-0.023337983847595754,-0.09399228705984096,6.922879539753722e-05,0.0023331516859648018,0.040294514606990246,0.01675449940335491,0.007938354583254655,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,-0.03145113677049623,-0.013919808301953189,-0.007252399923036926,-0.028370676078914626,-0.13503984876766637,0.00040698590769391965,-0.004672715709261274,0.04876636837386404,0.017063248448640753,0.042006701548259875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,-0.045608556225248,-0.01568628764549351,-0.011224779768887416,-0.03199229793238413,-0.13090404122217517,-0.003842330351876826,-0.007525806865533412,0.06871664538837809,0.016322846435739297,0.04928132701746147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
