Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--wt_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BA_pH8_1,-0.1845701464265585,0.00944474308711031,0.01608604446539413,-0.011336189961951711,0.011845096960339857,0.013968719261819904,0.00965003923877426,0.026819085494979564,0.015322428885037485,0.033970640978735436,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.180910485777194,0.008812976213900939,0.016652918098413426,-0.011193214620908965,0.009324134097475073,0.01250025502851476,0.007767332273980847,0.02442671145433965,0.014255200102925301,0.039564635112233786,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.19525296063202874,0.009247330679841664,0.01690771088813958,-0.010291932589657929,0.009960960559546947,0.01485065321073584,0.009792349403319148,0.025525068094872906,0.011982784595178523,0.04847849758422891,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.18621751285927443,0.01083000686829505,0.016184829614408643,-0.01357293850539819,0.011682400275831636,0.01377879792905372,0.008446048260059047,0.02407225269986235,0.011358660344520339,0.04463791735632265,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.19099850310741553,0.009611824436680133,0.018932022560873757,-0.010416668907779715,0.006486295048633347,0.010206912274917832,0.010082156416838586,0.024601371924838297,0.011374709141319215,0.05132034219477487,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.03734533652177324,-0.011376752799943737,-0.005325449543154759,-0.002771580356942571,-0.00023997076341639392,0.006353287743809431,0.00666754511549421,0.007701316801426205,0.004155149999196114,-0.026617749956962845,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.03253695074144913,-0.01687729700266019,-0.0068470065554846905,-0.0046529338476450546,-0.00015240793156882985,0.009226657518226164,0.009374252162549807,0.011551589449138745,0.003321922312936057,-0.031207363963451078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.03644352558190408,-0.016365797344757158,-0.0072273958085671735,-0.003036013605154079,0.0004886365762871242,0.010208534136738466,0.006393993336545387,0.011443867811366268,0.0067461979680735135,-0.031008036211133013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.031109411776389765,-0.015820277240937174,-0.004945060290072276,-0.006092803829714007,-0.0011840748203837356,0.007009196098407974,0.007585957040605338,0.011083775358679503,0.0024950752925613643,-0.02782191395435644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.03078813063061756,-0.012194354654006336,-0.0068470065554846905,-0.002960054463018541,-0.00022857392287772596,0.00750528432590806,0.006355111968258155,0.007154981071210424,0.0016006599658209338,-0.028397457523514393,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,-0.029852584512985277,-0.01362972577790851,-0.005705838796237242,-0.005166714147705099,0.0005072559383900267,0.007157985396359278,0.008495954727025136,0.003877497002806352,0.0020464615021710806,-0.02652983201424713,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,-0.04127149399693894,-0.016840742483087204,-0.008136578963502594,-0.004574478088837603,-0.0005593725310071654,0.008394193432253342,0.0072132466377123556,0.01705472134053707,0.0015020776653419364,-0.02158111351339713,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,-0.040463976202451665,-0.024115343508513076,-0.009711351258599241,-0.004718709918467894,4.1382505517938935e-05,0.009804970142634017,0.0069100992964661635,0.015152890815035156,0.0022758009819232893,-0.013975303971573061,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,-0.042443114430036226,-0.018587398414054646,-0.009223805410058603,-0.00482598298917646,-0.0009411286611271947,0.012524805503047033,0.006069998038203821,0.01849915148933296,0.002887794867805812,-0.02275986068598602,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,-0.08140105294792549,-0.01919585358513438,-0.008930680499128676,-0.0075104773255146055,0.002254707432635453,0.013411527724693654,0.013162017832307712,0.02027910539475472,0.001481688080922417,0.007649479419316934,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
