Experiments,Time,pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD
5comm11wtaTc_1,0,5.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
5comm11wtaTc_1,3,5.328522031,0.0082341967496683,0.002356247069905,0.0179632169092764,0.0128200109394836,0.0146188662294111,0.0017988552899275,0.0299218041887947,0.0294150843888151,0.131139084234718,0.0,0.0,0.0
5comm11wtaTc_1,6,5.260252051,0.0138396302831524,0.0018452840377536,0.0258339765285512,0.0221434084530438,0.0226047294624823,0.002306605047192,0.034599075707881,0.0475160639721566,0.806850445507787,0.0,0.0,0.0
5comm11wtaTc_1,9,5.213730251,0.0849803532119044,0.0040574173947328,0.047336536271883,0.0531972502864971,0.0360659323976252,0.0056353019371289,0.052971838209012,0.0809229358171715,1.11556437147404,0.0,0.0,0.0
5comm11wtaTc_1,12,5.24557757,0.0316547950568475,0.0061267345271317,0.0364462156485788,0.0615029889069767,0.033068656870801,0.0072264048268733,0.0298481938501291,0.0611102495142118,0.58416057279845,0.0,0.0,0.0
5comm11wtaTc_1,24,5.098563453,0.0249856591180517,0.0012776757503549,0.0312320738975647,0.227142355618652,0.0221463796728186,0.0032651713620181,0.0228561995341268,0.162548748239598,0.804509830806814,0.0,0.0,0.0
5comm11wtaTc_2,0,5.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
5comm11wtaTc_2,3,5.32103755,0.008351783632603,0.002905804904431,0.0177619730250981,0.0128933065295945,0.015972305103826,0.0013855493584041,0.0249783759334532,0.0273645998284826,0.123775742684107,0.0,0.0,0.0
5comm11wtaTc_2,6,5.242281493,0.0980877925,0.0,0.0,0.0980877925,0.0980877925,0.0,0.0980877925,0.0980877925,0.4904389625,0.0,0.0,0.0
5comm11wtaTc_2,9,5.199951277,0.0655731933377532,0.0122346056309392,0.0440016518305709,0.0573094684817679,0.030586514077348,0.0075124771418047,0.0436796885244935,0.0875740192530386,1.10841234172228,0.0,0.0,0.0
5comm11wtaTc_2,12,5.242281493,0.0263270173924731,0.0034339587903225,0.0266322581738351,0.0504410391200716,0.0233509197741935,0.0051127830878136,0.0228930586021505,0.0579194382634408,0.635511306795699,0.0,0.0,0.0
5comm11wtaTc_2,24,5.104420646,0.0170660514899976,0.0022554253070481,0.0292453481480576,0.145399751461037,0.0221031680090718,0.0027065103684577,0.0204491894505699,0.169006536341475,0.884577805424285,0.0,0.0,0.0
5comm11wtaTc_3,0,5.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
5comm11wtaTc_3,3,5.354927353,0.0090194274353871,0.0029770005587389,0.0194831422705586,0.0131754381163989,0.0151208048181491,0.001974841954807,0.0208095286581155,0.0238749549760249,0.13944742221182,0.0,0.0,0.0
5comm11wtaTc_3,6,5.299719358,0.0677950986666666,0.0677950986666666,0.203385296,0.0,0.0,0.135590197333333,0.135590197333333,0.0677950986666666,0.542360789333333,0.0,0.0,0.0
5comm11wtaTc_3,9,5.206869,0.0370452229777867,0.0068213583386859,0.0504780517062759,0.0587686256871403,0.0361007272078148,0.0095499016741603,0.0410330940065569,0.0744052778788973,1.25429038252268,0.0,0.0,0.0
5comm11wtaTc_3,12,5.331497251,0.0328457147633029,0.0018452648743428,0.0231273197584305,0.043179198059623,0.0183296310851391,0.0019682825326323,0.010579518612899,0.046008604200282,0.781531183113348,0.0,0.0,0.0
5comm11wtaTc_3,24,6.483205418,0.0151458803286675,0.0014493665386284,0.0292772040802951,0.100078759492296,0.0225376496756727,0.0026088597695312,0.018479423367513,0.171967339808268,0.974191718939128,0.0,0.0,0.0
5comm11wtaTc_4,0,5.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
5comm11wtaTc_4,3,5.357810713,0.0075890887931639,0.0022718409584686,0.0193065767474159,0.010398354494496,0.0131261922044852,0.0016774166216649,0.0247215381717228,0.0257638164609127,0.11336404954767,0.0,0.0,0.0
5comm11wtaTc_4,6,5.359248666,0.0,0.0,0.147024528,0.147024528,0.0,0.0,0.0,0.147024528,0.441073584,0.0,0.0,0.0
5comm11wtaTc_4,9,5.253761682,0.0466970556565645,0.0030781017394198,0.0421174408735252,0.053528940005033,0.031907152176913,0.0030781017394198,0.0291293530462171,0.0804810991380019,1.09723065662491,0.0,0.0,0.0
5comm11wtaTc_4,12,5.334461975,0.0160186838670657,0.0016482247065791,0.0218904843842538,0.0335825783965495,0.0152460785358568,0.0016482247065791,0.0103014044161194,0.0455837145413287,0.654190687445668,0.0,0.0,0.0
5comm11wtaTc_4,24,5.180628587,0.091396072137931,0.091396072137931,0.137094108206897,0.0456980360689655,0.137094108206897,0.0,0.0456980360689655,0.0456980360689655,0.731168577103448,0.0,0.0,0.0
6comm11wtaTc_1,0,5.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
6comm11wtaTc_1,3,6.452079335,0.0141988670855652,0.0119364102422608,0.0393979553747826,0.0180216389932173,0.0337808211431304,0.0070994335427826,0.0154471191370434,0.0376035930507826,0.271104742430435,0.0,0.0,0.0
6comm11wtaTc_1,6,5.809877242,0.264466519766403,0.133151546410168,0.142334411679835,0.0358131745517004,0.146696272682927,0.0045914326348333,0.152894706739952,0.134528976200618,1.65865503933356,0.0,0.0,0.0
6comm11wtaTc_1,9,5.409442701,0.444908332333904,0.296605554889269,0.38709538519447,0.0760365935203423,0.361330919621461,0.0307916783677419,0.452449151526004,0.399035015581962,2.32445751596485,0.0,0.0,0.0
6comm11wtaTc_1,12,5.40401135,0.20913112386399,0.102241882777951,0.373576110150204,0.0475460503827532,0.31780781045314,0.0486185176846198,0.480465351236244,0.452938690488334,1.64480735196277,0.0,0.0,0.0
6comm11wtaTc_1,24,6.58671685,0.171044802669104,0.140005784424132,0.517096835868373,0.0472189320109689,0.342089605338208,0.0663706666727605,0.618799150968921,0.603279641846435,1.2871286502011,0.0,0.0,0.0
6comm11wtaTc_2,0,5.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
6comm11wtaTc_2,3,6.463742358,0.0144552434945966,0.0099175133360986,0.0365825256076847,0.0145020242178801,0.0384537545390241,0.0105256627387839,0.0160925688095186,0.0348048581229123,0.253224055133501,0.0,0.0,0.0
6comm11wtaTc_2,6,5.841224326,0.205792168471554,0.111988389142001,0.160600712402998,0.0370894021917236,0.177885094006908,0.0045011410426849,0.176084637589834,0.126932177403715,1.76192664974858,0.0,0.0,0.0
6comm11wtaTc_2,9,5.433458629,0.361942184687892,0.346435779701264,0.383499869669303,0.089256379923033,0.367615259683,0.0340384499706481,0.359672954689849,0.343788344703547,2.35243509797146,0.0,0.0,0.0
6comm11wtaTc_2,12,5.425529289,0.221384846655717,0.0920121119991684,0.375150053956341,0.0561953167243243,0.325747577715177,0.0608267988719334,0.348904988453223,0.458207967136798,1.77447519348732,0.0,0.0,0.0
