Experiments,Time,pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD
8comm11wtaTc_2,24,7.823548957,0.402988650277323,0.0,0.2292098205469430,0.0053470409147809,0.2290315858497830,0.0024952857602311,0.0,0.0001782346971593,2.8326840419537800,0.0,0.0,0.0
8comm11wtaTc_3,0,7.65,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
8comm11wtaTc_3,3,7.458283395,0.0106030189863435,0.0038379025778789,0.0207506935990403,0.0046184929327017,0.0193196112818651,0.0083262971181102,0.0062447228385826,0.0191895128893946,0.4358296147760830,0.0,0.0,0.0
8comm11wtaTc_3,6,6.711406302,0.1819368423503140,0.0079887282051837,0.1216348294466690,0.0048963172870481,0.1445702104228410,0.002061607278757,0.0087618309347176,0.008504130024873,2.969745285049600,0.0,0.0,0.0
8comm11wtaTc_3,9,6.308103915,0.3942654142423800,0.0020184236224012,0.3821548725079720,0.0060552708672037,0.5052787134744490,0.0047096551189362,0.00538246299307,0.0023548275594681,4.668613838614120,0.0,0.0,0.0
8comm11wtaTc_3,12,7.243787062,0.1215124898621860,0.0028621785620643,0.2724273594983050,0.0072855454307092,0.3647976676376540,0.0026019805109675,0.0018213863576773,0.0005203961021935,3.294887921038240,0.0,0.0,0.0
8comm11wtaTc_3,24,7.819865606,0.2700366975137540,0.0003091433285789,0.2358763597057740,0.0071102965573169,0.27730156573536,0.0013911449786054,0.0004637149928684,0.0004637149928684,3.000081432194870,0.0,0.0,0.0
8comm11wtaTc_4,0,7.65,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
8comm11wtaTc_4,3,7.51132251,0.0107012814797951,0.0022472691107569,0.0084540123690381,0.0040664869623221,0.0125740057387592,0.0035849292957313,0.0046015510363118,0.0150353004791121,0.408788952528173,0.0,0.0,0.0
8comm11wtaTc_4,6,6.717423261,0.0877684719508658,0.0062113072457535,0.069404607050377,0.002430511530947,0.1150442124648270,0.0067514209192973,0.0059412504089816,0.0089118756134725,2.956852305815480,0.0,0.0,0.0
8comm11wtaTc_4,9,6.348470192,0.2115504748045190,0.0014489758548254,0.2666115572878870,0.0065203913467146,0.3542745965048290,0.0032601956733573,0.0025357077459445,0.0025357077459445,4.890293510035980,0.0,0.0,0.0
8comm11wtaTc_4,12,7.268748306,0.1068439532491730,0.0007914366907346,0.2152707798798150,0.0052762446048974,0.3142003662216410,0.0029019345326935,0.0015828733814692,0.0002638122302448,3.339071398209330,0.0,0.0,0.0
8comm11wtaTc_4,24,7.828663529,0.2443212174401910,0.000911646333732,0.0774899383672248,0.0054698780023923,0.064726889694976,0.0,0.000911646333732,0.0018232926674641,3.415027166160290,0.0,0.0,0.0
5comm11delarcaTc_1,0,5.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0
5comm11delarcaTc_1,3,5.384720321,0.0110188569783845,0.0027346799591808,0.0201244396996131,0.0153162111999544,0.0123411198157906,0.0010918685551308,0.0397380051211376,0.0374941651546302,0.0,0.0802673645161774,0.0,0.0
5comm11delarcaTc_1,6,5.414839179,0.1234067402666670,0.0,0.0617033701333333,0.0617033701333333,0.0,0.0,0.0,0.0617033701333333,0.0,0.6170337013333330,0.0,0.0
5comm11delarcaTc_1,9,5.296629286,0.0488502694224537,0.0034268099445601,0.0379136419398148,0.0483398934732638,0.0266124602077546,0.0032080773949074,0.0276332121061342,0.07480653198125,0.0,0.9891085895298610,0.0,0.0
5comm11delarcaTc_1,12,5.331497251,0.0256058228193095,0.0014822473412046,0.0205291256756837,0.0455420495585114,0.0158971027344193,0.0014081349741443,0.0091899335154685,0.0476913082032581,0.0,0.5764830471780000,0.0,0.0
5comm11delarcaTc_1,24,5.189466751,0.0068947573087565,0.0019206823931536,0.0246733815120503,0.2329935487694810,0.0203395340608319,0.0017236893271891,0.0140357559499687,0.1049973041590650,0.0,0.6958780055195040,0.0,0.0
5comm11delarcaTc_2,0,5.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0
5comm11delarcaTc_2,3,5.374906189,0.0093617383570175,0.0022828400020467,0.0183464939614035,0.0136970400122807,0.0149641209308479,0.0018116115612573,0.0231320805711988,0.0237289699295321,0.0,0.1075552736744150,0.0,0.0
5comm11delarcaTc_2,6,5.387503432,0.0,0.0,0.850667844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5comm11delarcaTc_2,9,5.29041485,0.0424454300464646,0.0025365794848484,0.0394860873141414,0.0372877184272727,0.0325527700555555,0.0018601582888888,0.0359348760353535,0.0777884375353535,0.0,0.9857147878121210,0.0,0.0
5comm11delarcaTc_2,12,5.328522031,0.0074466060266476,0.0021449463011539,0.0228659369839995,0.0389327989001903,0.0212471095869022,0.0026710652052105,0.0104414367112776,0.0409968038314894,0.0,0.5336464514531290,0.0,0.0
5comm11delarcaTc_2,24,5.338889573,0.0,0.0,0.1160529182105260,0.1740793773157890,0.0,0.0580264591052631,0.0580264591052631,0.0,0.0,0.6963175092631580,0.0,0.0
5comm11delarcaTc_3,0,5.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0
5comm11delarcaTc_3,3,5.367825256,0.006792151897599,0.0024761848485284,0.0183746800909493,0.0115940991505864,0.0153546602523235,0.0014000858255698,0.0197169111303385,0.0253866801760345,0.0,0.1080611696280700,0.0,0.0
5comm11delarcaTc_3,6,5.447804158,0.0063345867065492,0.0012013871340007,0.0228263555460137,0.0145258626201905,0.0182392410343746,0.0032765103654565,0.0276319040820166,0.0410655965803883,0.0,0.7704168039310100,0.0,0.0
5comm11delarcaTc_3,9,5.287290317,0.0514456687550632,0.0033615067652456,0.0427495969058408,0.0499841440745216,0.027038206590019,0.0032884305312185,0.0314958568656708,0.0836722879610048,0.0,1.0131289085514200,0.0,0.0
5comm11delarcaTc_3,12,5.308922046,0.0196941269763129,0.0023717658294054,0.0260047182009809,0.0359153111309965,0.020032950666228,0.0021176480619691,0.0138494183252781,0.0469694340144754,0.0,0.5411014327943530,0.0,0.0
